,date,text
0,2020-04-30,Tava olhando e eles responderam muita gente entre 2h a 4h depois. Quem sabe...
1,2020-04-30,"Olá, Cadosh! Para que eu possa verificar melhor o seu caso, me adicione via WhatsApp no número 61 4004 0001 e vamos conversar em sigilo por lá."
2,2020-04-30,Olá! Poxa ...O que aconteceu? Me conta por DM. Espero sua mensagem.
3,2020-04-30,"Até tentei, mas a assistente virtual não ajuda muito"
4,2020-04-30,"Ol, Ellenita! Barraco por que? Me manda uma DM com o que aconteceu. Espero sua mensagem."
5,2020-04-30,"Pena que não se consegue criar uma conta digital. Minha mãe tenta abrir já faz dois dias e ainda não conseguiu. O Whatsapp que vocês fornecem é simplesmente inoperante. E olha que sou cliente há mais de 10 anos. O app é excelente, para quem já tem conta, apenas."
6,2020-04-30,@Bancointer não cobra taxa de corretagem.
7,2020-04-30,"Olá, Renata! Vc pode cancelar o serviço de SMS pelo app, na opção Serviços>Serviço de Mensagens>Cancelar."
8,2020-04-30,Vergonha... Melhor não ter!
9,2020-04-30,simplesmente não existe.
10,2020-04-30,"Olá, Isaac! Vc pode consultar as tarifas pelo seguinte link: https://www.bb.com.br/docs/pub/trf/tarifasPFAnt.pdf. Se sua conta possui pacote de serviços, verifique, pois TED e DOC podem estar inclusos no pacote."
11,2020-04-30,Pelo jeito demora pelo TT 
12,2020-04-30,"Nossa, que absurdo! Talvez o TT te responda. Mas, vc conseguiu incluir o cel no seu perfil? Se sim, tenta liberar pelo cx eletrônico"
13,2020-04-30,"pois, é. só que não."
14,2020-04-30,"Ahh, tendi hahaha. É q meu dia geralmente vai até 21h rsrs"
15,2020-04-30,"é que gastei meus créditos numa ligação de meia hora e o único dinheiro que tenho é o que está preso na conta e que não tenho como movimentar. facebook não tenho mais. já tentei tudo, acredite."
16,2020-04-30,E o pessoal do TT do @BancodoBrasil devia te responder! Chamar na DM pra orientar como confirmar o número do celular!
17,2020-04-30,"Quando eu cadastrei outro celular pra sacar, eu mudei no meu perfil e confirmei no caixa eletrônico. No perfil aparece uma mensagem pra ir confirmar no caixa eletrônico."
18,2020-04-30,Olá Rapha! Vamos conversar por DM. Informe seu CPF ou agência e conta por lá pra eu verificar.
19,2020-04-30,@BancodoBrasil meu app não funciona fica dizendo que aconteceu um problema técnico.
20,2020-04-30,"Poxa... tenta pelo Face. Já me responderam de lá. Talvez respondam antes das 10h de 2a. Agora, pelo 0800 teria q te atender. Absurdo... Número pago demora um pouco, mas não é muito. Eles passam rápido pro setor. Mas, tem que ter senha de 4 dígitos. Pelo menos c/c tem."
21,2020-04-30,"Olá, Maximus! Para que eu possa verificar melhor o seu caso, por favor, me adicione via WhatsApp no número 61 4004 0001 e vamos conversar em sigilo por lá."
22,2020-04-30,"me referia a amanhã, pelo adiantado da hora hoje já foi. já sextou, inclusive."
23,2020-04-30,Olá! O que houve? Vamos conversar por DM. Informe seu CPF ou agência e conta por lá pra eu verificar.
24,2020-04-30,"Deu tudo certo, a agência de Valença do Piauí é muito bem preparada! Parabéns pelo quadro de funcionários "
25,2020-04-30,Olá! Mandei mensagem para você na DM!
26,2020-04-30,"bueno, não tenho o chat com o gerente. sou pobre, é conta poupança. o 0800 me joga de volta pro número pago e o zap é robô. inacreditável que terei de ir na agência de novo segunda-feira."
27,2020-04-30,"Olá, Lys! Peço desculpas. Por favor, me conta por DM com detalhes o que houve. Aguardo sua mensagem."
28,2020-04-30,"Pra que esse 0,02%??!! Revejam isso ae..."
29,2020-04-30,Olá! Vamos conversar por DM. Informe seu CPF ou agência e conta por lá pra eu verificar.
30,2020-04-30,Vi agora. Te respondi
31,2020-04-30,Parem de propaganda enganosa e façam seus trabalhos direito. Atendam a população nas agências físicas. Vocês são bem remunerados para tal.
32,2020-04-30,"Olá, Fernando! Para que eu possa verificar melhor o seu caso, por favor, me adicione via WhatsApp no número (61) 4004 0001 e vamos conversar em sigilo por lá."
33,2020-04-30,"Estou aqui sim, mas nacional acho que é amanhã não?"
34,2020-04-30,Hj? 30 de abril? Não é em 1o de maio?
35,2020-04-30,"É só lá mesmo. Presencialmente, pois precisa fazer uma nova proposta da conta com adesão aos ""serviços essenciais""."
36,2020-04-30,Quem já não tinha margem?
37,2020-04-30,Manda lá pois a insatisfação é grande
38,2020-04-30,tu não tá no Brasil? é feriado nacional.
39,2020-04-30,"Fiz uma conta pelo App, Digital , dizia q era isento de taxa. Mas , nao é .Gostaria de saber como.fazer para cancelar esse servico."
40,2020-04-30,Olá! Vamos conversar por DM. Informe seu CPF ou agência e conta por lá pra eu verificar.
41,2020-04-30,@BancodoBrasil posso habilitar o BB code sem ter que ir numa agência?
42,2020-04-30, ficaram malucos? Há opções com corretagem Z E R O!
43,2020-04-30,"Olá, Douglas! Vamos conversar por DM. Informe seu CPF ou agência e conta por lá pra eu tentar te ajudar."
44,2020-04-30,Uma@publicidade muito bacana... mas eu quero@mesmo é saber se o banco vai adiar o vencimento das@prestações do meu financiamento???
45,2020-04-30,"Olá, Rômulo! Poxa... O que aconteceu? Vamos conversar por DM. Informe seu CPF ou agência e conta por lá pra eu tentar te ajudar."
46,2020-04-30,Precisa mesmo!!!
47,2020-04-30,"Já deveria ter zerado, né, @BancodoBrasil ? Com tanta corretora grátis..."
48,2020-04-30,"Já fiz isso, fui aprovado no site fala que depositaram na minha conta do bb, no 111 fala que a partir do dia 18 seria depositado na conta que coloquei que foi a do bb, todo dia mesma coisa"
49,2020-04-30,"Olá, Ary! Respondi a DM. Vamos conversa por lá."
50,2020-04-30,880-934-924-53
51,2020-04-30,"Deveriam facilitar aos usuários a liberação de app ou uso do site, uma dificuldade sem sim."
52,2020-04-30,Olá! te respondi lá na DM!
53,2020-04-30,"@Caixa , @BancodoBrasil , @PMESP , @pmmg190 , sigam o exemplo!"
54,2020-04-30,"Feriado aí? Eu nunca tentei nem aos sábados. Acho q feriado não. Mas, chama agora. Acho que dá tempo"
55,2020-04-30,mesmo sendo feriado?
56,2020-04-30,"Olá, Dani! O que houve? Vamos conversar por DM. Informe seu CPF ou agência e conta por lá."
57,2020-04-30,"Não é não. Eu uso. É o gerente mesmo. Eu resolvo tudo. Mas, nem toda conta tem. Meu irmão não tem. Dá uma olhada no canto direito, ao lado do logon. Se tiver, vc chama. Acho que até 21h tem humano. Ou 20h. Senão, amanhã 8h te respondem"
