,date,text
0,2019-12-31,Tem alguma forma de menor de idade abrir conta no banco sem precisar ir na agência?
1,2019-12-31,@policiafederal @PMESP @policiacivil_sp olhem a tentativa de golpe em nome do @BancodoBrasil 
2,2019-12-31,"As fintechs geram empregos infimos. O mérito dessas empresas é ter Bolsonaro de presidente que qr alterar a constituição pra usar dinheiro público e ""garantir"" seu mérito."
3,2019-12-31,"Certo, faremos!"
4,2019-12-31,Idem para Embraer
5,2019-12-31,"E exatamente nada impede de ter ações em uma empresa privada. O maior exemplo é a Vale, aonde o governo ganha mais dinheiro com ela privatizada do que quando ela era pública"
6,2019-12-31,"Amado, ele JÁ tem ações nessas empresas No caso da caixa que não é empresa de economia mista governo detém 100% das ações. Da uma pesquisada sobre o funcionamento de empresas públicas e depois a gente conversa"
7,2019-12-31,Por que seria? Exatamente nada impede o governo de ter ações de uma empresa privada
8,2019-12-31,A parte do governo é receita que vai pro povo. Se privatizar a receita do governo fica em 0%. 
9,2019-12-31,"Exatamente, vão entregar esse lucro pros acionistas ricos e não pro povo"
10,2019-12-31,"Para os acionistas privados, funcionários e o governo, que também é dono "
11,2019-12-31,Vão entregar esse lucro pra quem? Kkkkkkk
12,2019-12-31,Tem fintech pra todo canto e hoje com às portabilidades de crédito e salário ninguém mais é obrigado a ter fidelidade com banco. Crescer nesse ambiente competitivo e com todas as restrições de ser estatal é mérito das empresas sim
13,2019-12-31,Confira a segunda parte da videoaula do @Danielsdesu sobre distribuição de vantagens. Aprenda como abusar de cada vantagem adquirida durante a fase de rotas e como distribuir essas vantagens pelo resto do mapa. Oferecimento: @BancodoBrasil e @ESPNEsportsBR #TamoJuntoNesseGame
14,2019-12-31,Então na próxima vez que precisar de um financiamento pra casa ou carro vá a um banco eficiente como Itaú ou Bradesco. Abraço!
15,2019-12-31,Incrível como @BancodoBrasil e @FaleComLivelo dificultam o resgate dos vouchers que ganhei na compra do Ourocap da Semana da Pátria. Será que é intencional ???
16,2019-12-31,"E o site da loteria saiu do ar. Mesmo problema do ano passado. Ah essas estatais! Ministro @pauIoguedes, privatize a @Caixa e inclua o @BancodoBrasil no pacote. "
17,2019-12-31,Né
18,2019-12-31,Caixa e Banco do Brasil são tão ineficientes que juntos vão entregar mais de 30bi de lucro em 2019. Que bela ineficiência hein
19,2019-12-31,DM respondida.
20,2019-12-31, 
21,2019-12-31,Infeliz os juros bancários são altos
22,2019-12-31,Olá! Já respondi sua DM e vou continuar interagindo com você por lá.
23,2019-12-31,Acabo de financiar um apartamento com uma parcela bem mais dentro da realidade e os bancos saindo no tapa por mim. Muita gente que financiou imóvel em 2014 caiu do cavalo
24,2019-12-31,"“Atual governo”. Amigo, o governo Lula foi o paraíso para os bancos privados. Eu fiz a cagada de financiar um imóvel em 2014 NA CAIXA com selic a 14%. Tive que vender a casa a preço de banana um ano depois pq não conseguia pagar. Se fosse hoje pagaria menos da metade da parcela."
25,2019-12-31,"Pois é, não é clamor da sociedade a privatização e que tais empresas sejam superavitárias tal qual os concorrentes privados. É isso aí."
26,2019-12-31,Olá! Aparece “não foi possível solicitar o serviço.”
27,2019-12-31,"Esses bancos aí que você citou atendem milhares de pessoas, todo tipo de gente. Pessoas que nem ler direito sabem. Enquanto os Bancos privados escolhem seus clientes, preferindo atender só a elite, aquela pequena parcela que realmente dá lucro."
28,2019-12-31,"Pra vc ver como o atual governo é lixo e governa pros bancos. Quando existia política habitacional no país, não dava nem pra comparar os financiamentos. Hj é essa situação caótica. Sorte de quem financionou seu imóvel até 2014. Pagou juros justos com a realidade do país."
29,2019-12-31,"Não são subsidiadas. E mesmo assim, acabo de fechar um financiamento residencial no Santander que foi muito melhor que no BB ou Caixa. Taxa menor e 6 meses de carência"
30,2019-12-31,Confira a nova videoaula do @Danielsdesu. Aprenda como abusar de cada vantagem adquirida durante a fase de rotas e como distribuir essas vantagens pelo resto do mapa. Oferecimento: @BancodoBrasil e @ESPNEsportsBR #TamoJuntoNesseGame
31,2019-12-31,Esperando até agora um humano atender... Só ano que vem?
32,2019-12-31,DM respondida.
33,2019-12-31,resposta automática não né kkk
34,2019-12-31,"A cor eu até sei,mais o delegado(a) que vai baixa na agência do BB AEROPORTO,PRA PRENDE OS CRIMINOSOS VAGABUNDOS QUE USA DADOS BANCÁRIO DOS CLIENTES,E USA PRA ESCONDER DINHEIRO SUJO DE POLÍTICOS CORRUPTOS,olha só a cara dos FUNCIONÁRIOS VAGABUNDOS "
35,2019-12-31,DM enviada!
36,2019-12-31,"Peço desculpas pelo ocorrido. O atendimento do funcionário foi inadequado? Se for possível, me envia na DM o seu CPF e prefixo da agencia para o acionamento/devidas providências. Ah, e se precisar, me conte via DM qual atendimento precisa "
37,2019-12-31,"Após a abertura da conta corrente, vc pode pedir a pulseira na internet ou no App Ourocard! Para maiores informações sobre a pulseira Ourocard acesse: https://www.bb.com.br/pbb/pagina-inicial/voce/produtos-e-servicos/cartoes/pulseira-ourocard#/ ."
38,2019-12-31,"Ja, sim depois de uma semana "
39,2019-12-31,"Marcelo, por favor, me envia por DM o seu CPF pra que eu veja essa situação e lhe auxilie por aqui "
40,2019-12-31,"O cartão já foi desbloqueado? Se não, por favor, me envia por DM o seu CPF pra que eu lhe auxilie por aqui."
41,2019-12-31,"Poxa. Peço desculpas, Dirceu. A sua DM foi respondida."
42,2019-12-31,"@BancodoBrasil paguei um boleto e o dinheiro não saiu da conta e nem aparece no extrato, aí vou tentar pagar novamente e fala de recebimento em duplicidade, o que eu faço ?"
43,2019-12-31,"Olá, Fábio. A sua DM foi respondida."
44,2019-12-31,Ainda não sabe com que cor passar a virada de ano? Calma que eu te ajudo! Pause o gif e descubra a sua. #Feliz2020 #FelizRecomeço #MaisQueDigital
45,2019-12-31,Informe seu CPF na DM pra eu verificar o que houve em seu acesso e te ajudar. 
46,2019-12-31,"é a segunda via, sério que eu não vou precisar ir no banco, nossa amo vocês!!! Mas demora quanto tempo pra chegar?"
47,2019-12-31,
48,2019-12-31,"Oi, Ana! Informe seu CPF na DM pra eu verificar o que aconteceu e te atender com mais agilidade e segurança."
49,2019-12-31,@BancodoBrasil mandando email contando quantas vezes eu gastei esse ano. Podia mandar era um dinheiro ou uma isenção de taxa. Aí sim ia ser um bom ano novo
