,date,text
0,2020-02-29,Há mais de 24h aguardando o @BancodoBrasil responder ao DM. Apenas robôs respondem
1,2020-02-29,Vocês falaram que iam botar o nome do meu curso no cartão e não botaram 
2,2020-02-29,Pena que o @BancodoBrasil começa cobrar tarifas depois e diz que não existe um pacote básico sem cobrança. Pra vc continuar pagando tarifas sem usar.
3,2020-02-29,É sua versão universitária na foto @Brunozor
4,2020-02-29,"transformei minha conta facil em conta corrente normal, pf atualizem pra mim poder usar esse cartao no samsung pay ou google pay, pois n aceitam elo..."
5,2020-02-29,Pura mentira to mas de 1 mês tentando abrir essa conta é tive que comprovar renda sim
6,2020-02-29,Clientes: a @BancodoBrasil: É só ir na agência (e esperar 1h e meia na fila) que resolve o problema!
7,2020-02-29,Fecha agencias bancarias e perder pro banco 24 horas? isso é investimento. Acho que o banco nao pode fechar a agencia sem ter onde deixar os caixas eletronicos. Eles é futuro.
8,2020-02-29,@BancodoBrasil não me ajuda 
9,2020-02-29,Mais perdido e desorganizado que o site do @BancodoBrasil
10,2020-02-29,Sim Envistao No Banco do Brasil Um banco Demais Amo muito vcs me sigao.
11,2020-02-29,"Belo aplicativo @BancodoBrasil , quase uma hora pra receber a mensagem de liberação do dispositivo. Mais fácil agendar um doc com uma máquina de escrever."
12,2020-02-29,@BancodoBrasil tem como eu cancelar só a conta corrente e permanecer com a poupança? Me ajude aí
13,2020-02-29,@Brunozor jurava q era você irmão KKKKKKKK
14,2020-02-29,Privatiza!
15,2020-02-29,@BancodoBrasil por que meu gerente não retorna meus pedidos de análise feito pelo app?
16,2020-02-29,"Não tem a mínima praticidade, preso a horários e procedimentos arcaicos! Quer dizer que as pessoas só usam dinheiro de seg a sexta das 9 as 15? @BancodoBrasil"
17,2020-02-29,Banco do Brasil é um lixo. @BancodoBrasil
18,2020-02-29,"Então, @BancodoBrasil @itau @santander_br, estou pensando em usar a mesma tática do Corinthians"
19,2020-02-29,"@BancodoBrasil faz dois meses que solicitei um novo cartão, teve desconto e até agora nada do cartão "
20,2020-02-29,Preciso não gastar mais !!! Posso cancelar pelo telefone ou preciso ir até a agência?
21,2020-02-29,Consegui resolver depois de um tempinho. Obrigado
22,2020-02-29,"NAO QUERO SABER DESSA PORRA, O LIVERPOOL TA PERDENDO DE 3-0 CARALHO"
23,2020-02-29,"Olá, Bibi! Porque quer cancelar o cartão? Posso te ajudar por aqui?"
24,2020-02-29,a mesma coisa que nada essa ajuda kk
25,2020-02-29,"Olá, Léo! Por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
26,2020-02-29,OBRIGADO @BancodoBrasil
27,2020-02-29,"Olá, Lucas! Por favor, para eu verificar melhor o seu caso, me chame na DM com o seu CPF me contando detalhes do que ocorreu."
28,2020-02-29,"Olá, Xoxo! Não te odeio não! Localizei sua mensagem na DM, vamos continuar por lá! "
29,2020-02-29,Chamei.
30,2020-02-29,"Meu CPF eu mandei algumas vezes pela DM já, mas pode ficar tranquilo que vocês vao ver bastante meu CPF no processo também quando estiverem me pagando não só o FGTS da minha mãe mas também uma baita indenização por essa palhaçada. Seus merdas."
31,2020-02-29,"A postura ridícula de vocês foi ignorar um alvará judicial com todos os dados do PIS e fgts me autorizando a sacar o dinheiro da minha mãe só porque o juiz o endereçou a caixa, onde o dinheiro estava e onde deveria ter continuado Já estou processando os dois bancos pelo absurdo"
32,2020-02-29,"Cami, te respondi lá! ;)"
33,2020-02-29,@BancodoBrasil porfavor respondam minha DM!
34,2020-02-29,"Olá, José! Lamento o ocorrido. Você foi atendido? Por favor, me chame na DM com o seu CPF para eu notificar a agência."
35,2020-02-29,"Olá, Isa! Por favor, me chame na DM com o seu CPF para eu poder verificar melhor o seu caso."
36,2020-02-29,"Olá! O que aconteceu? Posso te ajudar por aqui? Por favor, me chama lá na DM para me contar mais detalhes."
37,2020-02-29,"Olá, Ana! No que posso te ajudar? Por favor, me chama lá na DM para conversarmos melhor! ;)"
38,2020-02-29,"Olá! Por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
39,2020-02-29,"Olá, Maruí! Por favor, me chame na DM com o seu CPF para verificar melhor o seu caso."
40,2020-02-29,"Olá! Por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
41,2020-02-29,"Olá! Por favor, peço me chamar na DM para eu verificar melhor o seu caso. Por questões de segurança, oriento você a excluir esse comentário com seus dados."
42,2020-02-29,"Olá! Por favor, me chame na DM relatando o que precisa e mais detalhes do que aconteceu para eu poder te ajudar."
43,2020-02-29,Euzissima
44,2020-02-29,"Olá! Por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
45,2020-02-29,"Olá, Andre! Por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
46,2020-02-29,"Olá, Lucas! Por favor, me conte mais detalhes do atendimento por DM para eu notificar a agência."
47,2020-02-29,"@isabeerw Olá! Por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
48,2020-02-29,"Thomas, por favor, me chame na DM com o seu CPF para eu verificar melhor o seu caso."
49,2020-02-29,@BancodoBrasil DM
50,2020-02-29,"Alexandre, me conte mais detalhes na DM. Por favor, me chame lá com o seu CPF para eu verificar melhor o seu caso."
51,2020-02-29,"Olá, Alexandre! Por favor, me chame da DM com os detalhes do que está acontecendo, para eu poder te ajudar."
52,2020-02-29,Excelente!
