,date,text
0,2020-01-31,"Como melhor maneira? Eu pago taxa bancária e não tenho nada incluso? ""Taxa de manutenção de conta"", porra nem um ted ou transf. entre contas bb, eu tenho que pagar nesta merda"
1,2020-01-31,volta la please
2,2020-01-31,Muito legal !
3,2020-01-31,"Obrigado pela confiança, Isabela! Conte sempre comigo! "
4,2020-01-31,Achei chique... Ainda não chegou no Goiás kkk
5,2020-01-31,Ok! Vou enviar a dm!
6,2020-01-31,"É não amiga, caixa eletrônico no @BancodoBrasil que não precisa mais de envelope ..."
7,2020-01-31,Olá! DM respondida! 
8,2020-01-31,"Olá, Dalyan! Por favor, me envia por DM o seu CPF pra que eu lhe auxilie por aqui "
9,2020-01-31,@BancodoBrasil dm pfvr
10,2020-01-31,Eu uso @next e @BancodoBrasil os dois são excelentes!!!! Não tenho nada a reclamar
11,2020-01-31,"Isso é tão triste. Uma vez o cara me fez tirar TUDO da mochila... minha mãe desesperada de vergonha... eu comecei a falar alto: “eles querem o q, agora?! Q eu fique nua?!”. Aí, de repente, a porta me liberou. Só quem passa sabe a humilhação que é... isso no @BancodoBrasil"
12,2020-01-31,"Enquanto isso, meu cartão novo da @nubank chegou e desbloquiei em 2 minutos Incrível a diferença. Cada vez mais largando o @BancodoBrasil Cliente desde 2008, cancelei minha conta esse mês (pelo mesmo motivo: atendimento precário) e agora nem cliente de cartão quero ser mais"
13,2020-01-31,"Ta pra nascer um banco com atendimento pior do que o do @BancodoBrasil Atendentes extremamente mal preparados, só sabem repetir as opcoes do menu. Funcoes que nao funcionam, enfim em pelo 2020 e nao consigo nem desbloquear um cartão sem ter que ir em uma agência"
14,2020-01-31,"Olá, Michele! Por favor, me envia por DM o seu CPF e me dá mais detalhes de qual atendimento buscava e em qual agência esteve, pra que eu lhe auxilie por aqui. "
15,2020-01-31,Nubank
16,2020-01-31,"Quem financia ilegalmente? Seja lavando dinheiro, seja a partir de lobby ilegal?! @itau @santander @Caixa @bradesco @BancodoBrasil"
17,2020-01-31,"Olá, Andrey! Você conseguiu o atendimento? Por favor, me envia por DM o seu CPF me informe em qual agência esteve, pra que eu lhe auxilie por aqui "
18,2020-01-31,@BancodoBrasil ola ha processo seletivo na cidade de goias?
19,2020-01-31,"Será, Jonas? Quem sabe... "
20,2020-01-31,"Olá, Nico! Por favor, me envia por DM o seu CPF pra que eu veja essa situação e melhor lhe auxilie. "
21,2020-01-31,@BancodoBrasil to com msg de saldo aprovisionado na minha conta hoje e nem faço ideia donque seja. pode me ajudar?
22,2020-01-31,Ir em banco é só passar raiva
23,2020-01-31,Será que esse ano o BB vai me levar de novo? 
24,2020-01-31,enviado 
25,2020-01-31,"Olá, Leleo! Você já tem conta comigo? Me chama por DM e vamos conversar melhor sobre isso "
26,2020-01-31,Me manda por DM o seu CPF que vou ver se consigo te enviar 
27,2020-01-31,@BancodoBrasil maior e melhor fui pagar uma taxa do exército lá e fui super bem atendido por todos 
28,2020-01-31,@BlogdoNoblat @g1 @RodrigoFaro país do crime organizado @BancodoBrasil e @mrvoficial após o calote da#máfiacombo...me deram um golpe criminoso e ainda debocham.... Espero q vcs da @mrvoficial e @BancodoBrasil morram de fome de frio de doença...de tudo... #vagabundosSA
29,2020-01-31,"tenho saldo na minha conta, mas quando vou usar o débito da transição recusada @BancodoBrasil me diga oq eu faço pq eu não queria sacar este diero"
30,2020-01-31,Me dá um calendário do banco pelo amor de deus
31,2020-01-31,"...caso alguém que opere uma máquina de cartão tente qualquer transação com o seu cartão sem aviso (fraude), o domicílio dela aparecerá junto a transação aprovada. Como toda tecnologia nova, pode assustar no começo, mas logo vc se acostuma "
32,2020-01-31,"A tecnologia NFC é muita segura. As transações, dependendo do valor, tb solicitarão o uso de sua senha. Qualquer compra não reconhecida por vc poderá ser contestada diretamente comigo...."
33,2020-01-31,Pq é a única agência q temos na nossa cidade! É o caso de todos!
34,2020-01-31,Recomendo @BancodoBrasil
35,2020-01-31,Advinha quem avisou o Coaf
36,2020-01-31,DM respondida.
37,2020-01-31,Olá! Estou aqui! No que posso te ajudar?
