,date,text
0,2020-03-31,Kkkkkkkkkkkk vive chegando e-mail p mim dizendo isso E EU NEM TENHO CONTA LÁ
1,2020-03-31,"@BancodoBrasil responde minha dm, nunca pedi nada... tô com fome"
2,2020-03-31,Obrigado!!! @BancodoBrasil @bancoBV @ProconRJ @FEBRABAN seguimos na luta!! Sou Brasileiro não desisto nunca! @ProconCarioca @bandnewsfmrio
3,2020-03-31,"Não tem essa opção, veja:"
4,2020-03-31,"Para incentivar as transações virtuais em substituição às físicas, o @BancodoBrasil fez uma redistribuição dos limites e aumentou os online. O problema é que, se for impreterível o saque de um certo valor em espécie, terei que pedir ampliação e... ir até um TAA para confirmar. "
5,2020-03-31,"Aloooo @nubank @BancodoBrasil Tô duro , sem money, sem dindin, zerado #pas"
6,2020-03-31,"Olá, Luciana. Para a suspensão do débito, basta que o cliente BB acesse o app BB > menu > empréstimo > seleciona a linha desejada > renovação (com carência de 60 dias para a próxima parcela)."
7,2020-03-31,"Olá, Janilson. O site e app estão funcionando normalmente. Qual o acesso que vc tentou e estava fora do ar?"
8,2020-03-31,"Respondam minha DM, lixos!"
9,2020-03-31,"O @BancodoBrasil é tão mercenário que fez uma propaganda linda “vamos ajudar, vc tem de 80 a 160 dias pra pagar a próxima parcela do seu empréstimo” Entrei no app pra ver como fazia e a parcela aumentava caso eu fizesse isso Na tv é todo preocupado, na prática o pobre se fode"
10,2020-03-31,"Fico feliz em ajudar. Assim, vc consegue fazer mais coisas pelo app e evita a ida a uma agencia ou caixa eletrônico "
11,2020-03-31,Vale para consignados também?
12,2020-03-31,"Olá. O que ocorreu? Por gentileza, peço que me envie uma DM com o seu CPF e mais detalhes do ocorrido."
13,2020-03-31,"Vamos dar dica para ele: cancele as renúncias fiscais do .@itau .@bradesco .@bancodobrasil .@santander_br .@bmg .@hsbc safra e afins que será um ÓTIMO COMEÇO. paulo jegue, você é um DESGRAÇADO!"
14,2020-03-31,Alguém aí sabe quais bancos prorrogaram o prazo da fatura? @BancodoBrasil @timeneon @CetelemAtende @nubank @SICOOB_oficial @BancoCentralBR
15,2020-03-31,"Olá, Lu. A Darf é aceita em alguns bancos. Sugira que sua mãe verifique mais informações no site da Receita. Nesse momento de contingência, os clientes BB podem pagar esse tipo de guia pelo app BB, site e caixa eletrônico."
16,2020-03-31,"Olá, Géssica. A sua DM foi respondida."
17,2020-03-31,"Olá, Guilherme. Por gentileza, me envie uma DM com mais detalhes do ocorrido."
18,2020-03-31,E nada feito kkk
19,2020-03-31,"Olá, Rejane. Lamento por sua decisão. O assistente virtual me auxilia no atendimento das privativas do Twitter, Messenger e WhatsApp. Sempre que precisar falar com um humano, é só solicitar. Estou trabalhando em contingência e peço desculpas por eventual demora "
20,2020-03-31,Enviei
21,2020-03-31,"Olá, Wallace. Por gentileza, peço que me envie uma DM com o seu CPF para eu verificar o seu caso."
22,2020-03-31,mandei
23,2020-03-31,"Olá, Marcelo. Foram os empréstimos. Para a suspensão do débito, acesse o app BB > menu > empréstimo > seleciona a linha desejada > renovação (com carência de 60 dias para a próxima parcela)."
24,2020-03-31,"Olá. Não tenho previsão para suspender as parcelas do Fies. Porém, algumas operações de FIES tiveram processamento de abatimento em 29.02.2020, concedido a pedido do FNDE. Para verificar se foi o seu caso, por favor, me envie uma DM com o seu CPF."
25,2020-03-31,"Olá, Pedro. Todas as agências/centrais BB estão atendendo em regime de contingência e isso pode prejudicar um pouco o atendimento. Peço desculpas Neste caso, sugiro que tente o pagamento pelo Internet Banking, app BB ou caixa eletrônico."
26,2020-03-31,WhatsApp não responde
27,2020-03-31,"Poxa. Todas as agências/centrais BB estão atendendo em regime de contingência e isso pode prejudicar um pouco o atendimento. Peço desculpas Por favor, me envie uma DM com o seu CPF para que eu possa te ajudar por aqui."
28,2020-03-31,"Olá, Alexandre. Todas as agências/centrais BB estão atendendo em regime de contingência e isso pode prejudicar um pouco o atendimento. Peço desculpas Por favor, me envie uma DM com o seu CPF para que eu possa te ajudar por aqui."
29,2020-03-31,"Olá, Flávio. Para a suspensão do débito, basta o cliente BB acessar o app BB > menu > empréstimo > seleciona a linha desejada > renovação (com carência de 60 dias para a próxima parcela)."
30,2020-03-31,"Olá, Camila. Todas as agências/centrais BB estão atendendo em regime de contingência e isso pode prejudicar um pouco o atendimento. Peço desculpas Por favor, me envie uma DM com o seu CPF para que eu possa te ajudar por aqui."
31,2020-03-31,"Minha conta é poupança, eu tô tão brava com isso"
32,2020-03-31,"Um dia eu liguei lá e dei um show, tava cobrando 14 reais, tomar banho na soda"
33,2020-03-31,"Olá, Pedro. A atualização de endereço pode ser feita pelo app > perfil > meu cadastro. Após a atualização, vc poderá solicitar uma nova via do cartão pela central de relacionamento ou me chamando aqui pela DM."
34,2020-03-31,"Vou ficar ligando até alguém atender, tô com tempo mesmo @BancodoBrasil"
35,2020-03-31,Nunca vi isso cobrar saque @BancodoBrasil
36,2020-03-31,Liguei umas 3 vezes no 0800 dessa Merda e eles desligam a ligação @BancodoBrasil
37,2020-03-31,Eai @BancodoBrasil desde quando vocês cobram saque?
38,2020-03-31,Meu banco muito preocupado com minha saúde e meu dinheiro também. [Contém ironia] @BancodoBrasil valeu por me lembrar de não bloquear minha conta.[Contém ironia também]. Alô @policiafederal
39,2020-03-31,"Olá, Flávia. Por gentileza, me envie uma DM com o seu CPF e mais detalhes desta transação."
40,2020-03-31,"Olá, Igor. A sua DM foi respondida."
41,2020-03-31,"Olá, Renato. DM respondida."
42,2020-03-31,@BancodoBrasil me de um cartao de credito sem anuidade AGORA
43,2020-03-31,Quase a 1h esperando alguém do @BancodoBrasil me atender
44,2020-03-31,"Respondi, aguardo retorno."
45,2020-03-31,"@BancodoBrasil boa noite. Foi precisando sacar meu Pasep. Não estou conseguindo fazer a TED para o meu banco. Ja mandei os dados que vcs pediram por DM, mas SEM resposta. Me ajudem, por favor"
46,2020-03-31,"Finja surpresa! Os agiotas do @santader @Bradesco @itau @BancodoBrasil @Caixa Não perdem a oprtunidade de ""LUCRAR"" ALÔ @govbr"
47,2020-03-31,Manu Com 80%
