,date,text
0,2019-11-30,Palestras #HackaFio: Membros do time de TI do @BancoDoBrasil #ComunicatiBB apresentaram a jornada de chatbots criados para comunicação com o cidadãos. Na foto: Roberto Pereira e Philipe Santiago.
1,2019-11-30,no processo. é ótimo! rapidinho.. KKKKKK
2,2019-11-30,Não sei por onde o suporte do @BancodoBrasil é pior: telefone ou Twitter.
3,2019-11-30,Banco do Brasil sob governo fascista.
4,2019-11-30,desde quando o app do @BancodoBrasil é usado como zap? 
5,2019-11-30,Profissional liberal na casa do caralhoooo @BancodoBrasil 
6,2019-11-30,"O ""Rio de JANEIRO"", continua lindo...."
7,2019-11-30,Privatiza tudo!
8,2019-11-30,"Com o dólar à esse preço, kkkkkkkkk."
9,2019-11-30,Pobre curtindo tweet de banco.
10,2019-11-30,"Hoje não tenho mais conta no BB, mas já tive uma jurídica aqui em Brasília, lembro-me que o BB banco era muito engessado, o gerente não tinha autonomia, tudo dependia da plataforma, da diretoria, aliás o BB sempre foi mais agro mesmo, empresas pequenas não tinha vez."
11,2019-11-30,"@BancodoBrasil Esqueci a senha do meu cartão saraiva, como faço para acessar minha fatura agora?"
12,2019-11-30,Banco do Brasil devia fazer um Black Friday e comprar só metade da fatura do meu cartão kk @BancodoBrasil
13,2019-11-30,"Olá, Asafe. Me explica o que houve? Envia seu CPF por DM."
14,2019-11-30,Respondeu e sumiu
15,2019-11-30,"Olá, Gabriel. Me chama por DM para eu verificar o que houve."
16,2019-11-30,Tem uma semana que tento ligar pro SAC do @BancodoBrasil pra falar sobre o limite do meu cartão e até hoje nada de ser atendido... 
17,2019-11-30,"Vcs pode ajudar? Bloqueia a senha do cartão, fui ao caixa e falou que não estava bloqueios mas se tento colocar a senha sou informada que está bloqueado"
18,2019-11-30,"transferiram dinheiro pra minha conta na sexta poucas horas após eu fechar ela, o dinheiro será estornado na segunda?"
19,2019-11-30,@gikasmm Olá! Me explica o que houve? Manda seu CPF por DM para eu verificar.
20,2019-11-30,Eu tô lá respondendo tbm
21,2019-11-30,"Olá, Barbara. Respondi sua DM."
22,2019-11-30,Algumas considerações: Show cancelado? Ok. Demora para avisar o cancelamento: N Ok. Produção esperando a polícia(choque)chegar para dar a notícia? Definitivamente N Ok. Somos todos civilizados. @AllianzParque @ShawnMendes @BancodoBrasil @LivepassOficial
23,2019-11-30,Olá! Me explica o que houve?
24,2019-11-30,"Olá, Mauricio. Respondi sua DM."
25,2019-11-30,É filme sim. Garanto.
26,2019-11-30,"O pai(colaborador do Estado)me perguntando hoje às 10h se tinha caído o dinheiro na conta? Felizmente no município sim e com atencendencia! No estado? não para todos, mais quem são todos?"
27,2019-11-30,"Banco lixo, vou fazer a portabilidade da minha conta isso sim."
28,2019-11-30,Tudo bem? Vamos verificar o que houve junto ao setor financeiro. Por favor nos encaminhe por dm o código do pedido de compra.
29,2019-11-30,Que Bradesco garota? Tá passando vergonha apaga
30,2019-11-30,Vamos tentar né... vai que
31,2019-11-30,@BancodoBrasil pode me ceder um ingresso pro show do shawn Mendes aqui no rj ? Nunca pedi nada a vcs
32,2019-11-30, 
33,2019-11-30,Foram depositar dinheiro pra mim e deva que minha conta era insistente tbm Achei q fosse só comigo
34,2019-11-30,"Ih, Samantha, peço desculpas pela demora, a black friday passou, mas ainda tem o natal. Me chama na DM para eu analisar seu limite de crédito."
35,2019-11-30,Já encaminhei para o gerente que encaminhou pra o departamento apropriado.
36,2019-11-30,@MajinDJX Olá! Me explica o que houve? Chama na DM.
37,2019-11-30,"Olá, Lari. Qual sua dificuldade? me chama na DM."
38,2019-11-30,"@edisonlsm Olá, http://Edison.Vc conseguiu desbloquear seu cartão? me chama na DM para eu te ajudar."
39,2019-11-30,Olá! Me fala seu CPF por DM para eu consultar a situação do seu cartão.
40,2019-11-30,@naticesti Me fala o que houve? Chama na DM para eu te ajudar.
41,2019-11-30,"Olá, Santiago. Quando vc recebeu esse e-mail? Me chama na DM."
42,2019-11-30,Poucos Tweets promovidos valem um RT.
43,2019-11-30,"Respondi sua DM, Alex."
44,2019-11-30,Mindset 
45,2019-11-30,"@anarccarla Ólá, Ana. O desbloqueio do cartão pode ser feito pelo App, Internet ou Terminal. Me fala seu CPF por DM para eu analisar seu caso."
46,2019-11-30,"a cara do servidor do estado com essa ""Estória"""
47,2019-11-30,mandei \o
48,2019-11-30,"Oi, Pabru. Me fala seu CPF por DM para eu te ajudar."
49,2019-11-30,"Oi, Maria. Nem precisa ficar no telefone, me fala qual seu problema para eu te ajudar por aqui. ;)"
50,2019-11-30,"Peço desculpas pela demora, caso ainda precise de auxilio. Me chama na DM."
51,2019-11-30,"Olá, Yara. Respondi sua DM."
52,2019-11-30,Vencemos a primeira partida HEROES! Continuamos firmes no torneio da @playerlinkpl e @BancodoBrasil #LeagueOfLegends #GoHUE #BearAHero 
53,2019-11-30,
54,2019-11-30,"Olá, Gabriela. Me chama por DM para eu verificar sua tarifa."
55,2019-11-30,"Olá, Thalia. Me fala seu CPF por DM para eu verificar essa tarifa."
56,2019-11-30,"@123milhas @SafetyPayBr @proconspoficial roubo na #blackfriday! Pedido XM4-24G-W-19. Protocolo de atendimento é 227616997. Comprei, paguei por transferência entre contas do @BancodoBrasil e a @123milhas alega que não recebeu e é pra eu tratar diretamente com @SafetyPayBr"
57,2019-11-30,"Olá, Affonso. Te respondi na DM, aguardo seu contato por lá."
58,2019-11-30,Só barão vai usar
59,2019-11-30,Pq eu tenho dinheiro e não consigo passar no cartão @BancodoBrasil ????????????? Eu vou chorar!
60,2019-11-30,O filho do Mourao continua tendo promoção no @BancodoBrasil ?
61,2019-11-30,E DANDO DICAS
62,2019-11-30,Olha @BancodoBrasil ...queria muito q no app tivesse uma Boa igual o do @Bradesco ...pois estou com problema hj e como vou resolver? TENHO DINHEIRO E O CARTAO NAO TA PASSANDO....
63,2019-11-30,Olar sumido! Hoje tem HUE em Summoner's Rift! Nossos Heroes de League of legends disputam a última etapa do torneio da @playerlinkpl e @BancodoBrasil #LeagueOfLegends #GoHUE #BearAHero 
64,2019-11-30,Algum problema no sistema do @BancodoBrasil ? Tentei passar débito hoje em três estabelecimentos e a transação não foi.
65,2019-11-30,"Olá, Vaneide. Informe seu CPF por DM para eu te ajudar."
66,2019-11-30,8)
67,2019-11-30,"@SmilesOficial Pedi o cartão @VisaBR infinite Smiles do @BancodoBrasil com a promessa de um bônus de 20mil pontos. Vi que eles são creditados após a anuidade, porém tenho 1 ano sem anuidade. Como fica? Bônus só no 2o ano???"
68,2019-11-30,"Pagamento em dia é OBRIGAÇÃO, dever mesmo, assim como honrar os direitos dos servidores. Agora antecipar vencimentos fica a critério do gestor. Se o dinheiro está em conta e é possível fazer, excelente. O que não dá é para propor algo e não realizar "
69,2019-11-30,
70,2019-11-30,galera que recebe salário pelo @BancodoBrasil essa desgraça pagou a primeira parcela do décimo terceiro de vcs?
71,2019-11-30,"Agora não sei se o problema é na maquininha do mercado ou se deu algum problema no meu cartão pois tenho conta corrente e conta poupança do @BancodoBrasil na mesma conta...nossa, até fiquei tremendo"
72,2019-11-30,"Passei a maior vergonha no mercado... ÓBVIO q olhei no aplicativo do @BancodoBrasil antes d fazer a compra e conferir o saldo...OBVIO q estava aparecendo ""SALDO DISPONÍVEL"" tentei passar o cartão umas mil vezes e deu transaçao não autorizada. O mercado inteiro olhando, q vergonha"
73,2019-11-30,Acho lindo o @BancodoBrasil fazer um contrato falando que vai me cobrar 12 reais de tarifa e no final do mês tô com quase 27 reais a menos só de tarifa que nem faz sentido
74,2019-11-30,"Pois é prefeita, já eu acho incrível que pagamento de salário agora virou notícia.. Como se fosse um favor, um agrado que a ADM esteja fazendo com o servidor. Gestor que faz video, que manda aviso de pauta..Que momento heim!"
75,2019-11-30,"É sério que o @BancodoBrasil assumiu a responsabilidade (problemas técnicos), pelo não pagamento dos servidores públicos do @governoTO ? Em 1 ano e 7 meses que estou prefeita, NUNCA tivemos esse problema. Glória a Deus !!!"
76,2019-11-30,Invasão no Farmando Notícias! Corre no Youtube do e-SporTV porque o @williangordox chegou daquele jeito com as novidades da maior competição de universidades do Brasil! Acesse para conferir o link completo: https://youtu.be/Lq9i69__er8 #TamoJuntoNesseGame @BancodoBrasil 
77,2019-11-30, 
78,2019-11-30,Toda vez que eu tenho que falar com @itau @Itaucard @BancodoBrasil #ourocard eu lembro o tanto que o Nubank é foda.
79,2019-11-30,Resolvidoooooo
