,date,text
0,2019-10-31,"@BancodoBrasil MEU DEUS EU SÓ QUERO FAZER O UPGRADE DA MINHA CONTA, MAS A SESSÃO EXPIRA EM 10 SEGUNDOS, NAO AGUENTO MAIS"
1,2019-10-31,acho q é $20
2,2019-10-31,caralho q irado. elo grafite eh top
3,2019-10-31,"Boa noite! Por favor, me envia por DM o seu CPF pra que eu veja essa situação e lhe auxilie por aqui ;)"
4,2019-10-31,Olá! Fico muito feliz em saber de sua satisfação Conte comigo sempre que precisar ;)
5,2019-10-31,Bolsonaro APROVES
6,2019-10-31,Covardes
7,2019-10-31,"Boa noite! Por gentileza, oriente-o a me marcar em uma interação ou me chamar numa DM pra que eu consiga prestar auxílio por aqui ;)"
8,2019-10-31,Covardes
9,2019-10-31,Vcs são covardes. Porque NUNCA fiscalizam atrás do West Shopping? Nas calçadas da estrada das capoeiras? Na Rio do A? Ao lado do @BancodoBrasil do mendanha? Porque nesses locais vcs recebem arrego 
10,2019-10-31,Agradeço o pronto retorno amigos. Ainda bem out acabou! A campanha é super válida mas a LOGO do BB é quase que um símbolo nacional. Imaginem nossa bandeira c/ vermelho na campanha! No prox. ano pensem num baita 'empréstimo rosa' p/ hospitais comprarem eqtos prevenção s/ juros. 
11,2019-10-31,Quais contas eu posso fazer o upload que são permitidas?
12,2019-10-31,Oloco!
13,2019-10-31,o cara é gado em outro nível
14,2019-10-31,mano tu paga um monte de juro e taxa só de abrir o app do banco p tu chegar na agência e não ter UM ar condicionado funcionando e UM caixa com depósito on line disponível É de doer olha @BancodoBrasil No Acre faz calor até de madrugada. Bora melhorar isso aiii
15,2019-10-31,"Olá, Rauel! Me chama por DM o seu CPF pra que eu lhe auxilie por aqui ;) https://twitter.com/messages/compose?recipient_id=83723557"
16,2019-10-31,"@BancodoBrasil , gostaria que vcs me explicasse como funciona o critério de aprovação dos clientes referente a conta poupança. Fui informado que não posso fazer pos foi negada. Conta poupança passa por análise?"
17,2019-10-31,Nossa! laranjas é o psl gente
18,2019-10-31,"E agora ele contou uma envolvendo o @BancodoBrasil envolvendo racismo. Meu deus, que juiz top"
19,2019-10-31,Eu oq?
20,2019-10-31,"Ou com o ""rosto"" do seu pet "
21,2019-10-31,Olá! Já respondi sua DM e vou continuar interagindo com você por lá ;)
22,2019-10-31,@viclmnds
23,2019-10-31,Vcs vao se deixar privatizar? Lamentavel e criminoso
24,2019-10-31,"Se você já tem um cartão de crédito comigo, é só solicitar a personalização no App Ourocard ou na minha página na internet no seguinte link:"
25,2019-10-31,"E eu não tenho tempo pra ir no caralho de uma agência, PORQ EU TAMBÉM TRABALHO EM HORÁRIO BANCÁRIO, CACETEEEE @BancodoBrasil"
26,2019-10-31,"Boa noite! Por gentileza, me envia por DM o seu CPF e me esclarece melhor o que aconteceu, pra que eu lhe auxilie por aqui ;)"
27,2019-10-31,Sinceramente? Ridículos! @BancodoBrasil
28,2019-10-31,"Eu só queria n pagar 1real e pouco pra tirar o MEU DINHEIRO da conta salário pra conta corrente, é pedir muito?"
29,2019-10-31,"Boa noite! Por gentileza, me chama por DM e vamos conversar melhor sobre isso. Quero lhe auxiliar por aqui ;) https://twitter.com/messages/compose?recipient_id=83723557"
30,2019-10-31,Sr. Fernando? Seria Sr. Sérgio Fernando Moro @SF_Moro ? Ele precisou de ajuda do BB para cuidar do laranjal??? O perfil do BB agora faz piada igual ao do @GloboRural ?
31,2019-10-31,"Não é fake, francisco. A logo está rosa em apoio à campanha de prevenção ao câncer de mama #OutubroRosa ;)"
32,2019-10-31,@BancodoBrasil O melhor banco na minha opinião é o do Brasil. O nome já diz tudo Banco do Brasil. O meu banco e de todos nós.
33,2019-10-31,"Desculpa mas afirmo que quem precisa de créditos com essas taxas de juros, spread, que sobem cada vez mais, são pessoas que não merecem essa distorção econômica que merecia ser punida pelo CADE. Por outro lado os lucros só aumentam e o n° de agências só diminuem"
34,2019-10-31,"Olá, Leandro! Já respondi sua DM e vou continuar interagindo com você por lá ;)"
35,2019-10-31,Parabéns.
36,2019-10-31,@fr_laisa filme de hoje
37,2019-10-31,Valeu irmão. Qual valor dele?
38,2019-10-31,Isso é um laranjal?! Bolsonaro corre aqui 
39,2019-10-31,Essa fazenda é do Queiroz ?
40,2019-10-31, ....É ...talvez!
41,2019-10-31,"não tem jeito, o @BancodoBrasil é definitivamente o pior banco pra você ter uma conta, meu Deus do céu"
42,2019-10-31,Outubro rosa. Creio q seja isso.
43,2019-10-31,@BancodoBrasil cobrar por transferências entre contas BB é uma covardia hein...
44,2019-10-31,?
45,2019-10-31,@ofersouzah vc tá diferente nesse vídeo sr fernando
46,2019-10-31,Pensei no psl e seu laranjal... oaakakkakaakak
47,2019-10-31,"Boa noite, Kamille! Por favor, me envia por DM o seu CPF e me dá mais detalhes do que aconteceu pra que eu lhe auxilie por aqui ;)"
