,date,text
0,2019-12-31,@LollapaloozaBr corre aqui
1,2019-12-31,@Bradesco
2,2019-12-31,Infelizmente não ganhei na Mega Sena. Se fudeu @Bradesco @itau @CasasBahia @copeltelecom @nextelbrasil @bancopan Vamos tentar novamente ano que vem.
3,2019-12-31,"Entendi! Se notar algum valor indevido em sua conta, oriento contatar a central Fone Fácil para conferir ou falar com seu gerente ;) Feliz ano novo!"
4,2019-12-31,"Ok, obrigado.. Volto a entrar em contato."
5,2019-12-31,Que tipo de cobrança você se refere? É a cesta de serviços da conta?
6,2019-12-31,Oi! Você fez o processo numa agência?
7,2019-12-31,Esqueceu do @Bradesco
8,2019-12-31,@LollapaloozaBr POR FAVO
9,2019-12-31,Assista à edição exclusiva do JR 24 Horas desta terça-feira (31) com @bradesco #JR24H
10,2019-12-31,"Neste caso, oriento contatar a central Fone Fácil para verificar o ocorrido e, caso ainda assim não consiga realizar o cadastro, me avise por aqui."
11,2019-12-31,Assista à edição exclusiva do JR 24 Horas desta terça-feira (31) com @bradesco #JR24H
12,2019-12-31,Visa. É o da CC sim.
13,2019-12-31,@LollapaloozaBr
14,2019-12-31,Qual é a bandeira do seu cartão? Ele é de conta corrente?
15,2019-12-31,@LollapaloozaBr
16,2019-12-31,@LollapaloozaBr Olha isso!
17,2019-12-31,Oi! O que aconteceu? Houve alguma cobrança indevida?
18,2019-12-31,#GloboLixo
19,2019-12-31,"Não estava, venceria apenas em 2022. Foi cancelado pelo banco e ativaram outro cartão que recebi um tempo atrás sem solicitar o mesmo"
20,2019-12-31,Boa tarde a todos e bom trabalho que DEUS abençoe as famílias AMÉM AMÉM/ FELIZ Ano Novo à todos SOU TEU FÃS SC ITAJAÍ 
21,2019-12-31,
22,2019-12-31,Oi! Você abriu uma conta nova? Você verificou a possibilidade de cadastrar a chave no Fone Fácil?
23,2019-12-31,Assista ao JR 24 Horas I 3ª Edição com @Bradesco #JornalDaRecord
24,2019-12-31,Assista ao JR 24 Horas I 3ª Edição com @Bradesco #JornalDaRecord
25,2019-12-31,Oi! Posso ajudar?
26,2019-12-31,28/12 débito automático em conta. Como foi sábado foi descontado da minha conta dia 30/12/19
27,2019-12-31,Não desinstalei. Mas não consigo instalar no novo.
28,2019-12-31,Oi! Qual é o dia do vencimento da fatura?
29,2019-12-31,Oi! Posso ajudar? Seu cartão é de débito ou de crédito?
30,2019-12-31,@LollapaloozaBr
31,2019-12-31,Oi! Você se refere à chave de segurança? Você desinstalou do celular anterior?
32,2019-12-31,Seu cartão estava perto do vencimento?
33,2019-12-31,"Por ser um tipo de serviço online, não compra, pode haver restrições do uso do cartão. Verifique com o suporte se existe a possibilidade de usar este cartão e a bandeira que vc tem e, caso eles aceitem, me informe aqui."
34,2019-12-31,"Sim, em outros sites funciona normalmente, estou tendo problemas em aplicativos como Picpay, PayPal, Recarga Pay e etc."
35,2019-12-31,Oi! Por ser ser um cartão virtual ele pode ter restrições por parte do site que você está fazendo o pagamento. Em outros lugares você usou normalmente?
36,2019-12-31,@LollapaloozaBr
37,2019-12-31,@LollapaloozaBr corre aqui
38,2019-12-31,Assista ao JR 24 Horas I 2ª Edição com @Bradesco #JornalDaRecord
39,2019-12-31,Assista ao JR 24 Horas I 2ª Edição com @Bradesco #JornalDaRecord
40,2019-12-31,Torcendo pra isso acabar e cê dar um pé na bunda desse banco bosta 
41,2019-12-31,@LollapaloozaBr
42,2019-12-31,@LollapaloozaBr
43,2019-12-31,@LollapaloozaBr
44,2019-12-31,@LollapaloozaBr
45,2019-12-31,Ganhou uma bolada #MerchanNeves
46,2019-12-31,Milton feliz ano novo! Vc é uma ótima pessoa 
47,2019-12-31,Me patrocina tmb ae @bradesco 
48,2019-12-31,O que leva você para frente? Acesse https://banco.bradesco/prafrente/ #maisumpasso @Bradesco #publi
49,2019-12-31,@LollapaloozaBr
50,2019-12-31,@LollapaloozaBr
51,2019-12-31,@LollapaloozaBr cadê vc
52,2019-12-31,@LollapaloozaBr da uma força vai
53,2019-12-31,"Por aqui eu não tenho como acessar sua conta para consultas. Como você ainda não ligou, oriento contatar a central Fone Fácil para orientações."
54,2019-12-31,se vc for e eu não ela vai cancelar e tenho dito 
55,2019-12-31,@LollapaloozaBr
56,2019-12-31,@LollapaloozaBr
57,2019-12-31,kkkkkkkkos fatos
58,2019-12-31,Corre aki amade @LollapaloozaBr
59,2019-12-31,"Espero que chegue até na própria Lana pq ela é de dar ingresso pra quem precisa! Me identifiquei muito com vc, tbm tenho esse sentimento de que a Lana é um anjo da guarda "
60,2019-12-31,@LollapaloozaBr chega aqui
61,2019-12-31,@LollapaloozaBr ajuda a moça!
62,2019-12-31,@LollapaloozaBr
63,2019-12-31,@LollapaloozaBr ajuda a jovem aí 
64,2019-12-31,@LollapaloozaBr
65,2019-12-31,@LollapaloozaBr
66,2019-12-31,"Esse sonho vai se tornar real, eu acredito! @LollapaloozaBr @Bradesco @Budweiser_Br @chebr @adidasbrasil @doritosbrasil Marquem as marcas que fazem patrocínio do Lolla também !!!"
67,2019-12-31,ser realista eh tudo KKKKKK
68,2019-12-31,@LollapaloozaBr
69,2019-12-31,@LollapaloozaBr
70,2019-12-31,Vc estava conseguindo acessar normalmente? Isso acontece em qual etapa do acesso ao app?
71,2019-12-31,@LollapaloozaBr
72,2019-12-31,"No G Pay:""Não e possível adicionar o cartão"". No app do Bradesco parece que não dá pra fazer com o Cartão de débito."
73,2019-12-31,Miga essa é minha hiatoria mas graça a Deus consegui comprar esse ano com mt esforço espero q eles te ajudem! @LollapaloozaBr da uma força pra essa lanafan
74,2019-12-31,"Oi, boa tarde. O que acontece quando tenta realizar o cadastro do cartão?"
75,2019-12-31, 
76,2019-12-31, 
77,2019-12-31,@LollapaloozaBr
78,2019-12-31,@LollapaloozaBr comenta
79,2019-12-31,@LollapaloozaBr @lollapalooza realizem o sonhe desta fã de Deus
80,2019-12-31,O @Bradesco está ridículo.. ódio desse banco. Nem no último dia do ano
81,2019-12-31,@LollapaloozaBr vem migaaaaa leia
82,2019-12-31,Quero muito conseguir abrir com vocês! O @Bradesco começou a me cobrar R$87 na conta PJ. Não quero pagar nem mais um mês esse valor então onde conseguir abrir primeiro é pra onde vou transferir o dinheiro da minha empresa!
83,2019-12-31,@LollapaloozaBr
84,2019-12-31,"@Bradesco então é isso mesmo, pago o cartão no dia correto, ele é bloqueado por falta de pagamento e só será desbloqueado ano q vem?"
85,2019-12-31,@LollapaloozaBr
86,2019-12-31,@LollapaloozaBr
87,2019-12-31,Cancelaram meu cartão sem me avisar e ativaram outro que nunca tirei do envelope... Vê se pode isso
