,date,text
0,2020-02-29,Olha aí já fui na agência 2 vezes e nada. O sistema de vcs deve ser Cobol ainda ou Basic.
1,2020-02-29,Oi! Enviei uma DM para vc. Olha lá!
2,2020-02-29,O depósito que cai na hora sem precisar de envelope. Eu amei! Amo meu banco
3,2020-02-29,Pior banco
4,2020-02-29,"Oi! Fique tranquilo, pois não há cobrança de tarifa quando é feita uma transferência do Bradesco para o Next. Fico à disposição ;)"
5,2020-02-29,"Desculpa, não aguentei..."
6,2020-02-29,Podia chegar uma notificação no celular em cada compra realizada com o cartão. Ta faltando essa função @Bradesco
7,2020-02-29,"Cara, nem crédito eu tenho, graças a Deus... porque o aplicativo/ sistema de vcs é uma bela de uma merda... obrigado pela atenção"
8,2020-02-29,"Contrata um advogado e processa. Procura procon Celso Russomano, patrulha do consumidor. Vc ganha fácil"
9,2020-02-29,Já me inscrevi agora é torcer pra ser selecionada 
10,2020-02-29,Oi! O que houve com o seu cartão de crédito? Posso te ajudar em algo?
11,2020-02-29,Se inscreve no site deles... Salário e benefícios maravilhosos! O Bradesco é uma mãe 
12,2020-02-29,Vai a merda Bradesco... nunca mais abro uma conta nesse banco de bosta ....
13,2020-02-29,Adoro os Jetsons!!!
14,2020-02-29,
15,2020-02-29,oi mors sdds
16,2020-02-29,"no momento dessa propaganda, mamãe brigou comigo achando que tinha mudado o canal pra assistir desenhos "
17,2020-02-29,@_c_casttro
18,2020-02-29,Eu não sei informar :/
19,2020-02-29,Assista ao JR 24 Horas I Edição de sábado no #JornalDaRecord @bradesco 
20,2020-02-29,Assista ao JR 24 Horas I Edição de sábado no #JornalDaRecord @bradesco 
21,2020-02-29,#dia15euvou
22,2020-02-29,"E aí @Bradesco , em qual lei vocês estão respaldados em agir desta forma ? Falaram que iriam entrar em contato comigo e sumiram, não aceitam meu dinheiro me tratam com preconceito e ainda me fazem pagar uma taxa de transação a qual nem recebi graças a vocês."
23,2020-02-29,"Oi! Peço desculpas pelos transtornos. Sabe me informar o conteúdo das ligações (cobrança de cartão de crédito, empréstimo, oferta de algum produto)?"
24,2020-02-29,Oi! Os cartões de débito visa são elegíveis ao Apple Pay. Confira em:
25,2020-02-29,"Futuro chegou em tudo menos no internet banking de vocês ne, negócio não funciona de jeito nenhum"
26,2020-02-29,Enquanto isso o aplicativo pra computador segue cheio de bugs depois da atualização.....
27,2020-02-29,AGORA QUE VOCE ME RESPONDE?? TA DE SACANAGEM
28,2020-02-29,financiadores do mal q abate esse país.
29,2020-02-29,Vsf tu tbm
30,2020-02-29,O que é pra falar nessa merda dessa secretária eletrônica q não entende nada ?
31,2020-02-29,"Nem Precisava perguntar Muito boa a ideia pois o nosso cérebro já associou o Bradesco a esse desenho e convenhamos quem não gosta desse desenho Então foi uma boa ideia, cada dia aprendo mais"
32,2020-02-29,"Sim. Disseram que não tinha como resolver e eu deveria ir até uma agência (era 18h). Como a agência já estava fechada, pediram para eu ir no dia seguinte, pagando atrasado, com multa.. Mas relaxa, agradeço a sua atenção, mas não tenho o menor interesse em voltar para o Bradesco."
33,2020-02-29,"Pode, deposita 10 mil na minha conta, bjs"
34,2020-02-29,Queria muito estar no nosso camarote @Bradesco hj com aquele open bar
35,2020-02-29,E pq pelo app diz que tá disponível ? Pq na página oficial do serviço Samsung Pay no site do Bradesco também diz que tá disponível ?
36,2020-02-29,"Agora não pode mais, queria fazer o acordo do cartão de crédito de vocês. Que não foi ativado mesmo eu solicitando o acordo ..."
37,2020-02-29,W
38,2020-02-29,Essa propaganda do @Bradesco me fez lembrar de minha infância.
39,2020-02-29,abri uma conta essa semana só por esse comercial hahahaha parabéns
40,2020-02-29,Eu gostaria de abrir uma conta poupança
41,2020-02-29,Oi! Vc verificou se o valor transferido foi devolvido para a sua conta? A transferência foi por meio de DOC ou TED?
42,2020-02-29,Pago parcela de crédito pessoal e não retorna se agente precisar de pagar alguma parcela inesperada não tem como fica no cheque especial
43,2020-02-29,"Banco Bosta! Vai tomar no cool, banquinho lixo."
44,2020-02-29,Oi! O que houve? Posso te ajudar?
45,2020-02-29,Oi! Vc conseguiu contatar a central de atendimento responsável? Qual serviço precisava realizar/consultar?
46,2020-02-29,depois que eles me devolverem meu dinheiro eu peço
47,2020-02-29,MANDA O CARTOON NETWORK TRANSMITIR ESSA PROPAGANDA
48,2020-02-29,"Oi! Vc conseguiu entrar em contato com a central Fone Fácil? A senha que vc se refere é a eletrônica, do cartão?"
49,2020-02-29,Oi! Posso te ajudar? Me detalhe o que houve referente ao crédito pessoal. Chegou a conversar com o gerente a respeito? Alguma orientação?
50,2020-02-29,"Oi! O cartão que vc menciona é do Bradesco ou pertence a alguma loja? Pode me dar detalhes do ocorrido, por DM?"
51,2020-02-29,"A agência 2344 de Goiânia é a pior, sempre que vou lá sou mal atendida, já fui lá 5 vezes cancelar minha conta e eles se negam cancelar, antes me deram um termo de cancelamento falando que tinha cancelado mas não cancelaram. Agora eu sou obrigada manter minha conta com o banco???"
52,2020-02-29,"A agência 2344 de Goiânia é a pior, sempre que vou lá sou mal atendida, já fui lá 5 vezes cancelar minha conta e eles se negam cancelar, antes me deram um termo de cancelamento falando que tinha cancelado mas não cancelaram. Agora eu sou obrigada manter minha conta com o banco???"
53,2020-02-29,"A agência 2344 de Goiânia é a pior, sempre que vou lá sou mal atendida, já fui lá 5 vezes cancelar minha conta e eles se negam cancelar, antes me deram um termo de cancelamento falando que tinha cancelado mas não cancelaram. Agora eu sou obrigada manter minha conta com o banco???"
54,2020-02-29,A propaganda é boa só o banco que é Ruim!
55,2020-02-29,"Eu que fui desbloquear meu cartão de Bradesco, e a máquina travou! Obrigado @Bradesco "
56,2020-02-29,@juhvlt pede desculpa
57,2020-02-29,"Tive problemas com abertura de conta salario, erros de comunicação a respeito de uma declaração que inicialmente nao servia e que posteriormente precisava ser tirada. Somado as datas festivas a perca de tempo foi o dobro."
58,2020-02-29,"Eu vi essa programa 1h da madrugada e pensando que era reprise da madrugada, até saber que era um comercial. #nostalgia"
59,2020-02-29,Eu to há mais de 30 minutos esperando um atendente me atender no @Bradesco
60,2020-02-29,achei brilhante a propaganda do @Bradesco com os jetsons!
61,2020-02-29,Bradesco chupinhando os incríveis Jetsons. Viva as criptomoedas que vão afundar os bancos.
62,2020-02-29,"Adorei , muito bom"
63,2020-02-29,Vai ficar esperando kkkkkkkk
64,2020-02-29,@Bradesco Tinha que ter o chefe do George mas estão de parabéns
65,2020-02-29,“Experimente o futuro com Bradesco” - adoro ser a voz de vocês 
66,2020-02-29,Espero que o futuro seja sem Bradesco e Itaú.
67,2020-02-29,"Oi, o que aconteceu? Posso te ajudar?"
68,2020-02-29,"Oi, Gabriel. Desculpa a demora. Esse cartão é do Bradesco vinculado a conta ou é de loja? Você tentou realizar o pagamento em qual canal?"
69,2020-02-29,Respondi sua DM 
70,2020-02-29,"Oi, Renato. Peço desculpas pelo transtorno conseguiu a informação que precisava na agência?"
71,2020-02-29,Toda vez eu passando raiva com o @Bradesco. Se tem banco pior eu nunca vi.
72,2020-02-29,ruim é um elogio
73,2020-02-29,"Oii! Que bom que gostou, fico feliz em saber "
74,2020-02-29,Oi! Que bom conte sempre conosco 
75,2020-02-29,"Parabéns pro @Bradesco q no app tem a opção de pedir um novo cartão, aí vc vai na opção e ele manda vc ir na agência, uma comodidade incrível, ter q sair de casa e ir na agência, só pra pedir a porra de um cartão novo"
76,2020-02-29,Assim que eu chegar eu mando
77,2020-02-29,Oi! Vc tentou realizar algum saque no Autoatendimento? Por qual motivo ocorreu o bloqueio?
78,2020-02-29,Maneira a propaganda do @Bradesco com os Jetsons
79,2020-02-29,Ele não deve tá sozinho não!
80,2020-02-29,Oi! Conseguiu ser atendido? Qual serviço vc precisava realizar/consultar na central Fone Fácil?
81,2020-02-29,Que propaganda top!! 
82,2020-02-29,"sim, era as 14 hrs"
83,2020-02-29,"Oi! Caso já esteja posicionando a mão no leitor conforme é indicado nesse vídeo: http://spr.ly/60151WdCf, oriento que compareça em qualquer agência para solicitar o recadastro da sua biometria."
84,2020-02-29,"E ai, 2020 e nada mesmo do Apple Pay para o Amex?"
85,2020-02-29,Ah que lindinha essa propaganda! Amei! 
