,date,text
0,2020-01-31,O que a conteceu fiquei 2 hrs esperando. Para pega um boleto que não chego na minha casa e nem no email.
1,2020-01-31,Como não?Vc é um grande exemplo
2,2020-01-31,Olá! O que aconteceu? Posso ajudar?
3,2020-01-31,"Olá, peço desculpas pelo incômodo! Por favor, me informe o seu telefone com DDD, por DM, para que eu possa solicitar o bloqueio do envio dessas mensagens."
4,2020-01-31,Olá! O que aconteceu? Posso ajudar?
5,2020-01-31,RACISMO COM GENTE BRANCA NÃO EXISTE
6,2020-01-31,Eu não tô tentando lacrar... Eu sou negro e gay e vc não vê nenhum hétero apanhando na rua por dar um bjo na boca.. é a mesma coisa com quem tem a pela nunca existiu um mercado de vender pessoas brancas.. nunca amarraram pessoas brancas em troncos pra apanhar
7,2020-01-31,Oi! O que houve? Posso te ajudar?
8,2020-01-31,Oi! Em qual central de atendimento vc fez o contato? Qual o serviço que precisava consultar? Posso te ajudar?
9,2020-01-31,"NÃO EXISTE RACISMO REVERSO,SÓ RACISMO"
10,2020-01-31,MANO TU É MTO BURRO
11,2020-01-31,TALVEZ COM ESSA REPORTAGEM VC ENTENDA O REAL SIGNIFICADO DE RACISMO
12,2020-01-31,Real mano kkkkk
13,2020-01-31,"Não, sou só cliente do @itau a 5 anos, 9 anos cliente 9 anos cliente da @Caixa e 3 anos do @Bradesco E graças a Deus sempre fui muito bem atendido por todos eles. Deve ser pq nunca tentei sacar dinheiro com documentos falsos"
14,2020-01-31,"Olá, boa noite! O pagamento foi feito através de débito em conta ou fatura? Qual a data em que o pagamento foi realizado? O seu cartão de crédito é Bradesco ou vinculado a uma loja? https://twitter.com/messages/compose?recipient_id=79184083"
15,2020-01-31,Pesquisa mais sobre impossibilidade ontológica.. que talvez vc entenda que BRANCO NÃO É PACÍFICO DE SOFRER RACISMO
16,2020-01-31,"Saquei dinheiro no caixa do @Bradesco, na conta que eu abri pelo App, sem burocracia e nao foi em um caixa com sistema Linux igual os lixo de vocês!!!!"
17,2020-01-31,Cara tenta lacrar a qualquer custo kkkkkkkkk
18,2020-01-31,Belo argumento
19,2020-01-31,Quem q eu tenho q matar pra cancelar meu crédito pessoal no @Bradesco ????? Isso pq no dia q eu criei a conta falei pro moço q não queria pq não ia usar e ele assentiu mas ignorou totalmente!
20,2020-01-31,Belo argumento
21,2020-01-31,Putz vc é mais burro do q eu pensei não vale a pena gastar internet com vc.. tenho pena apenas
22,2020-01-31,Pelo menos foi na escola ou SÓ APRENDEU COM O FELIPE NETO KAKWKWJQJWBQJJE
23,2020-01-31,"Olá, Ti. Se você quiser, pode efetuar o cancelamento pela central de atendimento (o número fica no verso do cartão)"
24,2020-01-31,Vc verificou com a central de atendimento do cartão se todos os dados estão atualizados?
25,2020-01-31,Olá! O que aconteceu? Posso ajudar?
26,2020-01-31,"Espero q seja suficiente pra vc entender... ""Enquanto o sábio aponta o céu o idiota olha o dedo"""
27,2020-01-31,Babaquice?... REPITA COMIGO: NÃO EXISTE RACISMO REVERSO
28,2020-01-31,"Ele solicitou um novo cartão, vai demorar cerca de uma semana e meia segundo ele e, por enquanto, não posso usar o app, pq preciso que o cartão chegue pra cadastrar o Token"
29,2020-01-31,Olá! O que aconteceu? Posso ajudar?
30,2020-01-31,"Hoje eu questionei pq tive que ir lá na agência e o funcionário disse que não sabia o motivo. Enfim, agora se eu quiser ter meu dinheiro quando meu salário cair vou ter de ir na agência, o que me fará gastar uns 30 ou 40 reais só pra isso..."
31,2020-01-31,"Oi, com a mudança do app, a chave de segurança demora a ser aceita e a transferência trava. Mas, depois de umas 10 tentativas consegui"
32,2020-01-31,E?
33,2020-01-31,
34,2020-01-31,Ao que você se refere exatamente?
35,2020-01-31,Consegui abrir a conta. Ele alegou que era o único a estar responsável por abrir contas hoje e a demanda estava alta
36,2020-01-31,Ah sim mas cadê o racismo nisso?
37,2020-01-31,É DENEGRIR e não DENIGRIR
38,2020-01-31,Pesquisa a origem da palavra denegrir que vc vai entender
