,date,text
0,2020-03-31,"Olá, o procedimento para encerramento da conta, inclui a assinatura do termo de encerramento. Deste modo, assim que possível, caso seja seu desejo efetuar esse procedimento, se dirija à agência."
1,2020-03-31,@Bradesco @AloBradesco Liguei no 4002 e informa que devido a problema sistemico (?) Nao podem atender. E a postergacao da minha parcela que solicitei? Esta programado o debito na minha conta. E agora? Cc @proconspoficial @BancoCentralBR
2,2020-03-31,"Obrigado, respondi também"
3,2020-03-31,Obrigado
4,2020-03-31,"Parabéns pelo jornalismo, em um momento de crise tem demonstrado profissionalismo informando e acalmando."
5,2020-03-31,"Olá, depende da sua cesta de serviços. Vc pode consultar os serviços inclusos da sua cesta aqui: http://spr.ly/60191a7Wz ."
6,2020-03-31,Vcs estão de parabéns. Terminar um telejornal sempre com notícias boas é uma excelente iniciativa. Adorei.
7,2020-03-31,"Olá, qual informação foi orientada, na central de atendimento?"
8,2020-03-31,"Olá, se trata de qual cobrança? Me mande mais informações, por DM, por favor."
9,2020-03-31,Sem chance 
10,2020-03-31,@Bradesco POSSO saber pq começaram a cobrar anuidade do meu cartão de crédito do nada e sem minha autorização????
11,2020-03-31,Respondi sua DM.
12,2020-03-31,@santander_br Plmdds pelo menos os caixas eletrônicos em sp estão funcionando???? horas no telefone pra ninguém atender ou dar uma resposta!
13,2020-03-31,"RECORD, que vexame, a fala do Presidente sem som na TV...que decepção, tive que assistir em outro canal..."
14,2020-03-31,"Olá, o que acontece quando vc tenta contato?"
15,2020-03-31,"Olá, qual tipo de erro apresenta? Me envie um print, por favor."
16,2020-03-31,"Poxa, o que aconteceu? "
17,2020-03-31,"Olá, o seu cartão é vinculado à qual loja?"
18,2020-03-31,"Parabéns aos apresentadores do JR! Parabéns ao comentarista Augusto Nunes, perfeito o comentário de hoje!"
19,2020-03-31,Ensinem pra essa tal de Tainá a diferença de vai de encontro e vai ao encontro
20,2020-03-31,"Olá, de qual serviço vc precisa?"
21,2020-03-31,"Olá, para verificar condições de pagamento relacionadas ao cartão de crédito, oriento que entre em contato com a central específica do cartão. O telefone fica no verso do mesmo."
22,2020-03-31,Comentário Perfeito do Jornalista Agusto Nunes.
23,2020-03-31,Parabéns a vocês por esse jornalismo sério e compromissado com a verdade da notícia. É o único jornal que assisto ultimamente.
24,2020-03-31,"Augusto Nunes, parabéns, sensacional. Falou tudo!!!"
25,2020-03-31,@jornalnacional
26,2020-03-31,"Como sempre , falando abobrinhas esse augusto nunes"
27,2020-03-31,Da mesma laia do Itaú
28,2020-03-31,"@Bradesco Me cobrando taxa que não era pra cobrar. @ClaroBrasil duplicando do nada o valor do meu plano. Será coincidência, maré de azar?"
29,2020-03-31,Fazer resgate de um título de capitalização... não consegui.. dia inteiro e muito tempo no telefone.. desisti por hj
30,2020-03-31,"Olá, Conseguiu atendimento? Qual serviço precisa?"
31,2020-03-31,"Eu torci muito para que os bancos todos se explodam, são Satoshi Nakamoto veio para vingar! O início do fim começou! Adios!!! @santander_br @itau Principalmente o @Bradesco"
32,2020-03-31,"Vamos dar dica para ele: cancele as renúncias fiscais do .@itau .@bradesco .@bancodobrasil .@santander_br .@bmg .@hsbc safra e afins que será um ÓTIMO COMEÇO. paulo jegue, você é um DESGRAÇADO!"
33,2020-03-31,Já o @Bradesco é só ilusão ..mesmo vc indo na agência ..internet bank uma bosta ...banco escroto
34,2020-03-31,Respondi sua DM.
35,2020-03-31,"Ojalá!! Es de suma importancia, para nosotros que somos auto empleados y con esta contingencia si nos impacto en nuestros ingresos, ayúdenos con opciones por favor @cyamoda @Bradesco @Banxico @AsocBancosMx @SEGOB_mx @GobiernoMX @CondusefMX"
36,2020-03-31,"Jornalistas do @jornaldarecord por favor, é preciso q vcs levantem o histórico de saúde, dessas pessoas que morreram. A Secretária do Conselho Nacional, q morreu em Brasília, Ela tinha hipertensão ñ tratada, obesidade mórbida, fumante, e coronavirus. Faça a matéria completa."
37,2020-03-31,@CaioCastro @Juninhope08 @elbaramalho @MarciaFellipe @WesleySafadao @Carlinhosmaiaof @xuxameneghel @Colcci_PE @revistaforum @angelicaksy @Bradesco @itaipava @itau @americanascom @CasasBahia @MacMagazine @magazineluiza @vivobr @ClaroBrasil @TIMBrasil @CBF_Futebol @RodrigoFaro
38,2020-03-31,"Olá, além da opção de falar com seu gerente ou entra em contato com o Fone Fácil, vc pode avaliar as condições de pagamento para os seus contratos elegíveis, preenchendo o formulário disponível no site https://banco.bradesco/coronavirus/. Estamos por aqui, se precisar! "
39,2020-03-31,@itau @Bradesco @santander_br e do agronegócio
40,2020-03-31,"Olá, é uma boa sugestão. Me informe seu telefone, com DDD, por DM, para formalizarmos ela."
41,2020-03-31,"@Bradesco muito obrigada seus filhos da puta, agora o notebook que eu ia comprar aumentou 400 reais! VOCÊS SÃO UNS LIXOS"
42,2020-03-31,#ForaBolsonaro
43,2020-03-31,Rola de me dar um limite de cheque especial e atualizar meu nome pro de solteira? O @nubank atualizou meu nome sem precisar nem mandar documento.
44,2020-03-31,"Olá, como posso te ajudar por aqui?"
45,2020-03-31,Fique bem informado com as principais notícias do dia no #JornalDaRecord @bradesco 
46,2020-03-31,Fique bem informado com as principais notícias do dia no #JornalDaRecord @bradesco 
47,2020-03-31,Débito
48,2020-03-31,Oi! Desculpe pela demora. Esse cartão que vc possui é de crédito ou débito?
49,2020-03-31,"Liguei sim. Disseram que fizeram a tentativa, mas como ""o sistema"" não liberou, a única forma é indo presencialmente na agência ou caixa eletrônico. Liguei novamente mas o discurso foi o mesmo. Acho que ""o sistema"" precisa ser atualizado para a nova realidade. Empatia necessária."
50,2020-03-31,"Daí eu pergunto para o @Bradesco, esse banco SUJO E CANALHA: ATÉ QUANDO VAI PERDURAR ESSA PATIFARIA? ATÉ QUANDO EU VOU TER QUE AGUARDAR O SETOR RESPONSÁVEL CRIAR VERGONHA NA CARA E CESSAR ESSA CANALHICE??? Obrigado."
51,2020-03-31,"Pois bem. Acontece que o @Bradesco, esse banco CANALHA, continua mandando mensagens de cobrança para meu filho de UM ANO E OITO MESES que nem CPF possui. Foram quatro desde o dia que me pediram para aguardar. "
