,date,text
0,2020-04-30,Oi! Respondi a sua DM. Olha lá!
1,2020-04-30,É o jeito
2,2020-04-30,"Oi! Peço desculpas pela demora. Caso vc não tenha conseguido solicitar uma proposta do cartão Neo pelo site, procure uma agência mais próxima para preenchimento de proposta."
3,2020-04-30,"Boa noite, por aqui não temos acesso a cartões. Oriento a contatar a central de atendimento para mais informações e condições de pagamentos."
4,2020-04-30,"Oi, Gey! O que houve?"
5,2020-04-30,Oi! Peço desculpas pela demora. Vc conseguiu entrar em contato com a central Fone Fácil? Qual serviço precisava consultar?
6,2020-04-30,@Bradesco ajuda nóis! 20min pendurado no telefone pra resolver um problema simples de cartão de crédito e a galera fica me empurrando pra cada setor diferente!
7,2020-04-30,"Parabéns pelo projeto! Me inscrevi como individual, atualmente estou confeccionando para doar, mas gostaria de gerar uma renda!"
8,2020-04-30,@Bradesco enviei uma dm pra vocês!
9,2020-04-30,"Oi! Vc pode verificar a possibilidade do aumento do limite de seu cartão de crédito na central de atendimento de cartões, ou em sua agência, caso seja correntista."
10,2020-04-30,Oii! De qual transação bancária vc precisava? Conseguiu atendimento?
11,2020-04-30,"Vc tentou atualizar o app do Bradesco para obter esse acesso na plataforma desejada, ou chegou a atualizar o app da ferramenta que precisa usar?"
12,2020-04-30,Ja consegui fazer no final! Mas tava dando erro numa transferencia que eu tava tentando fazer e quando eu saio eu tenho de esperar uns 15 minutos pra conseguir entrar de novo pq fala q minha conta ainda ta sendo usada 
13,2020-04-30,"Meu cartão ainda não chegou, desde março esperando."
14,2020-04-30,"Oi, Bia! O que aconteceu?? https://twitter.com/messages/compose?recipient_id=79184083"
15,2020-04-30,Dúvido que exista um banco pior que essa bosta desse @Bradesco Banco lixo do caramba! 
16,2020-04-30,"Oi, ju! O que aconteceu? https://twitter.com/messages/compose?recipient_id=79184083"
17,2020-04-30,Enviei uma DM para vc. Olha lá!
18,2020-04-30,Atendo do Bradesco é ridículo! Tenho ranço!!!!!
