,date,text
0,2019-11-30,Assista ao JR 24 Horas I Edição de sábado com @Bradesco #JornalDaRecord https://www.pscp.tv/w/cLL5ADE0ODgwMzUzfDFSREdsTldrWHlxeEzyzvP-Wctty_9LZw6u3lmTDM-LStUUJ27ObBAQTq1dzg==
1,2019-11-30,Assista ao JR 24 Horas I Edição de sábado com @Bradesco #JornalDaRecord
2,2019-11-30,"É que na hora de fazer a TRAG deu um pequeno bug, mas parece que tá se resolvendo."
3,2019-11-30,"Oi, entrei em contato, estou aguardando o cartão de débito da conta chegar, sim. Possuo a chave de segurança via app. Mas foi que a senha de 4 dígitos ficou bloqueada mesmo. E também terei que recriar a biometria. [="
4,2019-11-30,Oii! Te respondi por DM.
5,2019-11-30,Compareci na agência de Mafra-SC. Não tinha dinheiro em nenhum caixa e isso está acontecendo em quase todos os finais de semana.
6,2019-11-30,Vc entrou em contato com a central no número que está no verso do seu cartão para verificar o motivo do bloqueio?
7,2019-11-30,Sim. Está tudo resolvido.
8,2019-11-30,Por falta de interesse depois de toda a pataquada que a agência de Paraty-RJ fez
9,2019-11-30,"CONSEGUI!!!!! tava tentando o 40020022. demorou 15 minutos pra eu ser atendida, mas insisti pq precisava muito. se puderem agilizar o atendimento, pelamordedeus, o cliente agradece. tentei pelo whatsapp antes mas por lá não consegui resolver o problema, então tive que ligar mesmo"
10,2019-11-30,Oii! Qual central vc estava tentando entrar em contato? Conseguiu atendimento?
11,2019-11-30,Oii! O que aconteceu? Vc compareceu em qual agência?
12,2019-11-30,"Ameaça? Não não, ele boicota mesmo, já estamos fazendo. Quem ameaça a folha é o Carniça com o ""controle da mídia""! Eu além de ter o AdBlock acionado para vcs fico de olho mas propagandas insistentes, o @Bradesco Seguros por exemplo, já sei quem NÃO contratar na minha renovação!"
13,2019-11-30,"Não quebrei, só previ que minha agência iria fechar, e iria sem querer me botar no exclusive sem pacote. agora tá o gerente me procurando pra trocar o pacote ou descer pro varejo, e quando ele pede pra descer, aí a bia recusa a descida! kkkkk"
14,2019-11-30,Ou seja: você quebrou o sistema do Bradesco
15,2019-11-30,"a bia ficou revolts comigo, e bloqueou a minha senha eletrônica, agora tenho que aguardar o cartão de débito. KKKKKKKKKKK e agora tou rindo que o atendimento não consegue entrar num cadastro de agência e conta. e o melhor a agência física mudou, e só fiquei sabendo por don hacker"
16,2019-11-30,Eu não uso a Bia nem fudendo
17,2019-11-30,Me lembrei agora do @luanborges KKKKKKKK com o bug do serviço de senhas.
18,2019-11-30,Vamos para o bolão! @ogabrielmachad0 Quanto tempo que o @Bradesco vai me deixar no telefone pq a bia tem um looping pra quem erra a senha eletrônica 3 vezes e o desbloqueio não acontece em ambiente digital.
19,2019-11-30,Vc entrou em contato com a central no número que fica no verso do seu cartão para verificar informações?
20,2019-11-30,"Vc é correntista? Me envie um print do SMS que vc recebeu por DM, por favor."
21,2019-11-30,caraca @Bradesco me atende pelamordedeus
22,2019-11-30,Oii! Desculpe pela demora. Que bom que conseguiu.
23,2019-11-30,Crédito kkkk
24,2019-11-30,Oii! O que aconteceu? Como posso te ajudar? https://twitter.com/messages/compose?recipient_id=79184083
25,2019-11-30,@Bradesco vai se fuder
26,2019-11-30,Oii! O bloqueio ocorreu no seu cartão de débito ou crédito?
27,2019-11-30,Dentre as as empresas anunciantes estão: @Toyota_BR @portoseguro @vivaraonline @DellnoBrasil @americanascom @HPBrasil @AccorHotelsBR @evino @sodramarlazer @Bradesco
28,2019-11-30,Dentre as as empresas anunciantes estão: @Toyota_BR @portoseguro @vivaraonline @DellnoBrasil @americanascom @HPBrasil @AccorHotelsBR @evino @sodramarlazer @Bradesco
29,2019-11-30,Dentre as as empresas anunciantes estão: @Toyota_BR @portoseguro @vivaraonline @DellnoBrasil @americanascom @HPBrasil @AccorHotelsBR @evino @sodramarlazer @Bradesco
30,2019-11-30,Dentre as as empresas anunciantes estão: @Toyota_BR @portoseguro @vivaraonline @DellnoBrasil @americanascom @HPBrasil @AccorHotelsBR @evino @sodramarlazer @Bradesco
31,2019-11-30,"Oii! Na impossibilidade de cadastro do token na central do fone fácil, vc pode realizar a ativação da chave de segurança nas máquinas de autoatendimento do Bradesco ou Banco 24 Horas com a utilização da biometria."
32,2019-11-30,"@Bradesco preciso da minha chave se segurança. Vcs dão a opção pelo telefone e pedem pra gnt irna agencia, a gente tenta contato com o atendente com outra opção fica 5 min esperando e a ligação cai, levando todo nosso crédito. Como é que faz?"
33,2019-11-30,Oii! Qual serviço vc tentou realizar? Apresentou alguma mensagem?
34,2019-11-30, 
35,2019-11-30, 
36,2019-11-30,Crédito em loja online.
37,2019-11-30,Tentou realizar a compra na função de débito ou crédito? Em uma loja online ou estabelecimento físico?
38,2019-11-30,"Oii! O cartão que vc recebeu em seu endereço de correspondência está desativado por qual motivo? Me envie mais detalhes por DM, por favor."
39,2019-11-30,Oii! Do que se trata o SMS que está sendo enviado para vc?
40,2019-11-30,"Olá, peço desculpas pelo transtorno! Por favor, me envie mais detalhes do que houve por DM. A mensagem de movimentação seria referente ao cartão de débito ou crédito? Se possível, me envie também um print da mensagem recebida."
41,2019-11-30,"Entendi. Caso queira me contar mais detalhes sobre a situação, vc também pode me chamar pela DM. Fico à disposição. https://twitter.com/messages/compose?recipient_id=79184083"
42,2019-11-30,"Essa thread é pra enaltecer algo que deveria ser básico, bom atendimento. Pagamos pelo serviço, não pedimos favor a banco algum. Não aceite atendimento ruim como padrão. @Bradesco, o cartão que vocês me mandaram depois de eu gastar R$270 tá aqui na mesa desativado."
43,2019-11-30,"Desde então venho usando até @BancoOriginal como meu banco principal, mas um coisa estava me incomodando: o cartão estava descascando. passei meses sem ligar pro atendimento por medo de ser a mesma novela do @Bradesco, mas hoje tomei coragem e liguei pro 4004-0800. Sim, hoje!"
44,2019-11-30,"Porque, conforme descobri depois, a agência da conta salário estava segurando pra falar comigo antes de autorizar, me oferecendo um pacote de serviço básico como benefício. Obviamente não aceitei e descarreguei toda a minha raiva do @Bradesco no atendente (educadamente, óbvio)."
45,2019-11-30,"Nesse meio tempo, me vi forçado a abrir uma conta salário na agência mais próxima do @bradesco, pra não ficar sem receber meu salário. Como eu já tinha uma conta do @BancoOriginal que estava parada a anos, pedi portabilidade bancária, que demorou mais ou menos 7 dias pra validar"
46,2019-11-30,"A diferença entre os bancos tradicionais e os online começa no atendimento. No início do ano precisei trocar meu cartão do @Bradesco que eu tinha perdido e minha agência, que fica em outra cidade a aproximadamente 8h de distância (Paraty-RJ) me obrigou a ir até lá."
47,2019-11-30,"@Bradesco , já desativei um plano de telefone antigo, mas ainda estão cobrando no débito automático. Como faz pra bloquear?"
48,2019-11-30,SEM CREDIBILIDADE ALGUMA
49,2019-11-30,"Olá, boa tarde! Vc chegou a consultar o RH da empresa para confirmar se o valor a ser creditado foi repassado? Se preferir, pode me chamar pela DM. https://twitter.com/messages/compose?recipient_id=79184083"
50,2019-11-30,"Oi, peço desculpas pelo transtorno! Essa questão vem acontecendo frequentemente? Se sim, das vezes anteriores, vc chegou a falar com algum de nossos funcionários sobre a falta de cédulas? Se preferir, pode me enviar os detalhes na DM. https://twitter.com/messages/compose?recipient_id=79184083"
51,2019-11-30,"(+) Para mais informações sobre o prazo de compensação, de acordo com a forma de pagamento, vc pode acessar o nosso site: http://spr.ly/60151ROBV https://twitter.com/messages/compose?recipient_id=79184083"
52,2019-11-30,"Olá, boa tarde! Dependendo da forma de pagamento usada, há o prazo de compensação de 24 a 72 horas estipulado pelo Banco Central do Brasil. Pagamentos na véspera dos fins de semana e feriados são processados em até 24 horas, a partir do próximo dia útil. (+) https://twitter.com/messages/compose?recipient_id=79184083"
53,2019-11-30,Vc tentou utilizar novamente o autoatendimento? Verificou com algum funcionário sobre a manutenção?
54,2019-11-30,"Olá, boa tarde! Peço desculpas pelo incômodo! Vc sabe me dizer a que se referem essas cobranças? Ex.: cartão de crédito, empréstimo, etc. Por favor, me envie o seu telefone com DDD por DM e os números que fazem essas chamadas para que eu possa solicitar o bloqueio. https://twitter.com/messages/compose?recipient_id=79184083"
55,2019-11-30,"Olá, boa tarde! Peço desculpa pelo ocorrido. De qual informação ou serviço vc precisa? Se preferir, pode me enviar os detalhes por DM. https://twitter.com/messages/compose?recipient_id=79184083"
56,2019-11-30,"Olá, o que aconteceu? Do que se tratam as reclamações? Se preferir, vc pode me contar os detalhes por DM. https://twitter.com/messages/compose?recipient_id=79184083"
57,2019-11-30,Olha @BancodoBrasil ...queria muito q no app tivesse uma Boa igual o do @Bradesco ...pois estou com problema hj e como vou resolver? TENHO DINHEIRO E O CARTAO NAO TA PASSANDO....
58,2019-11-30,"@Bradesco quero adiantar o pagamento da fatura que vence em 25 de dezembro, o cartão séria elo."
59,2019-11-30,"Poxa, Bradesco. Fui fazer uma compra e não rolou. Deu negado."
60,2019-11-30,Oii! O que aconteceu? Posso te ajudar?
61,2019-11-30,"Conta digital, esqueçam os bancos convencionais"
62,2019-11-30,Mas existe?
63,2019-11-30,"Opaaaa @pedro_hosilva vou ver isso, não aguento mais essas ligações chatas pra caramba oferencendo produtos.... chega, #bancodigital neles..."
64,2019-11-30,"O Santander tb é assim,p tudo respondem: Vá a agência que abriu a conta"
65,2019-11-30,"Oii! Após a emissão da nova via do seu cartão, vc consegue utilizar a biometria depois 48 horas úteis."
66,2019-11-30,Como assim? Sem saque no sábado? Toda a minha raiva hoje pelo @Bradesco
67,2019-11-30,Caixa econômica tá no mesmo nível!! Uma burrocracia pra era digital! Só acho ne!
68,2019-11-30,Banco maldito
69,2019-11-30,@unimedbr
