,date,text
0,2019-10-31,Oi! Vc pode pedir a alteração da forma de pagamento da fatura através da central de atendimento do seu cartão de crédito. O número tbm está informado no verso do cartão. ;)
1,2019-10-31,E deve suspender todo apoio a quem financia está facção. @CervejariaAmbev @chevroletbrasil @itau @Bradesco @CasasBahia vcs apoiam a redeesgoto?
2,2019-10-31,Está redeesgoto só quer o pior do Brasil. @CervejariaAmbev @itau @Bradesco @CasasBahia @chevroletbrasil vcs apoiam isso? @redeglobo @SBTonline @recordtvoficial @radiojovempan
3,2019-10-31,"A @redeglobo é pior que o s s t .f e aquele diarreia que lá existe. O @jornalnacional um dia prestou, agora com é apenas lixo não reciclável. @itau @Bradesco @chevroletbrasil @CervejariaAmbev @CasasBahia"
4,2019-10-31,Oi! Posso ajudar? Vc recebeu um SMS ou ligação em nome de outra pessoa? Me informe via DM. ;)
5,2019-10-31,N foi o bradesco q te deu ingresso pro rock in rio?
6,2019-10-31,"Em nosso site é informado que apenas os cartões de crédito Visa são aceitos nessa modalidade de pagamento. Para maiores informações, entre em contato com a Central de Atendimento (o número está no verso do cartão). Link:"
7,2019-10-31,Simples ASSIM Não vou morrer sem @OMOBrasil @sadia @perdigaooficial @AvonBR @naturabroficial @NissanBrasil @BrahmaCerveja @Citroen @CasasBahia @itau @Bradesco @paodeacucar BOICOTE TOTAL.
8,2019-10-31,"Você se equivocou. Quando ele diz em ""lojas físicas"", refere-se ao uso do NFC; e ""online"" no uso do Google Pay em apps que aceitem o método GPay. Google está afirmando que o cartão da Elo Débito é compatível com o Google Pay."
9,2019-10-31,"tá bem, muito obrigada!"
10,2019-10-31,Vale ainda ressaltar que não há motivos para o site do Google Pay listar cartões que não sejam compatíveis com o serviço ;-)
11,2019-10-31,"Tenta pelo site, caso não consiga, liga la na central de atendimento novamente. Como sua fatura está fechada agora, veja diretamente com eles."
12,2019-10-31,Olá! Como apresenta a descrição da cobrança no seu extrato? https://twitter.com/messages/compose?recipient_id=79184083
13,2019-10-31,"[+] Verifique a possibilidade do cadastramento dessa chave através da central Fone Fácil. Se tiver a Biometria na palma da mão, é possível nas máquinas de Autoatendimento ou Banco 24h."
14,2019-10-31,"fala!! Seguinte, o pagamento a qual me refiro é do cartão de crédito. O meu tem sido feito por débito automático, mas quero pagar por boleto"
15,2019-10-31,"Entendo. A chave que vc se refere é a do Tancode. Nesse caso, oriento que vc faça o cadastro da chave de segurança (Token) virtual, do qual vc terá 6 números aleatórios. [+]"
16,2019-10-31,"Olá! O pagamento a qual você se refere é sua conta de luz? Você pode cancelar o débito automatico pelo app, internet banking ou pela central de atendimento do Fone Fácil (o número fica no verso do cartão)"
17,2019-10-31,Alo @Bradesco essa indireta foi pra vc resolver meu caso bruxo maldito.
18,2019-10-31,"Pode me enviar um print da tela de seu extrato com o débito referente a recarga, por DM, para eu consultar? https://twitter.com/messages/compose?recipient_id=79184083"
19,2019-10-31,"Na verdade eu precisava abrir a conta hoje, pois amanhã é meu pagamento... Enfim, amanhã vou ver se tenho mais sorte em outra agência."
20,2019-10-31,"@santander_br Esse aplicativo de vocês servem pra que? Essa merda só fica fora do ar! Prefiro o @Bradesco, nunca sai do ar!"
21,2019-10-31,Olá! Você não está conseguindo usar? Apresenta algum erro?
22,2019-10-31,Oriento que verifique sempre as informações publicadas em nosso site. ;) Link:
23,2019-10-31,"Oi! O site informa que a bandeira Elo é compatível com transações em lojas físicas e online. Para o serviço Google Pay, de acordo com as informações do nosso site ""são cartão de Crédito pessoa física da bandeira Visa emitidos pelo Banco Bradesco Cartões""."
24,2019-10-31,"Olá, Paolla! O que aconteceu? Posso ajudar?"
25,2019-10-31, 
26,2019-10-31,Pena que não funciona
27,2019-10-31,"Poxa, peço desculpa pelo ocorrido! :("
28,2019-10-31,"Opa, vamo que vamo"
29,2019-10-31,Assista à edição exclusiva do JR 24 Horas desta quinta-feira (31) com @bradesco #JR24H
30,2019-10-31,Assista à edição exclusiva do JR 24 Horas desta quinta-feira (31) com @bradesco #JR24H
31,2019-10-31,"Melhor a caixa,eles anunciam na Globo"
32,2019-10-31,"Olá, Raquel! O que aconteceu? Posso ajudar?"
