,date,text
0,2020-04-30,
1,2020-04-30,Ah entend amigo
2,2020-04-30,Qual o melhor banco digital: @Bancointer ou @nubank ?
3,2020-04-30,@Bancointer não cobra taxa de corretagem.
4,2020-04-30,"Ahhhh como não uso pra depósito, nem no bradesco uso kkk"
5,2020-04-30,no meu @Bancointer é 0 
6,2020-04-30,"A análise para ativação do crédito é feita com base em critérios internos, tá bem? Em 90 dias você poderá solicitar uma nova análise. Separamos um texto do nosso blog com algumas dicas que vão te ajudar, confira:"
7,2020-04-30,"Ei, Camila! Para que possamos te ajudar da melhor maneira possível, por gentileza, você pode nos chamar pelo chat? Basta acessar o link https://ajuda.bancointer.com.br/ e clicar no ícone do chat no canto inferior da tela!"
8,2020-04-30,Já fiz e nunca liberam
9,2020-04-30,"Olá! #ContaPraGente: você já solicitou sua análise de limite de crédito? É fácil, basta acessar a aba “Cartões”, no seu app ou IB, e clicar em “Solicitar Limite de Crédito”. Você receberá um retorno da nossa equipe por e-mail em até 7 dias, certinho?"
10,2020-04-30,@Bancointer só queria um limite de crédito liberado 
11,2020-04-30,
12,2020-04-30,"Sai fora desse banco, melhor o cartão do banco imobiliário, funciona melhor e te atende quando liga no 0800"
13,2020-04-30,"@Bancointer Fiz alteração do número do celular ontem, mas quando tento cadastrar o isafe, não recebo o código via sms. E agora??"
14,2020-04-30,Pegou no pulo kk
15,2020-04-30,@Bancointer olha esse site aí roubando dados dos clientes de vcs https://serwer2060121.home.pl/2G9zaXR/pb24iOj/F9/e131/67b24a/7f7201/6b5379/bba922/a1a9d43/6703ab9f/61076e/4f6ff8/c57c271ea/onlogin/
16,2020-04-30,"Você pode desinstalar o seu app, reinstalar e tentar novamente?"
17,2020-04-30,"Bom, isso não funciona hahahahaha. Movimentei aproximadamente 10x o valor do limite/mês, paguei em dia, antecipei pagamentos, mas desde fevereiro desisti de movimentar. O algoritmo de vocês é falho."
18,2020-04-30,"Isso , aí quando eu aperto no Gmail não dá certo . Estou conseguindo pelo WhatsApp"
19,2020-04-30,"Antonio, no menu ""Gerenciar boleto"", basta selecionar o boleto em questão e clicar em ""Gerar PDF do boleto"", certinho? Feito isso, irão aparecer as opções de compartilhamento do seu boleto, combinado?"
20,2020-04-30,"Para que possamos verificar sobre o seu caso com nossa equipe e te ajudar da melhor maneira possível, por gentileza, você pode nos chamar por DM?"
21,2020-04-30,"Uhuuul \O/ Temos certeza que você vai curtir muito o seu cartão Morumbi, Sebastião! Pode contar com seu banco parceiro sempre que precisar "
22,2020-04-30,"Olá! Nossos correntistas contam com reanálise automática. Continue utilizando o seu cartão para compras no crédito, realize o pagamento integral das suas faturas em dia e utilize os demais serviços da Conta Digital para ter mais chances de aumentar o seu limite de crédito!"
23,2020-04-30,"Seja muito bem-vindo, André! Temos certeza que você vai curtir muito essa experiência digital! Sempre que precisar, pode contar com seu banco parceiro "
24,2020-04-30,"Quero enviar o Boleto pelo Gmail , mas quando eu tento enviar não vai o pdf e sim um arquivo sem formato"
25,2020-04-30,"Ei, Antonio! Você pode nos explicar melhor quais dificuldades está encontrando?"
26,2020-04-30,"Kkkkkkkk sério? Meu nubank virou quase uma poupança, achei o inter infinitamente mais completo"
27,2020-04-30,"@Bancointer não estou conseguindo compartilhar o pdf dos boletos que gerei pelo App , só está dando certo pelo site ."
28,2020-04-30, 
29,2020-04-30,Eu uso os dois. Meu único reclame com o Inter é o limite que permanece o mesmo há dois anos kkkkkkkk
30,2020-04-30,"Chocado do pisão do banco inter no meu nubank, fiz minha conta no Inter sem mt expectativa, meu cartão débito chegou,solicitei pra desbloquear a função crédito achando que não ia ser aprovado que nem o nubank (sabe Deus pq), e vrá! Liberou e com limitezão! @Bancointer pisa menos!"
31,2020-04-30,@Bancointer agora vai. Bora iniciar os trabalhos kkkk...chegou muito rápido. Obrigado pela agilidade e profissionalismo. 
32,2020-04-30,"Perto ou longe, mãe tá sempre cuidando da gente, né? No #DiaDasMães você pode retribuir esse carinho aproveitando as promoções do nosso Shopping e ainda receber cashback pela compra. Acesse o app e confira: https://bancointer.onelink.me/nyEn/1TTdiadasmaes"
33,2020-04-30,"Que coisa boa, Gisele! Aproveite bastante todas os benefícios do seu laranjinha e #contacomagente sempre que precisar! "
34,2020-04-30,Eu já tirei foto dos meus documentos três vezes e sempre da errado
35,2020-04-30,
36,2020-04-30,"Gustavo, por gentileza, oriente que a pessoa que realizou a transferência entre em contato com a gente novamente pelo chat do aplicativo, combinado? Estamos à disposição para ajudar por lá!"
37,2020-04-30,"Mandou bem, Mayck! Ficamos muito felizes em saber que você está nos ajudando a colorir o mundo de laranja! #EssaRevoluçãoÉNossa "
38,2020-04-30,"Gustavo, sempre que identificada qualquer divergência no preenchimento dos dados, o valor retorna para a conta de origem, tá bem? Nesse caso, orientamos que você entre em contato com o banco de destino e verifique sobre a transferência!"
39,2020-04-30,"Hoje fui em uma empresa e o dono estava reclamando que ficou o dia todo pra descontar um cheque no banco, falei pra ele do banco @Bancointer que já faz isso tudo online e depois transfere com Ted gratuita, ele e mais 5 funcionários fizeram cadastro kkkk"
40,2020-04-30,"#VemPraNossaRevolução, Luy! Nossa Conta Digital é 100% gratuita, somos um banco completo, e nossos correntistas contam com atendimento personalizado! Temos certeza que você vai curtir essa experiência digital. Se tiver qualquer dúvida, #contacomagente, tá bem? "
41,2020-04-30,"#contacomagente para o que precisar, Jam! "
42,2020-04-30,"Alguém disse meu nome?? Ei, Iguu! #contapragente podemos te ajudar em algo?"
43,2020-04-30,Então isso não é privilegiar usuário do banco infelizmente
