,date,text
0,2019-12-31,"Não abra conta no @Bancointer ! Péssimo atendimento! Você antecipa fatura e eles ainda cobram valores... Se confundem no atendimento, geração e antecipação de fatura! Lesando seus correntistas! Mesmo aqueles que pagam antecipado! Sai fora!"
1,2019-12-31,Bem mal! O atendimento do @Bancointer é péssimo! Não façam conta neste banco! @Bancointer tem que melhorar e muito o atendimento com os seus correntistas! Irei registrar várias reclamações contra vocês no banco central!
2,2019-12-31,Não façam conta no @Bancointer ! Pois o mesmo age de má fé! Realizei a antecipação integral da minha fatura e ainda consta um saldo que não existe! @Bancointer lixo de banco e atendimento! Irei registrar reclamação junto ao banco central! #interlixo #Inter
3,2019-12-31,"Passada, nem sabia que existia isso Que sacanagem Mas fui fazer uma transferência agora e só vai entrar dia 2 Será que não contaram hj como dia útil tbm?"
4,2019-12-31,Os meus sempre caem no dia seguinte
5,2019-12-31,Aí @daisynegri
6,2019-12-31,Fiquei decepcionadaço com a @nubank... ai @Bancointer me aguarde q to chegando
7,2019-12-31,"Até que enfim o @Bancointer me deu a função crédito, agora tá tudo completo "
8,2019-12-31,
9,2019-12-31,Como funciona para abrir conta PJ que não seja MEI? Não encontrei essa opção no site
10,2019-12-31,"Acabei o ano e investi em ações pela primeira vez, escolhi o banco inter para começar com pé direito nos investimentos"
11,2019-12-31,"Não vai ter jeito mesmo mano, vou ter que pular! @timeneon decepciona demais!"
12,2019-12-31,Vamo @Bancointer Analisa meu empréstimo aí
13,2019-12-31,Eu faria isso caso o HB fosse liberado para menores.
14,2019-12-31,"Parabéns, felicidades "
15,2019-12-31,"Ele é um cara que eu sempre quis aqui, as vezes a galera faz isso para caçar click."
16,2019-12-31,"Sim o transfermarket parece que é confiável mesmo , queria saber oq perfils ganham dando essas noticias , mais bem que podia ser verdade , seria um bom reforço."
17,2019-12-31,O app deles é bem legal e é bem intuitivo pra abrir a conta Fora que da pra escolher a cor do cartão
18,2019-12-31,Último ano do Leco. Dá pra acreditar ...em 2021!
19,2019-12-31,"Se liga, me baseio no transfermarkt (acho que é confiável)."
20,2019-12-31,Já pode começar 2020 com a #copinha2020
21,2019-12-31,@Bancointer pensa em implementar aluguel automático de ações no seu Home Broker ? Aliás a plataforma tem me atendido muito bem.
22,2019-12-31,Estranho.
23,2019-12-31, 
24,2019-12-31,Arbojudas
25,2019-12-31,Coloca esse bando de VAGABUNDOS filhos da puta pra jogar futebol e ser campeão porra!
26,2019-12-31,Assim espero. Feliz Ano Novo!
27,2019-12-31,Desejamos títulos!
28,2019-12-31,"Dificil mano, ele tem contrato até 30.06.2021. Só se ele bancar a própria multa"
29,2019-12-31,"feliz ano novo amor da minha vida!! esse ano não foi um dos melhores, MAS ANO Q VEM É NOIS TE AMOOOO "
30,2019-12-31,"O lixo Arboleda na foto! Péssima escolha, uma afronta #FelizAnoNovo !"
31,2019-12-31,"Obrigada, um bom ano novo ao nosso tricolor! Último ano do câncer do São Paulo chamado Leco! "
32,2019-12-31, 
33,2019-12-31,"Ele quer voltar ao brasil por causa da familia , chegaria a custo zero , pelo oq eu vi."
34,2019-12-31,Feliz Ano Novo para nós 
35,2019-12-31,O valor de mercado do cara é 14 Milhoes de Euros
36,2019-12-31,sei que 2020 beliscamos algo...
37,2019-12-31,Q boca suja Maria
38,2019-12-31,Ganha umas taças em 2020 pfvr
39,2019-12-31,"Com esse elenco e técnico bosta, não vamos ganhar nada seus fdp"
40,2019-12-31,Feliz ano novo pro amor da minha vida São Paulo e pro melhor patrocinador @SPFCBancoInter 
41,2019-12-31,Giuliano e vc acredita ?! Bobin
42,2019-12-31,2020 será um ano de glórias AMÉM
43,2019-12-31,TE AMOOOOOOOOO
44,2019-12-31,"Reforço com déficit? Já pode desiludir. Provavelmente vão segurar as barras para pagar umas dívidas, espero que paguem mesmo, acho que é o melhor cenário."
45,2019-12-31,Me explique o que seriam conquistas 
46,2019-12-31,2020 ou vai OU VAIIIIIIIII PORRA
47,2019-12-31,Obrigado! Q essa parceria continue pós mais anos.
48,2019-12-31,Feliz Ano Novo às equipes: @nubank @Bancointer @BancoOriginal @C6Bank @meudigio
49,2019-12-31,Quando se trata de São Paulo! Mais que tudo seja diferente em 2020 
50,2019-12-31,"Marketing do SP é uma merda mesmo. Liguem a imagem do clube a jogadores bem quistos pela torcida, como Hernanes, Volpi e Bruno Alves. Não com quem coloca a camisa do rival."
51,2019-12-31,Ex grêmio e internacional
52,2019-12-31,Quem é Juliano mano? kkkkkk
53,2019-12-31,comemorar conquistas KKKKKKKK
54,2019-12-31,"Que o Banco Inter renove e pague mais nessa camisa, porque tá muito barato, por tudo que o banco cresceu graças ao torcedor (não ao clube que é uma merda, administrado por lixos)."
55,2019-12-31,"Feliz ano novo, mas renova com a gente aí, por favor!"
56,2019-12-31,Por favor! Te amo e 2020 é nosso!!!! 
57,2019-12-31,Kkkkkkkkkkkk vc acredita...
58,2019-12-31,Pq o merda do arboleda está na foto? Vcs são um lixo mesmo
59,2019-12-31,"Feliz ano novo, que 2020 seja um ano de glorias TE AMO "
60,2019-12-31,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK desculpa
61,2019-12-31,POR FAVOR ME TRAGA TITULOS ANO QUE VEM!!!! POR FAVOR
62,2019-12-31,blz contrata alguem bom ae
63,2019-12-31,Cadê os reforços? Com esse elenco vamos comemorar oq? Time grande não cai? Comemorar renda? Estação de metrô? Reforma de vestiário? O SPFC virou uma piada!
64,2019-12-31,"Que o nosso patrocinador @SPFCBancoInter continue com nos em 2020. O melhor que tivemos, temos um estagiário zueiro igual nos torcedor."
65,2019-12-31,"te amo muito, me dê títulos em 2020"
66,2019-12-31,"Feliz Ano novo,apesar de muitas decepções com vocês,torcida ama demais esse clube,que 2020 seja um ano de glórias pra o tricolor "
67,2019-12-31,ANUNCIA O JULIANO .
68,2019-12-31,Ta de brincadeira né
69,2019-12-31,"feliz ano novo, te amo"
70,2019-12-31,Ganha algum título ano que vem pelo amor de Deus 
71,2019-12-31,"Arboleda na foto? tá me tirando né mano, vai lascar"
72,2019-12-31,cm leco na presidência é difícil ser um feliz 2020
73,2019-12-31,"estamos juntos meu grande amor, feliz ano novo! "
74,2019-12-31,Pra NÓS NÉ!!! Voltem as glórias!!!
75,2019-12-31,2020 a libertadores é nossa.
76,2019-12-31,ano que vem é nosso 
77,2019-12-31,feliz ano novo mas tá difícil de acreditar nas conquistas ano que vem porra
78,2019-12-31,Taça INSS já é nossa
79,2019-12-31,Calleri
80,2019-12-31,tira o arboleda da foto irmão
81,2019-12-31,"Foto com arboleda, cês tem merda na cabeça."
82,2019-12-31,Q 2020 seja de conquistass tmj meus amores 
83,2019-12-31,"oi te amo, me deseja feliz ano novo"
84,2019-12-31,"feliz ano novo amor, e que em 2020 você saia da seca assim como eu"
85,2019-12-31,"eu espero viu, amo vcs e feliz ano novo "
