,date,text
0,2020-02-29,A conta e boa e recomendei pra mais 3 pessoas que abriram a conta! Só não consegui meu cartão contactless ainda...
1,2020-02-29,@Bancointer me deixou sem minha cerveja por misteriosamente meu cartão aparecer bloqueado Parabéns Inter. Só negação
2,2020-02-29,"Mesma situação aqui. Ainda bem que consigo usá-lo no Samsung Pay, senão teria que cancelar."
3,2020-02-29,"Tenho Inter e Visa. Visa 8,800,00 Inter 3,300,00 Esperando os próximos capítulos. Afinal, nao dependo de banco, mas eles dependem de nós."
4,2020-02-29,"hoje é meu aniversário, aumenta meu limite? @Bancointer"
5,2020-02-29,GTI Administradora de Recursos. Acho que antigamente era GTI Órama
6,2020-02-29,"Olá, já fiz mais de 30 vezes o meu cadastro no App do banco inter e nunca consigo, pois no email diz que tem um erro mas não diz qual é e sempre pede tudo novamente. O que faço????"
7,2020-02-29,Aqui tá operando normalmente.
8,2020-02-29,Não entendi
9,2020-02-29,@Bancointer eu fui prejudicado pelo sistema de vcs e NINGUÉM conseguiu me ajudar a resolver a situação! assim fica difícil... 
10,2020-02-29,E ae @ricocomvc tb quero
11,2020-02-29,E a GTI? É a Órama?
12,2020-02-29,"Se n conseguem entregar um cartão, que é o básico, imagina o resto?!"
13,2020-02-29,@Bancointer salve a minha vida e me dê um limite bom no crédito pra eu poder comprar meus álbuns de kpop 
14,2020-02-29,Ótimo fundo
15,2020-02-29,Liquidei minhas ações da JHSF3 e nesse mercado sombrio posso voltar pelo Forpus!
16,2020-02-29,"Pior banco! Cancelando minha conta! Prepare-se, seu cartão não vai funcionar em algumas ocasiões!"
17,2020-02-29,"Não tem base a incompetência do @Bancointer pra realizar a entrega de um cartão! Qual a porra da dificuldade? Já fiz todo o passo a passo que foi me pedido umas 10x, e até hoje nada! Deve ter so uns 5 meses "
18,2020-02-29,Alô @Bancointer tá difícil ein? 
19,2020-02-29,"Paia dms, agora não consigo aumento e nem fazer outros cartão, espero que o @Bancointer me de o cartão de crédito so to com medo de pedir e receber um NÃO lá"
20,2020-02-29,"Só podia aumentar o limite pra comprar no shopping né, tenho o cartão faz 1 ano e ainda estacionado nos 1k."
21,2020-02-29,@Bancointer @SPFCBancoInter @jvitormenin há exatos 7 dias com esse mesmo problema. Até hoje ninguém foi capaz de resolver. Péssimo patrocinador para o @SaoPauloFC
22,2020-02-29,"mano, eu to com muito ÓDIO do @Bancointer. Não tem como descrever o que to passando com essa galera"
23,2020-02-29,"Ficamos muito felizes com sua escolha, Ruan! Vamos espalhar nossa revolução bancária por aí Conta sempre com seu banco parceiro!"
24,2020-02-29,O laranjinha é nice
25,2020-02-29,"Já indiquei o @Bancointer pra todo mundo e agora vou criar uma conta para minha empresa, banco mais que pft"
26,2020-02-29,Eu fui de @somospi
27,2020-02-29,Aportei mais tarde ontem. Meu fundo favorito.
28,2020-02-29,"Que ótima notícia, Emanuel!! Esperamos que aproveite bastante seu laranjinha Conta sempre com a gente!"
29,2020-02-29,Sim. Apareceu agora a tarde. Obrigado
30,2020-02-29,"Ei, Eberth! Poderia nos explicar melhor sua dificuldade?"
31,2020-02-29,"A aba de cartão do @Bancointer está uma porcaria tanto no site quanto no aplicativo, onde já se viu não aparecer nem a fatura. "
32,2020-02-29,"Ficamos muito felizes com sua parceria, Lipe! Vamos espalhar nossa #RevoluçãoBancária por aí! Conta sempre com seu banco parceiro "
33,2020-02-29,"O prazo para análise de abertura de conta é de até 2 dias úteis, tá bem? Pode contar com a gente!"
34,2020-02-29,Vcs me respondem hoje ainda? 
35,2020-02-29,Até agora nada. Até abri outro chamado e também não tive nenhum retorno.
36,2020-02-29,"Boaaa, aproveite, pois é top."
37,2020-02-29,"Ei, Jorge! Conta pra gente, você recebeu um retorno da nossa equipe por lá?"
38,2020-02-29,"Ei, Harllos! Conta pra gente, como podemos te ajudar? Queremos que tenha uma boa experiência!"
39,2020-02-29,@kellstapait
40,2020-02-29,"Me ajuda, já fiz tudo e agora tá em análise. EU PRECISO DESSE CARTÃO @Bancointer "
41,2020-02-29,"Ei, Thiago! As solicitações de ativação da função crédito passam por uma análise e alguns critérios são levados em consideração. Por políticas internas do banco, não temos acesso aos critérios e ao motivo da recusa. Faremos o possível para atender o seu pedido o quanto antes!"
42,2020-02-29,"Queremos que tenha uma boa experiência com a gente, Mike! Você conseguiu entrar em contato com nossa equipe?"
43,2020-02-29,"Como eu disse nas reclamações, vocês só tem o Nome de Digital. Por isso, como não tenho confiança, que cancelar a minha conta. O site não está funcionando para isso, como você vai me ajudar?"
44,2020-02-29,"Automática dizendo que a mensagem pode levar minutos para ser respondida e a resposta só veio depois de 4 horas. Minha pergunta aqui é: Se eu tivesse algum problema sério na rua e precisasse de uma resposta rápida, como ficaria minha situação?"
45,2020-02-29,"Abri uma conta uma semana depois no C6 e já chegou cartão, já consigo usar a conta. No Inter se leva 15 dias úteis, nem nos bancos convencionais se leva tanto tempo e para piorar seu canal de comunicação é lastimável. Mandei uma mensagem no chat de vocês e aparace uma resposta"
46,2020-02-29,"@Bancointer pessoal estou abrindo uma conta PJ. Vou ter os mesmos benefícios igual a PF? Meu interesse e usar opção de enviar cobranças. Só quere ter cartão sem anuidade, taxa mensal e TEDS ilimitados. Será é um sonho é verdade?"
47,2020-02-29,"Para ser cliente, primeiro o Banco tem que passar confiança e isso o Inter não faz. Eu ainda estou esperando receber meu cartão de débito, nem crédito é, e simplesmente a demora é coisa de Banco arcaico."
48,2020-02-29,Minha primeira compra com cartão de crédito do @Bancointer @SPFCBancoInter foi pro jogo do tricolor na libertadores 
49,2020-02-29,"Ei, André! Conta pra gente, você já recebeu um retorno da nossa equipe por lá?"
50,2020-02-29,"Ei, Mayara! sua fatura será enviada para seu e-mail, em PDF, até 4 dias antes no vencimento, combinado?"
51,2020-02-29,Obrigado!
52,2020-02-29,Vambora!
53,2020-02-29,Pelo app no celular eu não achei? Então é só pelo site no pc né?
54,2020-02-29,Estamos no processo em ambas mas não tenho previsão...
55,2020-02-29, boa @somospi @lnunesjr
