,date,text
0,2020-01-31,@Bancointer tá sendo maravilhoso. Tu pode sacar sem pagar taxa
1,2020-01-31,Tbm tenho conta lá
2,2020-01-31,Comprei minha primeira ação na bolsa pelo @Bancointer 
3,2020-01-31,Escolha o melhor banco @Bancointer
4,2020-01-31,entra em contato com eles pra olhar isso
5,2020-01-31,"débito eu só uso o que eu recebo tbn, crédito que eu gosto do nubank pq da pra adiantar parcelas epagar só um determinado produto"
6,2020-01-31,usa o @Bancointer
7,2020-01-31, aumenta meu limite pls
8,2020-01-31,Melhor não há @Bancointer
9,2020-01-31,@Bancointer maior e melhor
10,2020-01-31,"@Bancointer três chats, cinco ligações, e ainda não consegui resolver meus problemas com vocês..."
11,2020-01-31,O @Bancointer é ótimo!!!
12,2020-01-31,@Bancointer disparado o melhor banco.
13,2020-01-31,"@Bancointer simplesmente perfeito, tem um super App no qual vc consegue resolver simplesmente tudo"
14,2020-01-31,Um ingresso do são Paulo já e suficiente...nunca pedi nada
15,2020-01-31,"fora que eu compro mt coisa de alto valor, sem condições de eu juntar mais de 1000$pra comprar algo a vista"
16,2020-01-31,"faz o cartão pag! eu trabalho nele, hihi ia te atender com muito amor "
17,2020-01-31,"eu tô acostumada a comprar no crédito, que aí eu divido e vou adiantando as parcelas pra ganhar desconto."
18,2020-01-31,Tenho @nubank e @Bancointer amo os 2
19,2020-01-31,tava lendo aqui e na nubank também é gratuita
20,2020-01-31,muito obrigada pelo esclarecimento :)
21,2020-01-31,Kkkkkkkkkk @Bancointer Da as cara caralho 
22,2020-01-31,"INFELIZMENTE, só mantenho minha conta no #ItauRacista pra pagamentos de serviços públicos... @nubank @Bancointer @timeneon @C6Bank @meupag façam o favor de liberar estes pagamentos, pra quê eu possa me livrar de vez dessa @itau."
23,2020-01-31,Positivo Soldado! Cai dentro @Bancointer 
24,2020-01-31, 
25,2020-01-31,medo de fazer outro cartão de crédito e nem a Nath finanças conseguir me tirar das dívidas
26,2020-01-31,"https://twitter.com/jowlee_/status/1221125262936625155?s=19 Da só uma lida aqui, tem tudo pra ser top, mas fazem merda toda vez né @Bancointer que só comenta em tópico de elogio, quando é crítica sai vazado, estamos de "
27,2020-01-31,@Bancointer lindoooo maravilhoso
28,2020-01-31,Segue foto amiga 
29,2020-01-31,Fora que não tem taxas para saque
30,2020-01-31,"Gosto muito do @Bancointer, o app é bem completo e fácil de usar, tem praticidade"
31,2020-01-31,@Bancointer perfeito 0 defeitos
32,2020-01-31,"Certamente irmão,"
33,2020-01-31,Amores mudem pro @Bancointer vocês nunca mais vão reclamar disso TAXA 0 pra tudo!!!
34,2020-01-31,"Eu também quero mimos, @Bancointer"
35,2020-01-31,o @Bancointer não cobra taxas 
36,2020-01-31,@Bancointer tudo pra mim
37,2020-01-31,@Bancointer nunca errou 
38,2020-01-31,"@Bancointer perfeito sem defeitos, é só isso que eu digo"
39,2020-01-31,@nubank @Bancointer corram aqui!!!!
40,2020-01-31,Cyber security
41,2020-01-31,O @Bancointer 
42,2020-01-31,"Hoje em dia recomendo para qlq um @Bancointer ou @nubank como banco, salário pego em conta salário e solicito portabilidade, os demais bancos costumam ser ladrões e muito preconceituosos"
43,2020-01-31,@Bancointer tudo pra mim
44,2020-01-31,obrigado
45,2020-01-31,"Dos males, o menor: tenho conta em bancos digitais e assim que receber uma grana que tô esperando no Itaú vou ficar só com o @Bancointer e o @timeneon"
46,2020-01-31,"Então, neste caso você pode chamar a gente pela nossa Central de Atendimento pelos telefones 3003 4070 capitais e reg. metropolitanas; 0800 940 0007 demais localidades ou pelo chat do site (https://ajuda.bancointer.com.br/), tá bem?"
47,2020-01-31,"Os bancos físicos vc pode ir na agência e resolver seus problemas, bem diferente de bancos virtuais!"
48,2020-01-31,vai de @Bancointer
49,2020-01-31,"@Bancointer corre aqui. É o melhor, sem dúvidas. Mesmo não liberando crédito pra mim."
50,2020-01-31,Poxa @Bancointer :(
