,date,text
0,2020-03-31,Já chamei faz tempo. Tô esperando alguém responder.
1,2020-03-31,"Para que possamos verificar sobre o seu caso com nossa equipe, por gentileza, você pode nos chamar pelo chat do app?"
2,2020-03-31,"Que notícia ótima, ficamos felizes que já esteja tudo certinho! Pode contar com a gente sempre que precisar!"
3,2020-03-31,"Olá, Dudu! Aumentamos o prazo para pagamento das faturas de cartão de crédito para até 60 dias, para os clientes Pessoa Física e Jurídica com o pagamento em dia que tenham limite de crédito de até R$4 mil ou idade a partir de 60 anos. Confira: http://www.bancointer.com.br/parceria"
4,2020-03-31,"Está habilitado, tá tudo certo. Acabaram de me dizer que cartões iniciados com num 2 estão com problema pra compra online e terei q solicitar nova via. Esse cartão chegou HOJE depois de semanas tentando resolver problemas com a outra via. Inacreditável isso."
5,2020-03-31,"Ficamos muito felizes com seu interesse de trabalhar com a gente, Wagner! Você pode cadastrar o seu currículo e acompanhar todas as nossa vagas, acessando: http://bit.ly/BancoInter-Vagas"
6,2020-03-31,"Senador @carlosaviana até hoje só “ouvi dizer” que o @Bancointer doou 10 milhões para ajuda ao estado de MG. Alguma outra empresa fez doação? A CBMM de Araxá, @usiminas, @ArcelorMittal, @Aperam, @vale estão doando?"
7,2020-03-31,"Olá! Por gentileza, você pode verificar se o seu cartão de crédito está habilitado para compras online? Basta acessar a aba ""Cartões"" pelo app, clicar em ""Configurações"" e conferir se está liberado por lá, certo?"
8,2020-03-31,"@RomeuZema até hoje só “ouvi dizer” que o @Bancointer doou 10 milhões para ajuda ao estado. Alguma outra empresa fez doação? A CBMM de Araxá, @usiminas, @ArcelorMittal, @Aperam, @vale estão doando?"
9,2020-03-31,"O compromisso e parceria com as pessoas é inegociável, Joseney! "
10,2020-03-31,Td resolvido com sucesso!!!!!! Obrigado 
11,2020-03-31,"Estamos sempre trabalhando para melhorar nossos serviços e a sua opinião é muito importante pra gente, Mathews! Sempre que precisar, além do chat, também estamos à disposição para te ajudar pelo inbox do Facebook, DM do Twitter e nossa Central de Atendimento, pelo 3003-4070!"
