,date,text
0,2020-05-31,"Obrigada e pq é a primeira vez que deposito e não sei bem os trâmites, espero que o meu também não demore vi algumas pessoas reclamando do @Bancointer."
1,2020-05-31,Exato!!
2,2020-05-31,"@Bancointer fui atendido super bem por uma atendente hoje aproximadamente 20:30. Na hora de avaliar meu cachorro bateu a pata no telefone que tava no viva voz. Por gentileza, a avaliação era pra ser a melhor possível protocolo 202005311000007736. "
3,2020-05-31,"@Bancointer oi inter, faz parceria com a latam ou smiles pra eu trocar os pontos do meu mastercard :("
4,2020-05-31,"@Bancointer já tem um tempo tentando liberar meu crédito, agora já posso pedir novamente , espero conseguir!"
5,2020-05-31,"A claro não tá permitindo envio pra o número 393, com portabilidade"
6,2020-05-31,Obrigado pela ajuda.
7,2020-05-31,Entendi
8,2020-05-31,Vai com Deus 
9,2020-05-31,que vergonha para clientes da @mrv e @Bancointer sustentar um lixo de jornalismo desse que ofende um povo que já sofreu tanto nas mãos dos porcos comunistas a embaixada deveria processar esse arremedo de jornalista e a cnn fakenews
10,2020-05-31,"Vamos cobrar de quem banca isso, CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer"
11,2020-05-31,Eu quero fazer portabilidade de meu número da claro. Como faz?
12,2020-05-31,Queria experimentar esse chip do @Bancointer mas não queria me comprometer com um plano fixo. Só experimentar msm
13,2020-05-31,"Assim que o chip chegar, faço isso então. Muito obrigado :)"
14,2020-05-31,Correto 
15,2020-05-31,"Quarta é meu aniversário, estou esperando sua visita "
16,2020-05-31,
17,2020-05-31,Tem que tirar o esquerdista que cuida da mídia digital do SPFC. Comunista dos Infernos. Não caia na narrativa deles @Bancointer .#ANTIFAterrorista
18,2020-05-31,"@Bancointer até pensei em testar o plano de vocês, mas com esse preço aí não dá, muito caro para o que oferece. @ClaroBrasil está com custo melhor, fora que o 4g+ é excelente."
19,2020-05-31,"Não entendo no shopping do @bancointer vc tem que pagar mais caro do que está no app do parceiro, só pra ter que voltar o cashback... pra que falar que tem cash se na vdd não tem!!!"
20,2020-05-31,
21,2020-05-31,O último dia do cashback da @amazonBR no @Bancointer é hoje. Se eu comprar o livro do @cirogomes hoje pelo Inter vou ter direito ao cashback já que o pedido só vai ser faturado no dia do lançamento? 
22,2020-05-31,"Ufa @Bancointer, assim poderei confiar o meu dinheiro em instituições não alinhadas com sites criadores de fake news."
23,2020-05-31,@Bancointer de qto tempo posso ficar sem fazer recarga no InterCel sem perder o número?
24,2020-05-31,"Rubens Menin @rubensmenin é um famoso empresário, dono da MRV Engenharia, do Banco Inter, de boa parte da Log e foi quem trouxe a CNN para o país. Parece ser um homem correto e que quer o bem do Brasil, mas é ingênuo quando se trata de ""guerra cultural""."
25,2020-05-31,
26,2020-05-31,Eu acredito que sem crédito não a utilidade para o cartão.
27,2020-05-31,BOICOTEM @CNNBrasil @mrvoficial @Bancointer #ANTIFAterrorista
28,2020-05-31,Sou cliente do @Bancointer há 3 dias e já estou com saudades da minha gerente do @BancodoBrasil
29,2020-05-31,"Meu aniversário é dia 14, espero muito também ganhar essa visita"
30,2020-05-31,"Vamos cobrar de quem banca isso, CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer"
31,2020-05-31,Quem é Menin? É bom expor inclusive pra desacreditar a @CNNBrasil
32,2020-05-31,Combinado!
33,2020-05-31,"Orgulho, @Bancointer"
34,2020-05-31,Adoro essas supresas... Quando abro superApp já aparece lá.... Eu vou em todas.... Amo @Bancointer Amo #SangueLaranja 
35,2020-05-31,"Ou o Menin corta o mal pela raiz a tempo, ou ficará marcado como o empresário que financiou o canal benevolente com a baderna e o terrorismo. Daqui a pouco os antifas estão destruindo as empresas dele, como destruíram a CNN americana. Vergonha"
36,2020-05-31,"Vamos cobrar de quem banca isso, CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer"
37,2020-05-31,E sem falar que fica fazendo propaganda desse banco de graça.
38,2020-05-31,
39,2020-05-31,"Vamos cobrar de quem banca isso, CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer"
40,2020-05-31,"Ainda boicotar as empresas do dono, a CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer"
41,2020-05-31,"sem aglomeração, hein "
42,2020-05-31,"Olá! O prazo máximo para entrega é de 15 dias úteis, nossa equipe fará todo o possível pra que você o receba o quanto antes, combinado?"
43,2020-05-31,"Vamos cobrar de quem banca isso, CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer"
44,2020-05-31,"Cobrar de quem banca isso, CNN e bancada por um investidor Mineiro senhor @rubensmenin dono da @mrvoficial e do @Bancointer que falou que seria um novo jornalismo e foi é só mentiras 24h por dia."
45,2020-05-31,@NEToficial vc já não tem o pior atendimento do Brasil. Chegou um forte oponente @Bancointer 
46,2020-05-31,"#VemPraNossaRevolução, Anna! "
47,2020-05-31,"Vamos cobrar de quem banca isso, CNN e bancada por um investidor Mineiro o senhor @rubensmenin dono da @mrvoficial e do @Bancointer "
48,2020-05-31,É isso mesmo. Protocolo desde a sem solução. É igual todos os outros bancos q a gente conhece
49,2020-05-31,"Rubão, você pode depositar sempre que quiser, mas lembramos que cada aplicação corresponde a um novo aporte, certinho?"
50,2020-05-31,O @Bancointer conta 100% gratuita!~
