,date,text
0,2019-11-30,Como faço para ter?
1,2019-11-30,nem precisa mais fazer enquete acho que todos aqui concordam que Volpi tá salvando o tricolor em 2019
2,2019-11-30,Quero saber da minha laranjinha sabe???Aquela cafeteira italiana......quem sabe depois quero saber do estagiário nerd hehe
3,2019-11-30,Aaaaaaa que fofuraaaaa
4,2019-11-30,@Bancointer o interpig chegou são e salvo aqui!!! (Minha mãe queria rapita-lo ) 
5,2019-11-30,adorei a nova cara do app do @bancointer
6,2019-11-30,@Bancointer meu preferido 
7,2019-11-30,"O estágiario, por favor, me dê brinde? AMO BRINDE"
8,2019-11-30,"Tô esperando meu cartão, "
9,2019-11-30,@Bancointer 
10,2019-11-30,"@Bancointer Eu te indico pra todo mundo mas olha, Meu pai tá revoltado com vcs!!!"
11,2019-11-30,@Bancointer O que é taxa?
12,2019-11-30,Até qnd vai ter esse lci de 100% do CDI hein? 
13,2019-11-30,Não consigo investir. Coloco dinheiro na conta e ele fala q não tem saldo na cta BOVESPA. nunca passei por isso em nenhuma corretora nem banco. Só o inter.
14,2019-11-30,"Eu uso o banco de vcs a mais de um ano, faço investimentos, teds, saques tudo e vcs nunca aumentaram o meu limite do cartão de crédito, não aguento maisss"
15,2019-11-30,Com quem a gente fala? Qual entidade invocar? O q fazer pra conseguir um brinde do @Bancointer
16,2019-11-30,"Tá, né?"
17,2019-11-30,Triste ver que não se importam com cliente.. Resposta automática e pré formatada não ajuda...
18,2019-11-30,"Que que isso @Bancointer , o App está top , readaptando as mudanças, mas, que repaginada incrível!!!"
19,2019-11-30,O que mais pesa é a morosidade do banco. Até agora nenhuma resposta.
20,2019-11-30,"Em nenhum momento me pediram para falar os códigos, apenas digitar no próprio celular, na teclado numérico da ligação. Eles deveriam ter algum software para entender quais teclas digitei. São profissionais."
21,2019-11-30,"Foi perfeito, infelizmente."
22,2019-11-30,"Venho do banco @santander_br eles sempre ligam quando há uma movimentação suspeita na conta. Naquele dia eu tinha utilizado o débito em alguns estabelecimentos. Com a ligação pensei que tivessem me espionado ou clonado meu cartão. Foi muita coincidência, por isso o golpe"
23,2019-11-30,Eu nunca recebi essas dicas. Minha conta é nova. A pergunta é como sabiam que tinha entrado um valor alto naquele dia e como tinham todos os meus dados ? Sabiam até o meu saldo. Tem gente lá de dentro vazando informações e praticando eles mesmo os golpes.
24,2019-11-30,"Já invisto no PAI... Viciado no shopping com cashback... Como vc está estagiário(a)? Só para lembrar o Natal está chegando, um brinde até que iria bem... "
25,2019-11-30,"Agradecemos a sugestão, Neto! Pode contar com a gente para melhorias sempre!"
26,2019-11-30,@Bancointer quero um porco desseeeeeeeeeee
