,date,text
0,2019-10-31,"Se a renda fixa já está assim, que dirá a poupança... rs"
1,2019-10-31,Hahahaha #ContaComigo @Bancointer #HalloweenBancoInter 
2,2019-10-31,"Eu quero que as pessoas saibam que não se deve deixar dinheiro na poupança, e muito menos em fundos de renda fixa. E, atualmente, CDB abaixo de 100% também é perder dinheiro. Quer renda fixa? 100% do CDI é o mínimo. Não caia na besteira de acreditar na poupança."
3,2019-10-31,"Ei! A análise de crédito é feita com base em políticas internas e não temos acesso aos fatores que causaram a não autorização. A boa notícia é que você não precisará pedir novamente. Agora que sabemos do seu interesse, faremos o possível para atender seu pedido o quanto antes!"
4,2019-10-31,Entendi. Você está combatendo esses gerentes de bancos dizendo que a poupança não é tão ruim assim... rs
5,2019-10-31,A conta da empresa não tá acessando o home Broker
6,2019-10-31,@Bancointer pq negaste meu crédito?? 
7,2019-10-31,@Apple e @Bancointer Me ajudem a ajudar vocês. Precisamos do cartão inter no Apple Pay
8,2019-10-31,"Ei, Ricardo! Estamos à disposição para ajudá-los pelos nossos canais de atendimento, tá bem? Se precisarem de qualquer auxílio no caso, entrem em contato pela Central nos telefones 3003 4070 (regiões metropolitanas) ou 0800 940 0007 (demais localidades)."
9,2019-10-31,"Poxa, por que tão perfeito, Gui? "
10,2019-10-31,@Bancointer
11,2019-10-31,"O aplicativo do @Bancointer tá de onda com minha cara. Já desinstalei e instalei umas 3x e fica dando erro. Não consigo entrar na minha conta, porque fica dando ""o aplicativo parou"" toda hora."
12,2019-10-31,"Olá! Por gentileza, você pode nos explicar melhor sobre o seu caso?"
13,2019-10-31, amo demais
14,2019-10-31,Eu tô tentando arrumar um cartão de crédito pra mim e eles nunca aprovam
15,2019-10-31,"Ok, obrigado"
16,2019-10-31,"Pode ficar tranquilo, Arthur! Orientamos que você continue acompanhando, nossa equipe fará todo o possível pra que você o receba o quanto antes, combinado?"
17,2019-10-31,"Carangola, MG"
18,2019-10-31,"Oi, Jho! Você já está em contato com a nossa equipe?"
19,2019-10-31,"Gustavo, por questões de sigilo bancário não conseguimos te atender por aqui como gostaríamos! Por gentileza, entre em contato com a nossa Central, tudo bem?"
20,2019-10-31,Olá @Bancointer Gostaria de saber o motivo da negação da função crédito do meu cartão. Já é a segunda vez que faço a solicitação e é negado. Enviei meu holerite (parte da minha renda mensal) do mês de outubro e não foi suficiente (recebo cerca de 3x aquele valor)?!
21,2019-10-31, 
22,2019-10-31,"Vamos te ajudar, Elton! Para isso, por gentileza, você pode nos chamar pelo chat do app?"
23,2019-10-31,"Ei, Joyce! Você pode verificar se os dados da conta de destino estão corretas, por gentileza? Caso precise de ajuda, estamos à disposição para ajudar pelo chat do aplicativo."
24,2019-10-31,Ah pdc mano!!! Valeuu
25,2019-10-31,"São Paulina feliz com o @Bancointer meu cartão lindo e zero taxas. Abri pelo app, sem problemas. Recomendo demais"
26,2019-10-31,Quando sua empresa é menor de 18 anos @Bancointer 
27,2019-10-31,"Opa, brinde... eu quero..."
