,date,text
0,2020-03-31,@tcvboas Oi. Você pode realizar este procedimento pelo nosso site: http://www.veiculos.itau.com.br/atendimento .
1,2020-03-31,"Oi, José. Você pode solicitar a repactuação do pagamento das parcelas do seu financiamento pelo nosso site: http://www.veiculos.itau.com.br/atendimento ."
2,2020-03-31,"100% golpe. Itaú não manda SMS de número de celular assim, é sempre daqueles personalizados de 5 números. Inclusive já avisaram correntistas sobre algo similar..."
3,2020-03-31,Eles ainda não se posicionaram?
4,2020-03-31,Mi señora va a ir mañana al banco a qué le arreglen la caga que le dejaron bloqueado la tarjeta de coordenadas
5,2020-03-31,"Poxa @itau infelizmente não vai ser esse mês que eu vou conseguir pagar minhas dividas com você, mas se ate o Sr Barriga deixou o Sr Madruga atrasar 14 messes de aluguel, o que e 3 messes. #MesQueVemEuPago "
6,2020-03-31,"Lamentablemente ahora ir al banco no es una opción, pero por internet tampoco te da seguridad"
7,2020-03-31,"Aproveitar aqui pra fazer uma pergunta @santander_br estou desde agosto tentando mudar minha conta para duol, já consegui com muito sacrifício fui 2 vezes ao banco com a perna engessada e até hoje continuam me cobrando a porra das duas tarifas, tanto da jurídica como da física."
8,2020-03-31,"Oi, Wilianne. Para financiamento de veículo Itaú, você pode realizar o procedimento pelo nosso site: http://www.veiculos.itau.com.br/atendimento"
9,2020-03-31,@santander_br Plmdds pelo menos os caixas eletrônicos em sp estão funcionando???? horas no telefone pra ninguém atender ou dar uma resposta!
10,2020-03-31,"Que mal que no estes en @itau , por lo menos en Davivienda estan colapsados, Itau parece que se hubiera ido del país!"
11,2020-03-31,"Pasa con todo... Mi señora pago el gas por internet, le descontaron las lucas, se le bloqueó la tarjeta y la wea no registro el pago... Sistemas culiaos penca... No están hechos para visitas masivas."
12,2020-03-31,Muito obrigada!
13,2020-03-31,"Santander teve a cara de pau de me oferecer um limite maior no cartão de crédito. Só quer me ferrar. Se quisesse ajudar, isentaria da taxa de serviço por pelo menos um mês."
14,2020-03-31,"Preciso que vocês tomem consciência que o atendimento telefônico do #Itaú é ineficaz, não resolve e só traz transtorno. Como eu disse, os idosos são obrigados a ir à agência porque não dominam a internet e dependem de ajuda dos bancários!"
15,2020-03-31,"Alô, Itaú, o mais rico do país??? Quanto vocês irão doar aos hospitais do Brasil? Pelo menos 150 milhões né?!"
16,2020-03-31,Não consigo contratar lis pelo app!
17,2020-03-31,Também é possível realizar este procedimento pelo nosso site: http://www.veiculos.itau.com.br/atendimento .
18,2020-03-31,"Oi, Eduarda. Você pode realizar esta solicitação pela nossa central de atendimento Itaucred: Capitais e regiões metropolitanas: 4002 0234 Demais localidades: 0800 729 0234 Dias úteis: das 08h às 20h. Aos sábados: das 9h às 15h."
19,2020-03-31,"@itau @Itaucard Boa noite, meu cartão de credito estava previsto para chegar até dia 20/03, não chegou, entrei em contato e me passaram o código de rastreio, porém aparece a seguinte mensagem:"
20,2020-03-31,GENTE ISSO AQUI DEVE SER GOLPE. JÁ VI 3 PESSOAS QUE RECEBERAM eu nem itáu sou @itau 
21,2020-03-31,"Amigos, não pela ajuda do @itau por aqui, MAS conseguimos fazer muitas doações hoje. Obrigada pelo apoio!! :)"
22,2020-03-31,"Aplausos diários a estes profissionais, fé Deus está contigo "
23,2020-03-31,"Uns dias atrás, clonaram meu cartão e o @itaucard cancelou certinho e me mandou outro. Desbloqueei o novo, usei e as compras não aparecem no extrato... E não vem mais o sms confirmando compras, mesmo eu ligando lá duas vezes já. Me ajuda, @itau?"
24,2020-03-31,Muito obrigado pela atenção :)
25,2020-03-31,Da mesma laia do Itaú
26,2020-03-31,"Fazia comigo pq eu simplesmente sou proletariada! Entrava na conta bancária dele e nunca teve menos de 12 mil a minha vivia negativada, né @itau ???? Aí gente, inclusive sdds dele pagando minha faculdade, as viagens, os mimos, restaurantes caros kkkkk mas era um merda!"
27,2020-03-31,"@santander_br me ajuda?! Paguei um boleto em duplicidade da @casa_cenario no app do @itau todo mundo passou essa batata quente pra você, nesse tempo de coronga nem posso dar um pulo aí... O que eu faço?! Me deixe isolada mas não na solidão, me ajuda."
28,2020-03-31,"Eu torci muito para que os bancos todos se explodam, são Satoshi Nakamoto veio para vingar! O início do fim começou! Adios!!! @santander_br @itau Principalmente o @Bradesco"
29,2020-03-31,"O link para os contratos de financiamento de veículos foi disponibilizado recentemente, justamente para absorver a demanda não suportada pelo atendimento da central, por isso, não houve divulgação juntamente com a campanha."
30,2020-03-31,Ei @itau vc já ajudou um ex bancário hj? Tô desempregado e quero voltar pro mercado! #medaumachance
31,2020-03-31,"Vamos dar dica para ele: cancele as renúncias fiscais do .@itau .@bradesco .@bancodobrasil .@santander_br .@bmg .@hsbc safra e afins que será um ÓTIMO COMEÇO. paulo jegue, você é um DESGRAÇADO!"
32,2020-03-31,caralho @itau dá pra me responder logo????
33,2020-03-31,Já o @Bradesco é só ilusão ..mesmo vc indo na agência ..internet bank uma bosta ...banco escroto
34,2020-03-31,@itau Boa noite. Existe alguma forma de desbloquear o itoken sem precisar ir ao caixa eletrônico?
35,2020-03-31,Deus é justo e conhece os sonho dos teus!! Kkkkkkkkkkk
36,2020-03-31,Deus te fazendo bancário
37,2020-03-31,Chocado com o @itau ! Meu marido deixou de pagar 30 reais da fatura do cartão de crédito e pagou um juro de 192 reais. 640% de juros em um mês! Pode isso @proconspoficial
38,2020-03-31,Então gata kkk era só esperar
39,2020-03-31,"foi só minha passagem cair kkkkkkkkkkkkkkk até q enfim, quase 3 meses q esse trem n abria"
