,date,text
0,2019-12-31,@itau Olá Itaú. É possível ter uma conta de dólares americanos no Brasil? Se sim quanto dinheiro eu preciso para começar?
1,2019-12-31,Genialidade pura. Itaú tem uma agência de publicidade com pessoas brilhantes.
2,2019-12-31, isso q é marketing
3,2019-12-31,"Nenhuma das opções, mas sim aquele que admira a inteligência e a competência de quem criou o filme"
4,2019-12-31,"Olá! Boa noite. Vamos conversar por DM, conseguiu atendimento, esteve em qual de nossas agências? Podemos te ajudar por aqui?"
5,2019-12-31,"Tô eu aqui passando a última raiva de 2019. O @itau a beira de 2020 não consegue mandar um SMS com um código de barras pra pagar o cartão que vence amanhã. E antes que pergunte, estagiário, sim, sei que tem outras opções para conseguir esse código, mas quero um SMS."
6,2019-12-31,Infelizmente não ganhei na Mega Sena. Se fudeu @Bradesco @itau @CasasBahia @copeltelecom @nextelbrasil @bancopan Vamos tentar novamente ano que vem.
7,2019-12-31,"Olá! Boa noite. Por DM informe telefone de contato com DDD, que recebe o SMS."
8,2019-12-31,"Own, vem cá dar um abraço no , \o/. E, aproveitando, a gente quer te desejar um..."
9,2019-12-31,"Own, você se emocionou tanto assim? E a gente queria te desejar um..."
10,2019-12-31,"Olá! Boa noite. Protocolo permanece em análise, incluímos seu questionamento a ocorrência e solicitamos agilização."
11,2019-12-31,"Que demais saber que você se emocionou com a nossa mensagem de fim de ano. Aproveitando, a gente queria te desejar um..."
12,2019-12-31,"Ok, mandou bem @itau! Kkkk"
13,2019-12-31,"Refere se ao cartão Múltiplo? Se sim, é possível desbloquear somente a função de débito."
14,2019-12-31,"Que demais saber que você se emocionou com a nossa mensagem de fim de ano. O que acha de receber esse vídeo pelo WhatsApp? A gente te manda. Basta clicar aqui: http://feitopara.vc/recebernowhatsapp. E ah, aproveitando:"
15,2019-12-31,"Olá! Boa noite. Se desejar por DM informe agência, conta, CPF e e-mail."
16,2019-12-31,"É este aqui, que podemos te mandar no WhatsApp, @RomuloBaron: http://feitopara.vc/recebernowhatsapp. E aproveitando, o quer desejar pra vocês um..."
17,2019-12-31,"Oba, que demais saber disso! O que achou da descoberta do ? Se quiser receber esse vídeo pelo WhatsApp, a gente te envia. É só clicar aqui: http://feitopara.vc/recebernowhatsapp. E ah, aproveitando:"
18,2019-12-31,"A gente ficou muito feliz com esse seu tweet. Melhor propaganda do ano? o que acha de receber esse vídeo pelo WhatsApp? A gente te envia. É só clicar aqui: http://feitopara.vc/recebernowhatsapp. E ah, aproveitando:"
19,2019-12-31,"Olá! Boa noite. Vamos conversar por DM, conseguiu acessar a conta?"
20,2019-12-31,Ah... obrigado! 
21,2019-12-31,"Você gostou? Conta pra gente, o que achou da descoberta do ? Que tal receber esse vídeo pelo WhatsApp? A pode te enviar. Basta clicar aqui: http://feitopara.vc/recebernowhatsapp. E ah, aproveitando:"
22,2019-12-31,ITAÚ LIXO!
23,2019-12-31,"Ah, que demais que você se emocionou com a nossa mensagem de fim de ano! Se quiser receber esse vídeo pelo WhatsApp, a gente te envia. É só clicar aqui: http://feitopara.vc/recebernowhatsapp. E ah, aproveitando:"
24,2019-12-31,Sério que eu fiquei com vontade de chorar assistindo a propaganda do @itau? Mds kkkkk
25,2019-12-31,"Acho que o futuro consiste no próximo segundo ou minuto,e que é preciso que façamos deles o que de melhor possamos para sermos felizes!"
26,2019-12-31,Olá! Vitória. Boa noite. O que houve? Vamos conversar por DM.
27,2019-12-31,"Own, que demais saber que você se emocionou com a nossa mensagem de fim de ano! Que tal receber esse vídeo no WhatsApp? A gente te manda. Basta clicar aqui: http://feitopara.vc/recebernowhatsapp. E, aproveitando..."
28,2019-12-31,E agora você pode falar que recebeu do time de redes sociais também!
29,2019-12-31,"Itaú que propaganda lixo que vcs estão veiculando; nas ""entre linhas"" vcs faz menção a @GretaThunberg que as crianças estão ensinando os adultos. Olha aqui, dá o exemplo coloca uma meia dúzia de crianças na alta direção do banco por apenas 1ano, vamos aguardar o resultado!!!"
30,2019-12-31,"Estou com problemas no acesso da minha conta em um novo dispositivo celular, fora do Brasil. Me indica para ir em um caixa eletronico mais próximo. Me indicariam alguma solucao? @itau"
31,2019-12-31,Buscando não comprar
32,2019-12-31,eu realmente queria acreditar que vocês irão resolver alguma coisa 
33,2019-12-31,"Own, ficamos felizes em saber que você se emocionou com a nossa mensagem de fim de ano. Se quiser receber esse vídeo no WhatsApp, a gente te manda. É só clicar aqui: http://feitopara.vc/recebernowhatsapp. E, aproveitando..."
34,2019-12-31,Levo o meu amor e preciso de um fucking emprego pra ser O ano!
35,2019-12-31,Chama gente na dm. Queremos entender o que aconteceu e ajudar a resolver.
36,2019-12-31,Crianças ensinando adultos a cuidar do mundo! Acorda! Sério mesmo...? A pirralha...!?
37,2019-12-31,SP-SP
38,2019-12-31,Em qual Estado/ Cidade e Bairro está localizada?
39,2019-12-31,E qual é a taxa????
40,2019-12-31,Seria bom cuidar dos empregados também.
41,2019-12-31,Um dia vou ter o prazer de ver um presidente acaba com essas taxa criminosa.
42,2019-12-31,"Olá! Boa noite. As taxas de juros aplicadas nas contas/operações encontram-se em conformidade com a legislação e regulamentações que disciplinam o assunto, além de estar compatível com os índices praticados pelo Mercado Financeiro Brasileiro."
43,2019-12-31,"Se precisar de algo, estamos por aqui. "
