,date,text
0,2020-03-09,Não estou conseguindo baixar o app de vocês em nenhuma plataforma
1,2020-03-09,nunca mais eu falo bem do @santander_br. eu já coloquei minha mãe no fogo por esse banco. AGORA EU VOU PEGAR UM CARTÃO DO @itau que me oferecem sempre. 
2,2020-03-09,Cartão invalido
3,2020-03-09,"@itau do que adianta dar a opção de pagar o cartão antecipado, falar que liberou o limite mas não me deixar usar?"
4,2020-03-09,"Num e Man, ele quer acabar com meu protagonismo!"
5,2020-03-09,Ah não cara... N estraga a militância...
6,2020-03-09,"Essa msm... Ah ""mAs Vc TeM pRoVaS q ElA tAvA cOm DoCuMeNtOs FaLsOs MsM?"""
7,2020-03-09,Não tem essa de banco bom e não tem banco mau. Ele te usa assim como vc o está usando. É preciso minimizar os prejuízos
8,2020-03-09,"@itau preciso da ajuda urgente de vocês, olhem a dm"
9,2020-03-09,As filas e a vontade de atender dos funcionários da agência 0844 são uma grande bosta... Fiquei 3hrs no banco pra redefinir a senha do cartão
10,2020-03-09,"O prazo de liberação da conta em caso de aprovação é de até 5 dias úteis, sem contar a data da solicitação. Se a conta for liberada, você receberá um e-mail/SMS informando."
11,2020-03-09,"Eu consegui resolver com uma atendente de vocês no facebook, que aliás merece uma super promoção pq foi atenciosa demais"
12,2020-03-09,@itau caixas eletrônicos do Carioca Shopping terríveis. Por favor verificar.
13,2020-03-09,"Nos detalhe por DM: os dados da sua agência e conta, qual a dificuldade esta tendo no app, e sobre o atendimento tb precisamos de detalhes tais como, canal utilizado, data, assunto tratado, e o que te fez não gostar do atendimento."
14,2020-03-09,"@itau Poderia permitir a gestão do cartão @credicard Zero, direto no internet bank de quem é correntista, seria uma aplicativo a menos, mais comodidade para todos os clientes."
15,2020-03-09,"Paguem o que devem a previdência, CANALHAS!!!!"
16,2020-03-09,Sou Cliente já algum tempo e na hora que preciso de financiamento recebo negativa sem justificativa. Além da demora para fazer uma simples alteração cadastral. Pensando seriamente em fechar a conta
17,2020-03-09,@itau pofavo
18,2020-03-09,"Olá, Danilo. Boa noite. Envie uma DM detalhando o que está ocorrendo, por favor."
19,2020-03-09,@itau dm meu consagrado
20,2020-03-09,"Compreendemos sua msg, como te explicamos estamos trabalhando p/ regularizar essa situação. Lembramos ainda que disponibilizamos outros canais para realizar pagamentos, tais como site, caixa eletrônico, central de atendimento e Rede de Agências. Dúvidas nos chame por DM."
21,2020-03-09, 
22,2020-03-09,"Olá. Boa noite. Informe seus dados por DM, agência, conta e telefone com DDD. Detalhe o que está ocorrendo, por favor."
23,2020-03-09,Cadastra no @santander_br 
24,2020-03-09,obrigado nao repita isso ok.
25,2020-03-09,"o aplicativo de vcs não é nem um pouco intuitivo, o app falha toda hora, mal arrumado/planejado, o atendimento de vcs é péssimo"
26,2020-03-09,Abandonei faz tempo banco com as taxas mais caras do mercado.
27,2020-03-09,Concordo 100%. Uma bosta......nunca vi banco tão ruim.....mesmo a porcaria do personalite não presta.
28,2020-03-09,azar o seu irmão
29,2020-03-09,O que ocorre quando tenta realizar a portabilidade?
30,2020-03-09,@CaaHannouche Conte com o melhor dos nossos canais de atendimento e colaboradores. 
31,2020-03-09,"Por favor, nos informe por DM sua agência e conta."
32,2020-03-09,@itau da dinheiro pro cara
33,2020-03-09,Conta pessoa física
34,2020-03-09,"Okay, obrigada!! "
35,2020-03-09,Já estamos prestando o atendimento pelo perfil pessoal.
36,2020-03-09,Son 5 veces el sueldo de un empleado bancario en Argentina @BancoCentral_AR @santander_es @bbva @itau asi q vale un poco ayudar a la ciencia x ese dinero. Donde hay q ir? @UKinArgentina
37,2020-03-09,num me irrita q to braba
38,2020-03-09,Tira a certificação CPA 10 ou 20..
39,2020-03-09,Tudo para os bancos: suas famílias e seus herdeiros. Banco quer ferrar com todo mundo: funcionário e cliente. E faturar lá em cima. Bilhões/ano.
40,2020-03-09,
41,2020-03-09,O app do Itaú não está funcionando no iPhone 5S @itau quase uma semana !!! Ajuda nois !!!
42,2020-03-09,"criei minha conta pelo app, mas coloquei em um endereço que não passa correios. Como vou conseguir pegar o cartão ?"
43,2020-03-09,@itau que gerente hein! Gênio ... .... do mal.
44,2020-03-09,O @itau deve desligar os servidores durante a noite. Novamente não consigo fazer uma transferência depois das 19hs... 
45,2020-03-09,e o nome dela é MIRELLA! TEJA DITO!
46,2020-03-09,...
47,2020-03-09,"Boa noite, Amanda! Acesse esse link para conhecer nosso programa de estágio e cadastrar o seu Currículo: https://feitopara.vc/1pWLwxA . Boa Sorte ;-)"
48,2020-03-09,
49,2020-03-09,@itau sendo pior que a Caixa Econômica!
50,2020-03-09,Vamos verificar o ocorrido com a agência. Nós podemos te ajudar por aqui?
51,2020-03-09,Vc possuí a numeração dessa agência? Conseguiu fazer o uso do caixa?
52,2020-03-09,#tudopravocê @itau inclusive uma vaga de emprego para uma recém graduada?
53,2020-03-09,"De digital só o nome, os processos ainda são arcaicos!"
54,2020-03-09,Oi! Em qual agência você foi? Conseguiu atendimento? Vamos de DM? https://twitter.com/messages/compose?recipient_id=179398386
55,2020-03-09,Por isso fui para o @Bancointer nunca mais me arrependi.
56,2020-03-09,Oi! Em qual agência você foi? Vamos de DM? https://twitter.com/messages/compose?recipient_id=179398386
57,2020-03-09,"Você foi orientada a entregar o atestado/certidão de óbito? Qual foi a orientação prestada? Além de claro, comparecer a qualquer agência do banco, no expediente bancário. Chama a gente por DM."
58,2020-03-09,"Boa noite, @itau! Gostaria de saber como parar de receber mensagem como se fosse “Emanuela”. Todo dia recebo uma mensagem. Ta chato!"
59,2020-03-09,"Olá! Não há um prazo específico. Viso que a seleções acontecem mediante necessidade da área e perfil do candidato. Se desejar, vc também poderá acionar a página Itaú Vagas Agência, que é pelo face mesmo e enviar uma mensagem via inbox."
60,2020-03-09,"Informe por DM os dados solicitados, caso não tenha interesse em passar os dados, não há problema, encaminharemos e-mail internamente aos gestores da agência 8979. Apenas nos posicione para que possamos tomar as devidas providências."
61,2020-03-09,"Oi, Amanda! O que aconteceu? Vamos conversar por DM?"
62,2020-03-09,"@itau parem de me cobrar, eu n sou o Edinan kkkkkkkkk meu nome é Débora #tudopravocê"
63,2020-03-09,2 dias pelo app
64,2020-03-09,@itau vocês estão me tirando do sério na boa
65,2020-03-09,Chegou meu cartão ontem! Tudo certo 
66,2020-03-09,Com certeza o @Itaú não é mais o mesmo a muito tempo
67,2020-03-09,"Nope.. sem sucesso. Ou melhor, após 51 minutos no telefone eles me disseram que preciso ir a uma agência física pq não conseguem confirmar o número "
68,2020-03-09,Que isso @joseilan o @itau #tudopravoce . É um otimbufffkkkkkkkkkkkkkkkk Tentei não ri mais não deu.....
69,2020-03-09,Isso!! 
70,2020-03-09,Refere se a agência 8979?
71,2020-03-09,"Por DM informe agência,conta, CPF e e-mail."
72,2020-03-09,"Só quero enaltecer o atendimento do @itau @Itaucard, sou muito feliz com meu banco. Achem esse atendem e dêem uma enorme gratificação pra ele !!! Obrigado #itau #itaucard"
73,2020-03-09,Veja ser Original!!! O primeiro banco digital do Brasil. Com certeza não terá os problemas que hj passa com a conta do Itaú.
74,2020-03-09,"Qual operação ou consulta deseja realizar? Se precisar, estamos por aqui."
75,2020-03-09,"@itau não era até às 18h pra cair o depósito??? Cadê??? Vocês estão de sacanagem né! PQP, eu fiz essa merda era 08h da manhã cara!!!!!"
76,2020-03-09,reconheço sim. só não queria ter que pagar k k k
77,2020-03-09,Estou há uma hora nessa tela e o chat não carrega.. me ajuda? ): @Itaucard @itau 
78,2020-03-09,"Já tem mais de uma semana bicho. Tá complicando demais a vida, os boletos vencem em breve e pelo jeito que a carruagem tá andando não vai corrigir a tempo"
79,2020-03-09,O Slogan da Campanha do @itau é perfeito! #SóQueNão Itaú feito pra você... Feito pra você... se atrasar com as contas Feito pra você... ficar Irritado Feito pra você... ficar esperando na linha Feito pra você... ficar na Mão!!! e outros... muitos outros... esse sistema novo de
80,2020-03-09,"Olá, boa noite! Nosso time já está tralhando para resolver isso!. Lamentamos por qualquer transtorno e seguimos à disposição!"
