,date,text
0,2020-05-31,"Olha, será que assim resolve? Porq eu já desgastei com esse banco."
1,2020-05-31,Meu presente de aniversário do @itau 
2,2020-05-31,Boa noite.... O Itaú oferece algum tipo de maquininha de débito crédito pra cliente autônomo?
3,2020-05-31,Que medo tenho eu de como serão as aulas desta Senhora e o que reserva o futuro para os filhos de Pais que abrem as portas de sua casa para este tipo de instituição... Abram os olhos...
4,2020-05-31,Caralho @itau quero bloquear um cartão por roubo E NINGUÉM ME ATENDEEEEE
5,2020-05-31,yeap
6,2020-05-31,"No meu tbm, pesquisei online e várias pessoas passando por isso nesse mês."
7,2020-05-31,Acabei de ver na TV que tá liberado usar taco de basebol.
8,2020-05-31,"Ai ai, ter de entrar em contato com o @itau por estarem fazendo uma cobrança indevida no meu cartão de crédito."
9,2020-05-31,Deprimidissimo por ter que ir no banco amanhã. @itau me deixe confirmar minha senha por SMS pelo amor de deus.
10,2020-05-31,"Sempre reclamei do @itau pq o tratamento que me dá como cliente de quase 10 como PJ é ridículo, fora as txs. exorbitantes. Agora nesta crise toda o q ela faz, retirar 50% do limite do LIS, de uma empresa que nunca ficou inadimplente. Novos tempos, novo banco. @belemtransito"
11,2020-05-31,@RADARONLINE @realwbonner @REQUIAOPMDB @ReutersBrasil @RevistaISTOE @Ricamconsult @uolnoticias @valoreconomico @VEJA @VejaSP @veramagalhaes @VillaMarcovilla @anterogreco @AntiCast @aosfatos @arielpalacios @atarde @augustodeAB @itau Ouro do Iraque saqueado pleos Estados Unidos. 
12,2020-05-31,Bora tentar cavar um patrocínio com esse #aerobike. Alô @itau @tembici #caloi...
13,2020-05-31,Meu sonho de princesa um dia o @nubank funcionar no Apple Pay. E a felicidade do dia foi descobrir que o debito do @itau ja funciona no Apple Pay e não preciso andar nunca mais com cartão 
14,2020-05-31,"Coe @itau, vou usar tua bike pra acompanhar o Fred"
15,2020-05-31,"@itau Em meio a uma pandemia, como pode um instituição como Banco #Itau manter uma pessoa sem qualificação alguma como Gerente de relacionamento PJ em seu quadro de funcionários. Ser atendido pela profissional da limpeza da agência é muito melhor para a relação banco/cliente"
16,2020-05-31,Ainda a história do cartão?
17,2020-05-31,"em muitos anos, eu nunca me estressei tanto com o @itau quanto agora...... olha sinceramente"
18,2020-05-31,No perfil da @tembici no Instagram você encontra indicações de pequenos empreendedores para apoiar o comércio local nesse momento de crise. #ApoieOPequeno #CompreDoPequeno
19,2020-05-31,@itau vc é uma imunda. No início da quarentena não quis mudar meu pacote. Agora faz cobrança indevida e me deixa no cheque especial sem nem avisar. Tudo de ruim pra vc querida
20,2020-05-31,Alô @itau faz o favor de envia fatura no meu email q eu n tô com iToken no celular pfv
21,2020-05-31,@Red_Meczada
22,2020-05-31,@itau recebi isto hj e nem sou correntista de vcs. 
23,2020-05-31,@itau hola itau quiero sacar una tarjea de credito
