,date,text
0,2019-11-30,Olá! Boa noite. Aconteceu algo? Podemos te ajuda por aqui? Chama a gente por DM.
1,2019-11-30,"Olá! Fernanda . Boa noite. Conseguiu acessar? Caso ainda persista o erro, surge alguma mensagem? Vamos conversar por DM. Qual operação ou consulta tentou realizar?"
2,2019-11-30,Olá! Boa noite. Segue link para verificar e conhecer mais benefícios do seu cartão Itaú.
3,2019-11-30,"Olá! Boa noite. Está tentando realizar o pagamento da compra utilizando qual cartão, débito, crédito ou múltiplo, se cartão múltiplo, qual a função débito ou crédito? Vamos conversar por DM."
4,2019-11-30,Minha experiência com o @itau sempre vai ser horrível?
5,2019-11-30,"@gabrielysants Olá! Gaby. Boa noite. Seu cartão é do Brasil é administrado pela Itaucard? Se sim, orientamos que envie mensagem por meio da página https://twitter.com/Itaucard Estamos à disposição."
6,2019-11-30,"Olá! Boa noite. Por DM, informe agência, conta, CPF e e-mail. Responda apenas SIM ou NÃO, recorda se a senha do cartão?"
7,2019-11-30,O app caiu ??? @itau
8,2019-11-30,alô alguém do @itau me ajuda n entendo como algo que vcs dizem ser tão simples não funciona. meu cartão novo de débito não tá funcionando e minha conta ta aparentemente bloqueada. nem no sac consigo fala &gt;:|
9,2019-11-30,Estamos à disposição.
10,2019-11-30,"Quando possível, envie mensagem para gente que entraremos em contato, por aqui, temos como auxilia la, porém, temos que realizar alguns questionamentos de segurança, por isto a ligação."
11,2019-11-30,merda de chat
12,2019-11-30,"@itau desbloqueia meu cartão, eu não aguento mais humilhação de vcs"
13,2019-11-30,Eu que o diga. E as baratinhas são bastante resistentes também. Mas aquela coisa né ...
14,2019-11-30,Alguém dá um programa para o @YgorFremo 
15,2019-11-30,"Mano, te fode! ahahhahaah"
16,2019-11-30,@Itaucard parabéns ...vcs conseguiram me convencer a utilizar outro cartão e agora outro banco ! Cliente de mais de 40 anos perdido ! Vou cancelar a portabilidade para o @itau ! O cliente não vale nada !
17,2019-11-30,"Sim, a gente só está te explicando que existem outras opções. Você não precisa ser grossa."
18,2019-11-30,Se tu fosse o pontinho na multidão as empresas não teriam sido obrigadas por lei a aceitar o banco que o funcionário quer receber o seu salário.
19,2019-11-30,A Milena não entende hahahaha
20,2019-11-30,"Oi Érica, boa tarde. Esse cartão é de crédito ou de uma conta?"
21,2019-11-30,"Brenda, na verdade, não temos um seguro específico para celular por aqui. A contratação do seguro precisa ser consultada através do site da Porto Seguro. Sobre o seguro do cartão, acesse o site https://www.itau.com.br/seguros/ e saiba mais"
22,2019-11-30,Olá.. está acontecendo algo que a gente possa resolver?
23,2019-11-30,Olá.. a gente trabalha. Podemos ajudar em algo?
24,2019-11-30,Oi Carolina. O que está acontecendo? A gente pode ajudar em algo?
25,2019-11-30,"Olá, boa tarde. Envie sua agência e conta por DM, por favor."
26,2019-11-30,"@itau, irei fazer uma reclamação formal no Banco Central, por vocês descumprirem o contratado na hora de fazer a portabilidade."
27,2019-11-30,Porra @itau sério? O App de vcs não abre eu reinstalo e agora tô igual trouxa tentando desbloquear o token e a merda do QR não lê!! Pqp o erro não foi meu e tô sem App
28,2019-11-30,Mas gente da pra fazer um baita estoque de piranhas baratinhas por esse valor. Se quebrar tem várias outras pra repor
29,2019-11-30,"Olá, boa tarde. Sabe nos informar o número de identificação dessa agência para podermos acionar os responsáveis e verificar o que está acontecendo."
30,2019-11-30, 
31,2019-11-30,"Olá, boa tarde. Envie sua agência e conta por DM para conferirmos essa informação pra você."
32,2019-11-30,Olá Luly... passa o endereço completo de onde você está para podermos localizar uma de nossas agências.
33,2019-11-30,"Oi Ulisses, boa tarde. Sabe nos informar os números da agência que você foi? Vamos entrar em contato com os responsáveis das agências."
34,2019-11-30,"I use a @itaucard Visa Gold as my main card, a @Credicard Zero (mastercard) as a backup, a @itau debit (Maestro) for when only debit is accept, another mastercard (autorized user) for buying stuff for my mother and a @meudigio Visa Classic as a reserve backup card "
35,2019-11-30,"Oi, boa tarde! Chame a gente por DM e informe o número do seu telefone com DDD, por favor."
36,2019-11-30,Deixa eu gasta meu dinheiro @itau namoral
