,date,text
0,2019-10-31,"Oh @joaoamoedonovo , veja aí pq @itau me liga 20x todo dia atrás da MINHA MÃE para ela pegar empréstimo de aposentado. Não tenho como confiar em vc assim. Perseguindo parente de idosos e idosos pra roubar dieros, mano. Roubando infos pq e cmo vcs sabiam da aposentadoria?"
1,2019-10-31,"Olá, Mariana. Boa noite. Informe seus dados por DM, agência, conta, telefone com DDD e e-mail. Detalhe o que está ocorrendo, por favor."
2,2019-10-31,E deve suspender todo apoio a quem financia está facção. @CervejariaAmbev @chevroletbrasil @itau @Bradesco @CasasBahia vcs apoiam a redeesgoto?
3,2019-10-31,Está redeesgoto só quer o pior do Brasil. @CervejariaAmbev @itau @Bradesco @CasasBahia @chevroletbrasil vcs apoiam isso? @redeglobo @SBTonline @recordtvoficial @radiojovempan
4,2019-10-31,Conta corrente
5,2019-10-31,"Você se refere à que tipo de conta? Corrente, poupança, benefício ou salário?"
6,2019-10-31,"A @redeglobo é pior que o s s t .f e aquele diarreia que lá existe. O @jornalnacional um dia prestou, agora com é apenas lixo não reciclável. @itau @Bradesco @chevroletbrasil @CervejariaAmbev @CasasBahia"
7,2019-10-31,Atenção @havaianasBR @McDonalds_BR @FiatBR @itau @naturabroficial @skol @cacaushow @riachuelo @Visa @CasasBahia @seara_brasil e todos demais anunciantes da rede @RedeGlobo9 Nós cidadãos de bem não admitimos essa pouca vergonha. Não compramos de ninguém que anuncie nela.
8,2019-10-31,Olá! O que aconteceu?
9,2019-10-31,"Olha @itau SE COMEÇAR A VENDER ALGUM INGRESSO DE SHOW E O MEU CARTÃO NOVO AINDA NÃO ESTIVER EM MINHAS MÃOS, CABEÇAS IRÃO ROLAR"
10,2019-10-31,#Gostosuras Rssss
11,2019-10-31,Simples ASSIM Não vou morrer sem @OMOBrasil @sadia @perdigaooficial @AvonBR @naturabroficial @NissanBrasil @BrahmaCerveja @Citroen @CasasBahia @itau @Bradesco @paodeacucar BOICOTE TOTAL.
12,2019-10-31,@itau dica: aula para pessoas aprenderem a andar de bike Tive que desisti da bicicleta pq quase matei uma pessoa
13,2019-10-31,Sim!
14,2019-10-31,"Olá, Alex. Boa noite. Continuaremos por DM."
15,2019-10-31,"Olá! Se tiver alguma dúvida, conte com a gente por aqui "
16,2019-10-31,Chegou nossa remessa de livros e já me comprometi em ler para o meu filho e seus amigos. #LeiaParaUmaCriança Obrigada pelo carinho @itau em Mangueira https://www.instagram.com/p/B4TQ9mgA3BV/?igshid=fy89yq59ky2g
17,2019-10-31,"A Léia baixou os livros digitais da campanha #LeiaParaUmaCriança e projetou na sala de aula para seus alunos, que ficaram fascinados pelas histórias. Conta sua história de leitura para gente. Ela pode virar desenho, que nem o relato da professora. "
18,2019-10-31,"Informe agência, conta, CPF e e-mail."
19,2019-10-31, 
20,2019-10-31,Essa é a vida do trabalhador
21,2019-10-31,"Olá, boa noite! Nos chame por DM com os lançamentos que você não reconhece e número da sua agência e conta. Podemos conversar por lá?"
22,2019-10-31, 
23,2019-10-31,"Olá! Em qual central vc ligou? Nós podemos te ajudar por aqui? Se preferir, chame a gente na DM."
24,2019-10-31,@itau libera meu itoken aí
25,2019-10-31,banco que engana seus clientes. Abro minha conta e diz q tem um cartão disponível pra mim. Qdo peço p contratar diz que não tem. Olha a enganação
26,2019-10-31,@itau o banco que engana seus clientes. Abro minha conta e diz q tem um cartão disponível pra mim. Qdo peço p contratar diz que não tem. Olha a enganação @ReclameAQUI
27,2019-10-31,Feito e já baixado valeu a dica
28,2019-10-31,"Fui a agência e não consegui, acaba que só posso pagar esse valor para uma dívida alta"
