,date,text
0,2020-04-30,"Infelizmente não conseguimos pagar nenhuma.Mas a primeira seria o financiamento da casa,mas o @falanext bloqueou a conta né."
1,2020-04-30,"Já cansei de enviar mensagens para vocês,tô de saco cheio. Cara,nem o Itaú nos fez procurar o Procon,nem o Itaú foi capaz disso"
2,2020-04-30,"Deus do céu,como pode um banco ser tão inútil e imprestável e agir com tanto descaso com o cliente? O pior, repito o pior banco que eu e o Francisco tivemos o desprazer de utilizar. Parabéns @falanext conseguiu superar o Itaú hein"
3,2020-04-30,"Olá! Não entendi exatamente o que aconteceu. Me explica melhor pela DM, por favor."
4,2020-04-30,Olá! Podemos te ajudar com algum serviço ou informação?
5,2020-04-30,Meu Deus eu passo raiva TODA VEZ no chat do @falanext!!! Não aguento 
6,2020-04-30,"@falanext Deixa usar cupom da Uber no Uber Eats, por favorzinho..."
7,2020-04-30,foda ! @falanext
8,2020-04-30,"@falanext tô querendo movimentar dinheiro pra minha corretora mas não sei pq caralhos TÁ DANDO ERRO NA HORA DE EFETUAR O PAGAMENTO, obrigado tenham uma ótima noite"
9,2020-04-30,Querô coisa de graça
10,2020-04-30,Poxa @falanext me ajuda não tô conseguindo atendimento via telefone e nem app 
11,2020-04-30,"Desde 12:00 esperando resposta pelo chat,dm,whatsapp e messenger"
12,2020-04-30,qual é o tempo máximo de espera que vocês dão para atender o cliente? pq tá foda viu
13,2020-04-30,"@falanext ninguem me responde no Chat, desde as 15hr, preciso de ajuda!!"
14,2020-04-30,"Estamos trabalhando em melhorias, em breve teremos novidades. Agradecemos o feedback."
15,2020-04-30,"Essa não sabia, adoreeeei!"
16,2020-04-30,Deu simm
17,2020-04-30,Palhaçada né. @falanext 
18,2020-04-30,Eu estou surtando com o mau atendimento do @falanext tá impossível de conversar a ajuda deles e eu to estressado com essa falta de organização. PÉSSIMO!
19,2020-04-30,"Olá, tudo bem? Vc pode aproveitar os ""Mimos"" Para ficar em casa e descontos com a hype na compra de diamantes!"
20,2020-04-30,"Olá! Mas, está tudo certo agora?"
21,2020-04-30,"Vc pode me chamar poe DM, pf?"
22,2020-04-30,"Mesma coisa, atendimento péssimo. Tô com dinheiro preso na conta é não consigo transferir nem pagar boleto por causa desse sistema péssimo deles."
23,2020-04-30,Fiquei esperando e o assistente foi embora e não falou NADA. Uehehehueh
24,2020-04-30,Pior atendimento o possível.
25,2020-04-30,valeu respondi lá 
26,2020-04-30,"tô desde o dia 25 tentando fazer uma transferência ou pagar um boleto e não consigo, obrigada pelos juros que vou levar viu? @falanext"
27,2020-04-30,"Next pior banco, tô desde o dia 25 tentando fazer uma transferência ou pagar um boleto e não consigo, obrigada pelos juros que vou levar viu? @falanext"
28,2020-04-30,Conte sempre com a gente 
29,2020-04-30,"Olá, tudo bem? Não temos previsão, mas vc pode aproveitar os nossos ""Mimos"" para ficar em casa e descontos na compra de diamantes pela Hype."
30,2020-04-30,"Oi! Podemos ajudar? Chama a gente na DM, por favor."
31,2020-04-30,"E no fim não falou como solicitar, até tem o menu mas nada dentro."
32,2020-04-30,Mandou muitooo bem @falanext!! Estamos batendo muito nesta tecla contra fraudes com nossos clientes também para tentar minimizar ao máximo este problema.
33,2020-04-30,"Olá, tudo bem? Podemos te ajudar?"
34,2020-04-30,"Olá, tudo bem? Posso ajudar em algo?"
35,2020-04-30,"Oi, Luisa! Seu celular é android ou IOS? Se for android, faz a limpeza do cache/dados e reinstala o app, mas se for IOS, reinstala apenas!"
