,date,text
0,2019-12-31,@LollapaloozaBr corre aqui
1,2019-12-31,@LollapaloozaBr POR FAVO
2,2019-12-31,@LollapaloozaBr
3,2019-12-31,Meu vídeo para o @falanext ficou horrível.
4,2019-12-31,@LollapaloozaBr
5,2019-12-31,@LollapaloozaBr Olha isso!
6,2019-12-31,@falanext Deveria haver a possibilidade do pagamento antecipado do cartão. Melhorem o app. É muito simplista.
7,2019-12-31,
8,2019-12-31,"Somente no mimo da uber. Nao aceita a forma de pagto cartao se crédito uber, outros, o app aceita."
9,2019-12-31,@LollapaloozaBr
10,2019-12-31,"O @falanext SEUS BANDO DE FILHO DA PUTA, COMO EU FAÇO UM B.O PRA CANCELAR UMA CONTA QUE EU NÃO SOLICITEI ABERTURA? CARALHO, EU SÓ CONSIGO DESEJAR TODO MAL DO MUNDO PRA VOCÊS "
11,2019-12-31,@LollapaloozaBr
12,2019-12-31,@LollapaloozaBr corre aqui
13,2019-12-31,@LollapaloozaBr
14,2019-12-31,@LollapaloozaBr
15,2019-12-31,@LollapaloozaBr
16,2019-12-31,@LollapaloozaBr
17,2019-12-31,@LollapaloozaBr
18,2019-12-31,@LollapaloozaBr cadê vc
19,2019-12-31,"O ódio que eu tô por ter depositado Din ontem e não caiu até agora, sendo que eu precisava do dinheiro na conta hoje. @falanext só me faz passar raiva "
20,2019-12-31,@LollapaloozaBr da uma força vai
21,2019-12-31,se vc for e eu não ela vai cancelar e tenho dito 
22,2019-12-31,@LollapaloozaBr
23,2019-12-31,@LollapaloozaBr
24,2019-12-31,kkkkkkkkos fatos
25,2019-12-31,Corre aki amade @LollapaloozaBr
26,2019-12-31,"Espero que chegue até na própria Lana pq ela é de dar ingresso pra quem precisa! Me identifiquei muito com vc, tbm tenho esse sentimento de que a Lana é um anjo da guarda "
27,2019-12-31,Fiz no sábado. Ainda estou aguardando
28,2019-12-31,@LollapaloozaBr chega aqui
29,2019-12-31,@LollapaloozaBr ajuda a moça!
30,2019-12-31,@LollapaloozaBr
31,2019-12-31,@LollapaloozaBr ajuda a jovem aí 
32,2019-12-31,@LollapaloozaBr
33,2019-12-31,@LollapaloozaBr
34,2019-12-31,"Esse sonho vai se tornar real, eu acredito! @LollapaloozaBr @Bradesco @Budweiser_Br @chebr @adidasbrasil @doritosbrasil Marquem as marcas que fazem patrocínio do Lolla também !!!"
35,2019-12-31,ser realista eh tudo KKKKKK
36,2019-12-31,@LollapaloozaBr
37,2019-12-31,@LollapaloozaBr
38,2019-12-31,@LollapaloozaBr
39,2019-12-31,Miga essa é minha hiatoria mas graça a Deus consegui comprar esse ano com mt esforço espero q eles te ajudem! @LollapaloozaBr da uma força pra essa lanafan
40,2019-12-31,@LollapaloozaBr
41,2019-12-31,@LollapaloozaBr comenta
42,2019-12-31,@LollapaloozaBr @lollapalooza realizem o sonhe desta fã de Deus
43,2019-12-31,@LollapaloozaBr vem migaaaaa leia
44,2019-12-31,@LollapaloozaBr
45,2019-12-31,@LollapaloozaBr
46,2019-12-31,@LollapaloozaBr
47,2019-12-31,"App @falanext tá péssimo, desde ontem tentando fazer transferência e serviço só dá fora do ar"
48,2019-12-31,@LollapaloozaBr vem aqui nega
49,2019-12-31,@falanext tá acabando com o meu dia. 
50,2019-12-31,"@falanext tentei ativar o app no meu celular novo e mesmo colocando o código não consegui, me pede pra esperar 24h. O que eu faço?"
51,2019-12-31,@LollapaloozaBr
52,2019-12-31,@LollapaloozaBr vem
53,2019-12-31,hey @LollapaloozaBr da um ingresso pra elu logo :)
54,2019-12-31,@LollapaloozaBr aaaaaaaa
55,2019-12-31,@LollapaloozaBr
56,2019-12-31,@LollapaloozaBr
57,2019-12-31,"20% de desconto na Razer e não consigo usar, @falanext me ajuda ai"
58,2019-12-31,minha conta tá bloqueada não consigo pagar boleto nem transferir nada @falanext me AJUDE
59,2019-12-31,@LollapaloozaBr
60,2019-12-31,@LollapaloozaBr
61,2019-12-31,"@LollapaloozaBr vcs estão perdendo de levar a maravilhosa Cris para o show, ja ta na hora"
62,2019-12-31,@LollapaloozaBr
63,2019-12-31,@LollapaloozaBr
64,2019-12-31,@LollapaloozaBr
65,2019-12-31,@LollapaloozaBr
66,2019-12-31,@LollapaloozaBr
67,2019-12-31,@LollapaloozaBr da o ingresso p menina realizar o sonho dela ngm tem culpa de vocês serem uns porcos capitalistas
68,2019-12-31,@LollapaloozaBr se liga no sonho da nossa Threader.
69,2019-12-31,@LollapaloozaBr @LollapaloozaBr
70,2019-12-31,@LollapaloozaBr
71,2019-12-31,se vc conseguir por favor manda uma dm
72,2019-12-31,@LollapaloozaBr
73,2019-12-31,@LollapaloozaBr
74,2019-12-31,@LollapaloozaBr
75,2019-12-31,"Já, a 3 semanas. A previsão era para entrega até ontem Aí agora no App tá falando que será até dia 23/1... péssimo! Sou de SP"
76,2019-12-31,@LollapaloozaBr
77,2019-12-31,@LollapaloozaBr
78,2019-12-31,@lollapaloozabr corre aqui agora mesmo
79,2019-12-31,@LollapaloozaBr
80,2019-12-31,@LollapaloozaBr
81,2019-12-31,@LollapaloozaBr LEVA ELAAAA
82,2019-12-31,"era para eu ter recebido uma transferência no dia 29/12 e até agora não caiu, sendo que a pessoa que fez a transferência pra mim utilizou via Bradesco"
83,2019-12-31,oi @LollapaloozaBr
84,2019-12-31,@LollapaloozaBr
85,2019-12-31,"Achei que abrir uma conta no Next, não me daria dor de cabeça, doce ilusão!!! @falanext 🖓🖓🖓 "
86,2019-12-31,@LollapaloozaBr HEEEEYYYY
87,2019-12-31,@LollapaloozaBr NUNCA TE PEDI NADA
88,2019-12-31,@LollapaloozaBr NOTA AQUIIIII
89,2019-12-31,@LollapaloozaBr um ingressinho pow
90,2019-12-31,amiga so vai que esse momento é seu
91,2019-12-31,@LollapaloozaBr
92,2019-12-31,@LollapaloozaBr
93,2019-12-31,@LollapaloozaBr
