,date,text
0,2020-02-29,"@falanext Recebi o Mimo dos diamantes do Free Firme essa semana, fui colocar e não funciona. E agora? Já tentei maiúsculo, minúsculo e nada! Como faço? :) "
1,2020-02-29,"Além do Next fazer uma cobrança INDEVIDA na minha fatura, sendo que não foi solicitado NENHUM tipo de parcelamento da fatura, eles demoram horas para atender. Olha sempre defendi esse banco, mas já estou pronta para cancelar e fazer um outro cartão com outro banco. @falanext"
2,2020-02-29,"@falanext isso é uma vergonha!!!!!! Você fica 40 minutos esperando para ser atendida, isso é ridículo. "
3,2020-02-29,"@falanext é um passo pra eu surtar com o atendimento de vocês, pelo amor de deussssssssss"
4,2020-02-29,Olá! Podemos te ajudar com algum serviço ou informação?
5,2020-02-29,Olha o suporte via chat que eficiente...@falanext 
6,2020-02-29,@ReclameAQUI 48 horas se passaram e nada de resolver o problema com a minha conta...dois dias sem poder utilizar o meu dinheiro por um erro do próprio @falanext... inacreditável
7,2020-02-29,@falanext obrigada pelo ótimo atendimento Quase 30 minutos aguardando atendimento 
8,2020-02-29,Olá! Pedimos desculpas por qualquer transtorno causado no seu atendimento. Qual serviço ou informação vc precisa?
9,2020-02-29,@falanext oi como faço pra encerrar minha conta?
10,2020-02-29,caralho @falanext pelo amor de deus me atenda 
11,2020-02-29,Como resolver?
12,2020-02-29,O @falanext podia deixar fazer depósito imediato nos caixas do Bradesco cobrando uma taxa. Eu pagaria. Tipo se fosse uns 1...2...3 reais meus colegas do Banco do Brasil me fazem inveja pq eu não consigo depositar no fds na minha conta Next 
13,2020-02-29,Não recebi meu código dos tudo correto mandou espera 24 horas esperei e nada mandei mensagem no Facebook não responderam entrei direto na minha conta no app da banco não respondem falaram que ia passa pra pessoa responsável da áreas dos codkgo de diamantes e nada fiquei esperando
14,2020-02-29,Onde e a DM estou com poblema você dnunca respondem no Facebook
15,2020-02-29,Next fiz meu cadastro certtino lá pra receber meu codiguin até hoje não chegou mandei mensagem direto pelo app do banco Next vocês lá falaram que ia passa pra um tal pessoa responsável e nunca mais responderam nem no Facebook respondem
16,2020-02-29,"O meu código até agora não chegou, vai chegar??"
17,2020-02-29,O meu também até agora nada
18,2020-02-29,O serviço é excelente! Eu tenho conta no Next
19,2020-02-29, 
20,2020-02-29,"Eu não uso muito, então eu não posso dizer com certeza Tem o @falanext tbm que é mto bom, eu tinha ele, só parei de usar pq precisei usar o cartão pra minha mãe w ficou doente na época kkkkk sdds do meu verdinho, mas tenho só elogios."
21,2020-02-29,"@falanext até agora não veio nada no meu e-mail pra receber os 300 diamantes no free fire, só faixada"
22,2020-02-29,"@falanext tenho que realmente tirar o chapéu para vcs no quesito agilidade qdo o assunto eh enviar cartão para casa.. rsrsr.. abri conta com vcs mtoo recentemente e o cartão chegou mtooo, mtoooooo rápido... uma pena que o cartão não veio com a funcionalidade de débito e crédito"
23,2020-02-29,Fui dar uma olhada no CDB do @falanext e encontro com um rendimento de 85% do CDI... ehh isso msm? Vcs estão na contramão de outras instituições bancárias digitais
24,2020-02-29,Respondi @falanext
25,2020-02-29, 
26,2020-02-29,"Que bom que foi resolvido. Qualquer dúvida, chama a gente."
27,2020-02-29,@falanext apareceu um lançamento de parcelamento fácil de 18 vezes. EU NUNCA solicitei esse parcelamento
28,2020-02-29,ENGRAÇADO QUE PARA OFERECER AS COISAS RESPONDE NO MESMO MINUTO AGORA PARA RESOLVER PROBLEMAS NÃO TEM DM CERTA NÉ
29,2020-02-29,"passei raiva o dia todo tentando entrar em contato com o @falanext e nada, nem telefone e nem chat, só queria poder usar meu saláriozinho"
30,2020-02-29,HAHAHAHAHHAHAAH
31,2020-02-29,"sim, agora que vi. Faz todo o sentido ser offline e ficar fora da área de login. Mas como não sabia, vasculhei o app inteiro e não encontrei hahaha"
32,2020-02-29,Em breve teremos novidades. Estamos trabalhando em melhorias.
33,2020-02-29,"aparentemente é normal, eu mandei faz um tempo e só responderam hoje"
34,2020-02-29,@falanext me responde Next urgente
35,2020-02-29,"Me responde urgente Next , mando msg e vcs nem olha"
36,2020-02-29,"Me responde urgente vou em toda rede social de vcs, e nada de me responder, HELP!!!!!"
37,2020-02-29,"Oi! Respondi a sua DM, verifique por favor."
38,2020-02-29,"Respondi a sua DM, verifique por favor."
39,2020-02-29,"Respondi a sua DM, verifique por favor."
40,2020-02-29,Meu código não chegou q inferno responde me inbox urgente
41,2020-02-29,@falanext meu código não chegou q inferno responde meu inbox urgenteeee
42,2020-02-29,"Respondi a sua DM, verifique por favor."
43,2020-02-29,Por essas e por outras vou efetuar meus pagamentos e cancelar a conta. O @falanext JAMAIS terá a mesma QUALIDADE e TRANSPARÊNCIA que o @nubank tem.
44,2020-02-29,É lamentável. Péssimo atendimento por chat. O especialista finaliza atendimento SEM sanar dúvidas ou resolver problemas. Aí tu liga pra central do @falanext e dizem que só resolvem pelo chat. Onde NINGUÉM se importa em te atender direito.
45,2020-02-29,Vou lá no reclame aqui
46,2020-02-29,Me atende poxa
47,2020-02-29,acabei de ver poderia responder de volta? a pergunta que fiz!
48,2020-02-29,Me responde Next
