,date,text
0,2020-01-31,@falanext reizinho perfeito q ainda dá 20 reais pra usar o uber todo mês
1,2020-01-31,"fora que eu adoro ter 20 reais pra gastar com uber todo mês, quebra um baita galho"
2,2020-01-31,Só queria que o @falanext mandasse meu cartão
3,2020-01-31,"uso @falanext pq é o único que me aceitou pra crédito, é otimo (exceto pelo suporte, isso é podre) outra vantagem que eu acho muuuuito boa é o fato de ser do bradesco, então eu posso usar as agências, os caixas eletrônicos, etc"
4,2020-01-31,"Eu tinha a NuConta, era ótima, mas cobra o saque. Daí fui pro @falanext t e posso sacar em qualquer bradesco ou 24h. Fora que ja ganhei alguns mimos do @falanext , coisa que a NuConta nunca me deu. Continuo com o cartão de crédito do @nubank. @falanext libera um pra mim aí pffff"
5,2020-01-31,@falanext sera que da p eu usar minha conta ou ta dificil????? mais de um mes tentando E VCS não ARRUMAM
6,2020-01-31,Kkkkkkkkk por isso n confio em nenhum
7,2020-01-31,"Oie! Respondi sua DM, dá uma olhadinha."
8,2020-01-31,Como funcionam esses mimos da next?
9,2020-01-31,"A liberação do crédito está sujeito a análise. Quando ficar disponível, vamos te avisar."
10,2020-01-31,lixo
11,2020-01-31,"Oi, Bruna. Seu app está atualizado?"
12,2020-01-31,Cartão de débito/conta corrente serve também?? poxa @falanext mima eu aqui!
13,2020-01-31,Cartão @falanext é muito bom cara 
14,2020-01-31,E da Bradesco @falanext
15,2020-01-31,Desde novembro tentando receber minha segunda via do cartão do Next. Pensando muito em cancelar. @falanext
16,2020-01-31,o @falanext é tão ruim que nem encerrar minha conta eu consigo sem passar por uma puta burocracia
17,2020-01-31,"Olá! Respondi sua DM, dá uma olhadinha."
18,2020-01-31,"Olá! Pq não está conseguindo realizar compras com o cartão? Aparece alguma mensagem de erro? Se sim, envia pela DM, por favor?!"
19,2020-01-31,"Olá! Peço desculpas pela experiência, me chama na DM, por favor?"
20,2020-01-31,"Eu recebo pelo Bradesco, então já tenho uma conta salário lá, acho que já é mais fácil transformar em conta corrente.. vou ver se abro lá"
21,2020-01-31,"Oi, Guilherme. Pedimos desculpas por qualquer transtorno causado no seu atendimento. Vamos te ajudar com isso. Chama a gente pela DM, por favor?!"
22,2020-01-31,"Olá! Aparece alguma msg de erro quando acessa o app? Se sim, me manda um print na DM, por favor? O seu app está atualizado com a nossa última atualização?"
23,2020-01-31,@falanext Uma dúvida aqui. Como vocês conseguem ser o melhor banco digital?
24,2020-01-31,"Olá! Vamos te ajudar com isso. Chama a gente pela DM, por favor?!"
25,2020-01-31,Olá! Sempre que possível atualizamos o aplicativo e incluímos novos serviços e melhoramentos. Estamos estudando a possibilidade de disponibilizar outras formas para pagamento da fatura e acredito que em breve teremos novidades. 
26,2020-01-31,"simmm eu tenho no nubank, aí eu vou pegar o din e encerrar no bb"
27,2020-01-31,Eu tô ligado. Mas até hj não tive problemas.
28,2020-01-31,Depois de mais de um ano usando @nubank / @falanext eu nunca mais precisei ir em agência e passar por aqueles constrangimentos de tirar todo metal da mochila (das q não tem guarda volume)
29,2020-01-31,Faz uma conta no @falanext BB melhor coisa
30,2020-01-31,@falanext olhem a dm de vocês
31,2020-01-31,"@falanext o banco que mima você, mas tá cagando pra te atender!"
32,2020-01-31,Next = Bradesco com fachada diferente Corre disso também
33,2020-01-31,@LollapaloozaBr não rola prorrogar a entrada social mais um pouco???? To esperando entregarem o meu cartão @falanext 
34,2020-01-31,AAAAAAAAA PQ MEU CARTÃO DA DANDO CANCELADO SENDO QUE NUNCA USEI??????? @falanext
35,2020-01-31,Fui no @Bradesco cadastrar a biometria do @falanext e estragaram meu cartão novinho e ainda por cima não fez a biometria. Puta que pariu!!
36,2020-01-31,"Oi, gato! Vem cá que eu quero te usar todinho @falanext "
37,2020-01-31,@falanext q banco lixo vcs sao viu? arrependida de criar uma conta
38,2020-01-31,"@falanext E AÍ BONITAS, vamos trabalhar e ajudar o cliente aqui?"
39,2020-01-31,"Tá foda entrar em contato com vocês hein, não respondem em nenhum lugar tipo de contato, só falta eu mandar um pombo correio pra tentar resolver meu problema"
40,2020-01-31,@falanext preciso que vocês respondam o chat!
41,2020-01-31,Porra @falanext tô o dia todo tentando entrar no app e diz que tá fora do ar. Preciso pagar minhas contar querida 
42,2020-01-31,Vou de dm
43,2020-01-31,Eu nem marquei vcs e vcs me responderam Caramba
44,2020-01-31,"Muito legal ficar 25 min esperando para ser atendido pelo @falanext ... A ligação caiu, liguei novamente e estou aqui passando dos 10 min de espera ... Desisto"
45,2020-01-31,#Sóvem
46,2020-01-31,"Putz, até que enfim consegui falar com vocês.Vamos lá, eu fui roubado e comprei outro celular, quando acesso o App pelo outro celular, ele envia um código pro meu email mas eu não recebi esse código, queria saber se o meu email está cadastrado errado ou se o código não está indo"
47,2020-01-31,"Oi, tudo bem? Valeu pela sugestão!! Estamos trabalhando em melhorias para facilitar a disponibilização de valores em conta e logo mais teremos novidade, hein "
48,2020-01-31,Namoral mandem a @falanext responder minha dm
49,2020-01-31,@falanext esperando ate agr meu codigo de acesso chegar e nada ne
50,2020-01-31,o auge de hoje foi o @falanext me enviar um cartão de crédito visa platinum sem nenhum limite de crédito k 
51,2020-01-31,"Olá, tudo bem? Peço desculpas pelo ocorrido, o nosso time tá focado em melhorarias, estamos aqui para ajudar. Pode me contar o que aconteceu?"
52,2020-01-31,"já chamei, já verificaram e nada foi resolvido"
53,2020-01-31,"Sim. Eu fiz o pedido dia 21/01, hoje já é o oitavo dia útil e nada de resposta :("
54,2020-01-31,Atendimento por chat uma merda. No sac nos deixam esperando pra sempre. Não responde a DM. Tá foda ein
55,2020-01-31,@falanext amados help pois estou dentro do banco tentando sacar o dinheiroOOoOo
56,2020-01-31,@falanext vocês podem me ajudar? Meu cartão que acabou de chegar está dando cancelado
57,2020-01-31,"Oi, Léo! Em que podemos ajudar?"
58,2020-01-31,Mais um dia eu vindo reclamar da @falanext pq eles me deixam esperando ou não me atendem 
59,2020-01-31,
60,2020-01-31,Oie! Em que podemos ajudar?
61,2020-01-31,Oie! Adoraríamos tê-lo como cliente . Vc precisa esclarecer alguma dúvida sobre nossas propostas e benefícios?
62,2020-01-31,"Olá! Vc se refere a aprovação de conta? Se sim, o prazo de análise é de 03 a 07 dias úteis."
63,2020-01-31,"to me questionando isso, no aplicativo só mostra data e nome, conversei com 3 atendentes e me disseram que “possuem as mesmas informações que eu”"
64,2020-01-31,pqp é impossível encerrar conta no @falanext
65,2020-01-31,Vc não tem o comprovante? É aceito boleto bancário de qualquer banco em seu nome ou dos seus pais.
66,2020-01-31,Respondi o seu outro comentário.
67,2020-01-31,Respondi o seu outro comentário.
68,2020-01-31,Respondi o seu outro comentário.
69,2020-01-31,Respondi o seu outro comentário.
70,2020-01-31,Oi! Vc conseguiu realizar a contestação?
71,2020-01-31,"Respondi o seu outro comentário, verifique por favor."
72,2020-01-31,Oi! Respondi o seu outro comentário.
73,2020-01-31,Oi! Foi feito a contestação dos valores?
74,2020-01-31,Oi! O que aconteceu que fez vc pensar assim?
75,2020-01-31,"Mas queria um fundo conservador 100% do CDI, mesmo. De todo modo, obrigada pelo retorno."
76,2020-01-31,"Oi, Iara! Lamento muito a experiência, peço desculpas! Por favor, chama na DM, vamos verificar!"
77,2020-01-31,"Oi next meu amigo @krlsamuel não consegue acessar a conta desde que trocou de celular, ajudaaaaaaaaáaaa helpppppppppp"
78,2020-01-31,"Oie! Peço desculpas pelo transtorno! Chama na DM e informe com mais detalhes o que está acontecendo, por favor."
79,2020-01-31,@falanext por que me decepciona tanto?
80,2020-01-31,Chegou meu cartão @falanext 
81,2020-01-31,"@falanext ajuda eu aqui a liberar a minha conta logo pra eu usar meu cartão pfvr nunca te pedi nada, só queria sextar"
82,2020-01-31,Respondi o seu outro comentário.
83,2020-01-31,"Oie! Peço desculpas pelo transtorno no atendimento, estamos trabalhando em melhorias. Em que podemos ajudar?"
84,2020-01-31,"Oi, peço desculpas pelo ocorrido. Já respondemos sua DM, me conta o que aconteceu por lá!"
85,2020-01-31,"Oie! Peço desculpas pelo transtorno no atendimento, estamos trabalhando em melhorias. Em que podemos ajudar?"
86,2020-01-31,"Deve ser porque eu recebo meu salário lá, aí o @falanext ficou tipo “amada?”"
87,2020-01-31,"Oi, Lucas! Peço desculpas pelo incômodo! Vamos verificar, chama na DM por favor."
