,date,text
0,2020-03-31,@falanext já tá rolando Apple Pay no débito?
1,2020-03-31,"Original eu tenho problema em acessar o app pelo celular, a única coisa negativa até agora. O next se liga que ele fala sobre ser livre de taxas por tempo limitado."
2,2020-03-31,"Solicitei o meu Neon... esse outros não conhecia, vou dar uma olhada. Valeu Rachel! :D"
3,2020-03-31,"@falanext extremamente decepcionada com o atendimento de vocês, nunca resolvem os problemas quando preciso."
4,2020-03-31,"pelo amor de deus @falanext faz esse 0800 funcionar, ja que voces nao respondem por DM, meu Deus."
5,2020-03-31,"Me manda o print de como está aparecendo pra vc pela DM, por favor?"
6,2020-03-31,"@falanext pelo amor meus queridos, vocês podem dar um sinal de vida ? eu só tô querendo iniciar o app em outro celular então MANDEM O CÓDIGO"
7,2020-03-31,"Olá! Como posso te ajudar? Se preferir, chama a gente pela DM, por favor."
8,2020-03-31,"Olá! Poxa! Por enquanto, o Mimo da Uber está disponível apenas para função crédito. Mas, temos muitos outros Mimos incríveis para função débito."
9,2020-03-31,ok!
10,2020-03-31,"Oi, boa noite! Acessa a opção ""perfil > Trocar plano"", em dias úteis das 8 às 17hrs, e verifica se há a opção de selecionar o cartão de crédito, pfv."
11,2020-03-31,Tem o Inter também... Começamos a testar uns novos também. To com original e neon e Mateus com o inter
12,2020-03-31,"Sempre usei o @nubank, já a alguns anos, nunca cogitei ir para outro banco online, até hoje... Então hora de experimentar @timeneon ou o @falanext, alguma sugestão guys de outro?"
13,2020-03-31,Gostaria muito de saber porque a @falanext não deixa eu comprar na peixe urbano sendo que é um dos site certificadas pela visa que eles dizem poder usar o Débito.
14,2020-03-31,25.1.1
15,2020-03-31,"Estamos sempre trabalhando em novidades e seu feedback é MUITO importante pra gente! Ainda não temos previsão para essa funcionalidade, mas pode ter certeza que vamos encaminhar como sugestão pra nossa equipe, combinado?"
16,2020-03-31,Podiam responder no chat pela besteira que fizeram na minha fatura !!!
17,2020-03-31,"Descaso de vcs com quem quer ter a conta ou ta com problema, é quando liberarem o saque interbancário ai sim, ninguém vai querer saber de conta digital que da dor de cabeça, eu estou tentando ser cliente pra investir, minha conta do Bradesco não me atraí, inclusive irei encerrar"
18,2020-03-31,Estamos trabalhando constantemente para aprimorar os nossos serviços. Posso te ajudar em algo?
19,2020-03-31,"Oi, Claudio. Qual é a versão do seu app?"
20,2020-03-31,"É a #OndaLaranja cada vez maior. O dia que o @Bancointer tiver cartão de ""crédito"" virtual pra eu usar nas minhas compras online mato a minha última conta ativa em outros bancos e fico só com vocês de vez. "
21,2020-03-31,Obrigado por me iludir disgraças @falanext 
22,2020-03-31,"Oi! Tudo bem? Chama a gente na DM, por favor!"
23,2020-03-31,"Para que possamos te ajudar, chama agente na DM, por favor."
24,2020-03-31,Oi Next. Pq eu não tenho mimos Uber e outras pessoas tem?
25,2020-03-31,"no começo o banco era bom, mas de um ano pra cá tem se tornado uma porcaria."
26,2020-03-31,"Oi, Thaís! Que bom que vc tá curtindo! Qualquer dúvida, conta com a gente!"
27,2020-03-31,Precisamos de detalhes para te ajudar.
28,2020-03-31,Olá! Como podemos te ajudar?
29,2020-03-31,"Olá, tudo bem? Peço desculpas pelo ocorrido, vamos te ajudar por DM!"
30,2020-03-31,"Pedimos desculpa pelo ocorrido, estamos trabalhando para otimizar estes serviços."
31,2020-03-31, #Contacomagente sempre
32,2020-03-31,"Ei, Samuel! Conta pra gente, você já solicitou a análise de crédito?"
33,2020-03-31,"Olá, tudo bem? Poxa, lamentamos por isso. Estamos focados em melhorias, mas como podemos te ajudar? Me chama por DM se preferir."
34,2020-03-31,"Minha fatura fechou hoje, e nela ainda consta uma compra que foi cancelada na semana passada, dia 27/03. Entrei em contato ontem pelo chat pra ter certeza de que isso não aconteceria e fui informada que provavelmente já estaria tudo certo no fechamento. E agora?"
35,2020-03-31,Existe alguma alternativa ao crédito do @nubank? Preciso urgente comprar um computador mas o roxinho não ajuda... Algum outro cartão de crédito se habilita? @Bancointer @BancoOriginal @falanext
36,2020-03-31,Respondi lá.
37,2020-03-31,"Aeee, pelo menos uma boa notícia hoje, o @Bancointer agora aceita débito automático pra Claro, só vou esperar a próxima conta cair e vou passar pro Inter ao invés do @falanext."
38,2020-03-31,Nem com isso vocês ajudam
39,2020-03-31,"Olá! Lamentamos pelo ocorrido, mas se precisar de ajuda, chame a gente por DM!"
40,2020-03-31,Melhor coisa que eu fiz nos últimos meses foi ter aberto uma conta no next. Obrigada @falanext pela segurança e praticidade com a minha vida financeira 
41,2020-03-31,pede a terceira via e coloca o SP no design do cartao. obg!
42,2020-03-31,Eu uso o Inter e gosto bastante apesar de não ter os mesmo benefícios que a next diz que tem
43,2020-03-31,Mandei
44,2020-03-31,Oi! Envia uma DM que vamos verificar o status da sua proposta.
45,2020-03-31,Ja sim!! Disseram que é 20 dias uteis pra chegar na agência Next e + 20 dias uteis pra chegar na minha agencia de volta!!! Ou seja.. vao ser quase 2 meses pra pegar um cheque de volta.
46,2020-03-31,"Vc já conversou com um especialista sobre o assunto? Se sim, me chama via DM por favor."
47,2020-03-31,"só queria deixar meu sincero descontentamento com o banco @falanext cheio de mentiras, difícil contato, quando respondem é com resposta genérica."
48,2020-03-31,Atendimento do @falanext é horrível.
49,2020-03-31,Ok!!
50,2020-03-31,"Precisamos entender melhor o que aconteceu. Envia uma DM pra gente, por favor?"
51,2020-03-31,@falanext to tentando abrir uma conta. Os 7 dias úteis já passaram é nada de retorno.
52,2020-03-31,Recebi sim.. depois de inúmeras reclamações e dor de cabeça! Agora a dor de cabeça é outra.. devolução de um cheque. 40 dias para uma devolução! Vcs tão de brincadeira né????
53,2020-03-31,Oie! Ficamos contentes em saber do seu interesse em voltar a ser cliente next. Mas por enquanto isso ainda não é possível. Estamos trabalhando para que em breve essa opção esteja disponível. Fica de olho! 
54,2020-03-31,"Cara, nem fala. E não to conseguindo transferir pqp"
55,2020-03-31,"Olá, tudo bem? Lamento pela experiência, o pagamento da fatura é em débito automático, vc só precisa deixar o valor disponível na conta. Estamos trabalhando em melhorias."
56,2020-03-31,"Estamos trabalhando em trabalhando em novidades para nossos produtos e serviços. Assim que tivermos alguma informação, fique ligado nas nossas redes sociais, pois avisaremos por aqui!"
57,2020-03-31,"Olá, tudo bem? Respondemos seu inbox, confere lá!"
58,2020-03-31,Sim! E continua dando banco inválido
59,2020-03-31,"Agradecemos o feedback, Daniel! Já estamos trabalhando em melhorias para nossas plataformas de atendimento e em breve teremos novidades. Precisando, ficamos à disposição!"
60,2020-03-31,"Olá, tudo bem? Vc está colocando o banco 237?"
61,2020-03-31,"Olá, tudo bem? Lamento pelo ocorrido, te respondemos na DM!"
62,2020-03-31,@falanext em testes internos do Apple Pay @timeneon entrou hoje Será que a porteira está abrindo? Tem cara de que a VISA tá assumindo custos pra voltar ao jogo. @WoopSicredi podia parecer lá de surpresa também 
63,2020-03-31,"Não consegui pelo atendimento. Tive que recorrer a outras formas pra agilizar e não perder o tempo. Com relação a Bia, a sugestão que fica é que se configure uma forma de a pessoa poder falar diretamente com o atendimento real..."
64,2020-03-31,"Olá, tudo bem? Iremos responder sua DM!"
65,2020-03-31,"Oi, tudo bem? A BIA fica disponível para tirar dúvidas gerais e direcionar os atendimentos necessários para os nossos especialistas. Você conseguiu resolver sua solicitação? Podemos te ajudar por aqui?"
66,2020-03-31,"Me chama pela DM do Twitter, como não temos acesso a sua conta, precisamos de mais detalhes."
67,2020-03-31,to tentando fazer transferencia do banco Bradesco pro next e fica dando banco invalido alguém me ajuda @falanext
68,2020-03-31,"Weider me chama via DM e me explica o motivo do encerramento por favor, vamos te ajudar."
69,2020-03-31,"Olá! Poxa, pedimos desculpas pela experiência ruim conosco! Você já recebeu seu cartão? Se não, para que possamos te ajudar, chama a gente no inbox, por favor?"
70,2020-03-31,"Oi, eu sou a Bia, a sua atendente virtual @falanext, se eu quisesse conversar com PC, usaria o Google, pombas! hahahaa Assistente virtual chata do caralho!"
71,2020-03-31,@falanext alguma previsão?
72,2020-03-31,@falanext oi
73,2020-03-31,Tô tentando falar com vocês pra tentar resolver meu problema a mais de uma semana mas esse atendimento lixo de vocês não colabora!* Vocês vão me atender e resolver meu problema ou não?
74,2020-03-31,Olá! Como podemos te ajudar?
75,2020-03-31,"@falanext Sinceramente, o atendimento de vocês é péssimo, não conseguem nem ao menos, resolver os problemas causados pelo próprio sistema"
76,2020-03-31,Olá! Respodemos sua DM.
77,2020-03-31,Olá! Como podemos te ajudar?
78,2020-03-31,Olá! Aqui nas redes sociais não temos acesso as informações da sua conta. O pagamento da fatura ocorre no dia do vencimento via débito automático em conta.
79,2020-03-31,"@falanext como queria reabrir minha conta, 2 anos que peço isso a vcs"
80,2020-03-31,"Chama a gente na DM, por gentileza."
81,2020-03-31,Olá! Estamos trabalhando nisso e em breve teremos novidades!
82,2020-03-31,Que audácia
83,2020-03-31,É necessário efetuar um novo cadastro da biometria em qualquer agência Bradesco para utilizar o next.
84,2020-03-31,Estou aguardando há 1h e nada.
85,2020-03-31,Olá! Pedimos desculpas por qualquer transtorno causado. Estamos trabalhando constantemente em melhorias. Podemos te ajudar com algum serviço ou informação?
86,2020-03-31,"@falanext next tem alguma previsão exata na minha solução? Se eu vou ter a conta aberta ou não? 9 dias úteis já e nada, eu precisava da resposta de sim ou não ou em quanto tempo eu poderei ter a resposta???? @falanext @falanext"
87,2020-03-31,Olá! Pedimos desculpas por qualquer transtorno causado. Vc conseguiu solicitar o encerramento a conta?
88,2020-03-31,Pedi segunda via do cartão no @Bancointer chegou em 5 dias!! Enquanto o @falanext ficou quase 3 meses pra me enviar. Nota-se a diferença de um banco pra um banco de verdade!
89,2020-03-31,"@falanext Boa noite, fala pra mim por que vocês pegaram dinheiro meu no débito pra cobrir uma conta no crédito sem autorização e nem era fechamento de fatura? E por que estão cobrando compras duplicadas? E alguma forma de ganhar grana extra encima dos clientes???"
90,2020-03-31,@falanext olha... o banco ruim... tudo péssimo! Até para cancelar a conta é burocrático.
91,2020-03-31,"To a semanas tentando solicitar , a atendente virtual não faz nda e nenhum especialista fala comigo :( estou a mais de 15 dias sem cartão"
92,2020-03-31,"Peço desculpas pelo tempo em espera, estamos à disposição."
93,2020-03-30,Olá! Lamentamos qualquer transtorno causado. Vc conseguiu solicitar a segunda via do seu cartão?
94,2020-03-30,@falanext pelo amor de Deus resolve meu problema n aguento mais
95,2020-03-30,"Olá! Prazo de 3 a 7 dias úteis para análise, vc terá um retorno no e-mail de cadastro."
96,2020-03-30,me ajuda a te ajudar @falanext @Bradesco
97,2020-03-30,É preciso em se pensar em algo para os clientes. Nem que seja na redução de juros nos atrasos da fatura. Estamos em calamidade pública.
98,2020-03-30,"Oie! Sinto muito pelo ocorrido. Respondi sua DM, verifica lá, pfv."
99,2020-03-30,"Oie! Sinto muito pela experiência. Se precisar de ajuda, me avise, pfv."
100,2020-03-30,"@falanext Por favor, deem mais detalhes. Eu tenho biometria cadastrada (posto que sou correntista do BRADESCO). Eu teria que cadastrar uma nova biometria? Por favor, onde posso conseguir mais detalhes sobre essa possibilidade. "
101,2020-03-30,"Oi, Thiago! Tenta excluir os dados e o cachê do app, depois excluir e reinstalar o app. Após isso, faça uma nova tentativa de login e me avisa, pfv."
102,2020-03-30,Já tentou pedir uma segunda via do cartão no @falanext ? É uma missão impossível ! #Sad
103,2020-03-30,@falanext quando teremos contactless no verdinho?
104,2020-03-30,Que bom que voltou. Por nada. Ficamos à disposição.
105,2020-03-30,"Oi, Angela. Não entendi. Me explica melhor, por favor?"
106,2020-03-30,"Oi, boa tarde! Sinto muito pela experiência. Me chama na DM, pfv, vou te ajudar por lá."
107,2020-03-30,A SUPERDIGITAL ROUBA CLIENTES
108,2020-03-30,@falanext o app esta fora do ar. Não consigo acessar
109,2020-03-30,Olha mesmo sendo demorado demais o atendimento de vocês consegui resolver meu problema
110,2020-03-30,"Oi, tudo bem? Lamentamos pelo transtorno! Como podemos te ajudar? Qual seria sua solicitação?"
111,2020-03-30,"Olá, Ana. Respondemos sua DM."
112,2020-03-30,"Olá, depois de quase 4 horas no chat, meu cartão foi cancelado."
113,2020-03-30,"Por enquanto, esse é a forma de pagamento."
114,2020-03-30,Respondemos seu ultimo tweet!
115,2020-03-30,Respondemos seu ultimo tweet.
116,2020-03-30,Olá! Respondemos seu ultimo tweet.
117,2020-03-30,Oi! Respondemos seu ultimo tweet.
118,2020-03-30,"Olá, tudo bem? Respondemos seu ultimo tweet."
119,2020-03-30,"Olá, está tudo bem com vc? Lamentamos pelo ocorrido, respondemos seu ultimo tweet."
120,2020-03-30,"Oi! Tudo bem? O Token é vinculado ao app e sincronizado com o sistema do banco, não temos a opção de associar ao SMS ou apps de comunicação que fiquem fora do aplicativo. Vc pode sacar sem ter que usar o token, porém, é necessário cadastrar a biometria em alguma agência Bradesco."
121,2020-03-30,Já voltou a funcionar. Obrigadinho!! 
122,2020-03-30,"Oi, boa tarde! Se precisar de ajuda, me avise, pfv."
123,2020-03-30,"Oi, tudo bem? Seu app está apresentando algum erro? Você já tentou limpar o cache de dados e reinstalar o app? Se sim, chama a gente na DM por favor."
124,2020-03-30,"Ei, Rodolfo! Para acessar o chat, você deverá rolar a página inicial até a opção ""Oi. Posso ajudar?"". Aparecerá uma lista de dúvidas frequentes e você deve escolher ou pesquisar o assunto referente ao seu contato. Ao abrir a resposta, você clica em ""Ainda tem dúvida? Abrir chat""!"
125,2020-03-30,@falanext descaso todo mês isso no meu chat 
126,2020-03-30, 
127,2020-03-30,@falanext se não me responde vai te que da uma mamada
128,2020-03-30,@falanext como a pessoa encerrara a conta e vem cobrança do Bradesco..
129,2020-03-30,"@falanext Na moral coloca alguém pra falar comigo não sendo a ""inteligência artificial"" pq tá foda de resolver minha situação POR FAVOR"
130,2020-03-30,"Já pensou em ter 2 ou mais cartões? Você pode ter também um cartão de crédito no @falanext e também no @Bancointer, eles também são bancos incríveis! – at Serra do Navio"
131,2020-03-30,"Oi, boa tarde! Por aqui não temos acesso às informações da conta devido sigilo bancário. Nesse caso, é necessário acessar a opção ""Ajuda"" que fica dentro do app e conversar com um gerente."
132,2020-03-30,Espero que dessa vez o cartão do @falanext venha né mores
133,2020-03-30,"@falanext Liberem a geração de token via whatsapp ou mesmo SMS, para a eventual possibilidade de a pessoa estar sem acesso ao aplicativo."
134,2020-03-30,"@falanext Lembrem, a velocidade da marcha é determinada pelo mais lento."
135,2020-03-30,"@falanext 2 - Permitir, através do site, uma ação que liberasse um token ""universal"", em caráter emergencial. ou 3 - Ter no caixa eletrônico a opção de enviar o token para o whatsapp da pessoa, ou mesmo via SMS. E pronto."
136,2020-03-30,"@falanext [+] Os senhores deveriam prever situações em que o correntista precisa efetuar um saque, MAS está sem acesso ao token. Daí. 1 - disponibilizar uma versão básica do aplicativo, que possa ser instalado em um phone a partir do android 4, p.ex."
137,2020-03-30,"@falanext [+] que sem o aplicativo, a única coisa que eu posso fazer no caixa é depósito; que não havia nada que pudesse ser feito. (Ou seja, te vira e compra um novo smartphone com android recente, ou sifú). Falei para o atendente e repito por aqui [+]"
138,2020-03-30,"@falanext [+] Necas. Aparece na tela do caixa a solicitação para que eu informe o token que aparece na tela do aplicativo, (o aplicativo que não posso instalar). Liguei novamente ao 0800. Dessa vez o atendente disse que é assim mesmo, [+]"
139,2020-03-30,"@falanext Disse-me a atendente que, [+] sem problemas, que eu poderia sacar nos caixas Bradesco usando minha senha. Ótimo! Beleza! Lépido, fagueiro e todo libélulo, mal amanhece, vou ao caixa. [+]"
