,date,text
0,2020-05-31,"Meu Deus, como o chat da @falanext é horroroso, to a meia hora pra alterar um endereço"
1,2020-05-31,também se ama?
2,2020-05-31,"Oie! O que aconteceu? Me explica na DM, por gentileza."
3,2020-05-31,Eu também! 
4,2020-05-31,"Olá! Sinto muito pela experiência, estamos trabalhando para otimizar nosso app."
5,2020-05-31,"Enquanto o Santander evita ao máximo que você seja fraudado, o next tenta faturar com isso kkkkk"
6,2020-05-31,"desculpa estagiário eu me revoltei KKKKK, já fui atendida e resolveram meu problema. "
7,2020-05-31,"Olá! Aqui nas redes sociais não temos acesso as informações da sua conta. Você tentou realizar a compra de maneira online? Me chama na DM, por gentileza. Vamos auxiliar vc."
8,2020-05-31,"No dia seguinte eu consegui, mas é como eu falei, estava no centro de uma cidade, precisava usar dinheiro em espécie, a minha sorte que me emprestaram pra poder voltar pra casa, pq não dava pra voltar com débito, espero que isso não ocorra mais."
9,2020-05-31,"Estamos trabalhando para que isso não ocorra. Você conseguiu acessar? Caso não, me chama na DM, por gentileza."
10,2020-05-31,"Olá! Respondi sua DM, dá uma olhadinha."
11,2020-05-31,"Sinto muito pelo ocorrido, estamos trabalhando para que isso não ocorra. Você conseguiu acessar o app?"
12,2020-05-31,"Olá! Nossas análises de crédito ocorrem de forma periódica. As análises, por serem realizadas de forma automática e sistêmica, não temos como interferir. Assim que houver algum aumento de limite, o app te avisa."
13,2020-05-31,"Oiê! Nossas análises de crédito ocorrem de forma periódica. As análises, por serem realizadas de forma automática e sistêmica, não temos como interferir. Mas pra que possamos te ajudar, chame a gente na DM, por favor."
14,2020-05-31,"Olá! Nossas análises de crédito ocorrem de forma periódica. As análises, por serem realizadas de forma automática e sistêmica, não temos como interferir.Mas nos chame na DM, por favor."
15,2020-05-31,@falanext preciso de ajuda com a minha conta. conseguem olhar minha DM? não consigo resolver pelo app.
16,2020-05-31,"Olá! Olha, em breve teremos novidades! Mas fica de olho nas nossas redes sociais, pois qualquer coisa, avisaremos por aqui."
17,2020-05-31,Olá! Como podemos te ajudar?
18,2020-05-31,"Oie! Envia um print da mensagem que apresenta via DM, por gentileza."
19,2020-05-31,@falanext vcs tem a função de mudar a senha do cartão?
20,2020-05-31,@falanext me ajuda aqui também... Tratei do assunto na dm
21,2020-05-31,alo meusa migos do @falanext e esse sistema fora do ar pra transferência ha 3 dias.... previsão?!
22,2020-05-31,"Poxa, pedimos desculpas pela experiência ruim conosco! Para que possamos te ajudar, envia um print da conversa, por favor."
23,2020-05-31,Alguém tem @falanext ?
24,2020-05-31,tem gente que tem coragem!!! kkkk
25,2020-05-31,O @falanext poderia ter um contato onde eu pudesse falar com um atendente pra resolver minhas questões. Esses robôs não conseguem ao menos compreender o que preciso 
26,2020-05-31,Nem me fale
27,2020-05-31,"Olá, primeiro gostaria de falar que não consigo entrar no App faz dias, e segundo que tá na hora de liberar mais codiguim pra gente "
28,2020-05-31,"Olá! Pedimos desculpas pela experiência ruim conosco. Para que possamos te ajudar, nos chame na DM, por favor."
29,2020-05-31,"Já chamei já, kirida. :)"
30,2020-05-31,Desde quando é preciso de seguro para me proteger de compras indevidas? Vou cancelar essa merda de conta só por tentar enganar pessoas sem conhecimento.
31,2020-05-31,"Bom dia @falanext Esse SMS realmente é de vocês? É um número com DDD do Pará. Me cheirou a golpe, pois sequer conta com vocês eu tenho, poderiam verificar? Obrigada! "
32,2020-05-31,Estamos sempre trabalhando para melhorar nossos canais de relacionamento. Pedimos mais uma vez desculpas pelo transtorno causado.
33,2020-05-31,"Possivelmente foi uma indisponibilidade momentânea, que já está corrigida. Verifica se o acesso foi normalizado, por favor."
34,2020-05-31,"Oie! Muito obrigada pela sugestão, em breve teremos novidades. Acompanha nossas redes sociais e as atualizações do app. "
35,2020-05-31,É com atitudes assim que eu cancelo a minha conta!
36,2020-05-31,"Oi! Novamente nos desculpe pelo inconveniente. Te respondi no outro tweet, olha lá, por favor."
37,2020-05-31,"Aprendam com a rainha do costumer service @lizziebang e MELHOREM, BIXAS (next e Bradesco)"
38,2020-05-31,"Olá! Nos desculpe pelo ocorrido. Me chama na DM pra eu te ajudar, por favor?"
39,2020-05-31,Sim! Ter que repetir mil vezes a mesma mensagem porque primeiro pass@por uns 2 bots depois uns 3 “especialistas” sou trouxa pq pago antes e abri o app só pq queria ver se o pagamento tinha caído na conta e fui impedida
40,2020-05-31,"@falanext vamos melhorar esse suporte!!!!! Atendimento ao cliente é coisa séria e não dá pra responder com ""um momento"". Fode toda a experiência, vamo humanizar isso aí!!!!! "
41,2020-05-31,"é foda ainda mais com uma situação assim mas se é uma ~pessoa te atendendo agora ela deve estar cruzando um monte de dados e as vezes as bases são lentas ): Mas assim esse suporte deveria NO MINIMO falar algo mais do que apenas ""um momento"" Melhora esse suporte @falanext"
42,2020-05-31,"nada vida, te amo"
