,date,text
0,2019-10-31,Sdv
1,2019-10-31,Que descaso amigo! Um absurdo!
2,2019-10-31, 
3,2019-10-31,"@falanext como uma boa pagadora das faturas vcs vão me dar o ingresso do Lolla como mimo, eu nunca pedi nada"
4,2019-10-31,"Oie! Do CDI e não há como falarmos uma rentabilidade específica, pois depende do valor aplicado e do prazo. Vc pode entrar em contato com nossa equipe de especialistas no telefone: 0800 275 6398 e selecionar a opção 4 para tirar todas as dúvidas! =)"
5,2019-10-31,"sim, porém menus redundantes continuam aparecendo para cada cartão desativado no app"
6,2019-10-31,"Olá! Os outros cartões já foram desativados, correto?"
7,2019-10-31,Cadê o Apple Pay?
8,2019-10-31,"Oie! Poxa, por qual motivo vc não consegue acessar? Você esqueceu a senha de login ou trocou de celular?"
9,2019-10-31,Ok
10,2019-10-31,Respondi sua DM.
11,2019-10-31,@falanext pq ninguem atende la no chat? To com um problema la e ninguem atende para resolver.
12,2019-10-31,Obrigado meus queridos. 
13,2019-10-31,"Tem como vocês @falanext me informar que quantia devo aplicar no mínimo pra que tenha uma rentabilidade a partir de 100% do CDI, pois quando seleciono a opção ""saiba mais"" aparece essa imagem, desde a última terça-feira. "
14,2019-10-31,@falanext Não tem como remover esses cartões antigos do app? Rolar até o o final só para achar o único cartão válido da lista não é legal 
15,2019-10-31,"Olá! Peço desculpas por qualquer inconveniente, te respondi na DM, olha lá por favor."
16,2019-10-31,Conte sempre com a gente e seja bem-vindo ao next! 
17,2019-10-31,Louco pra usar minha conta mas o @falanext não colabora. Mais de 3 meses esperando meu cartão chegar 
18,2019-10-31,aguardo resposta do atendimento péssimo de vocês
19,2019-10-31,Respondido
20,2019-10-31,"A uns 2, 3 meses"
21,2019-10-31,"Olá! Novamente nos desculpe pelo inconveniente. Te respondi na DM, olha lá, por favor."
22,2019-10-31,Olá! O que aconteceu? Como posso ajudar?
23,2019-10-31,"Olá! Quando vc fez o envio da proposta, por favor?"
24,2019-10-31,"Oie! Posso ajudar? Caso prefira, me chama na DM, por gentileza."
25,2019-10-31,"Olá! Nos desculpe por isso, estamos focados em melhorias. Posso te ajudar? O que houve?"
26,2019-10-31,"Olá! Nos desculpe por isso. Me chama na DM pra eu te ajudar, por favor."
27,2019-10-31,o atendimento do @falanext é pessimo. Não recomendo
28,2019-10-31,"Oi! Te respondi na DM, olha lá."
29,2019-10-31,Vi isso aqui agora. 
30,2019-10-31,Que glória!! Um dia depois que pago minha última fatura kkkkk depois vem mais! Se prepara Next @falanext
31,2019-10-31,"lamentável pra um caralho, vou ter que pagar tarifa de banco pra banco pra poder pagar a merda da fatura, bloquearam meu cartão por tentativa de fraude (???) e ningúem consegue me ajudar."
32,2019-10-31,"Pois é mano, fui atendido por um bot também. Lamentável."
33,2019-10-31,"lê, eu tive DOIS atendimentos encerrados sem ninguém resolver o meu problema. banco digital e amigável é o ca&¨%!@, atendimento 0."
34,2019-10-31,"@darkcmiIa Oie! Poxa, o aumento do limite ainda não está disponível. Estamos respondendo via menção, pois por DM é necessário que vc esteja nos seguindo."
35,2019-10-31,"Também tenho @falanext e achei super limitada/confusa a parte de faturas, queria recebê-las por e-mail mas não consegui. Tenho evitado gastar nele :("
36,2019-10-31,"O limite de crédito é liberado mediante análise, não temos como interferir. Mas vc pode garantir o desconto no ingresso com a função débito."
37,2019-10-31,"eu acabei de receber ""vc não consegue ver a fatura porque está com bloqueio preventivo de fraude recentemente, o cartão foi bloqueado por tentativa de fraude"". E O ATENDENTE TERMINOU O ATENDIMENTO?????"
38,2019-10-31,"Oie! Respondi sua DM, dá uma olhadinha."
39,2019-10-31,"essa porra só permite débito automático e se passar da data de vencimento, eles bloqueiam praticamente o app pq não dá pra ver nada sobre a fatura"
40,2019-10-31,Fiz uma pesquisa gigante pra escolher um banco novo e o @falanext apareceu no topo. Pena que quem me indicou não teve problemas porque: - aplicativo não funciona - atendimento não funciona - o cúmulo do ridículo não darem a opção de boleto pra pagamento de fatura.
41,2019-10-31,"a minha não tá abrindo, o app tá horrível. queria pagar via boleto e não dá, não consigo ver o total da minha fatura e não consigo consultar nada disso via aplicativo."
