,date,text
0,2020-04-30,Oi. Hehehehe
1,2020-04-30,"Que feriado? Tô de férias e em quarentena, no meio de uma pandemia... Só vou comprar mantimentos e me esconder do coronga! Mas agradeço! "
2,2020-04-30,@nubank pq eu n consigo aumentar a merda do meu limite ???
3,2020-04-30,"Recebi um e-mail hoje do @nubank falando que estão tomando várias atitudes para ajudar seus clientes, o que é mentira atrasei 3 dias minha fatura do mês passado cobraram um juros absurdo na fatura desse mês."
4,2020-04-30,"Pra comemorar, poderia aumentar meu limite e deixar eu comprar o novo iPhone SE, né minha filha?"
5,2020-04-30,"A coisa mais séria que eu falei nessa rede; EU VOU AO SHOW DO TRAVIS SCOTT NEM QUE EU TERMINE MEU RELACIONAMENTO ou morra! Se eu não morrer, meu @nubank vai exceder o limite, mas eu vou ver o La Flame. Por hora, #FiquemEmCasa "
6,2020-04-30,Eu tenho é gosto muito
7,2020-04-30,"O orgulho roxo é nosso, JC! Obrigado por estar com a gente nessa revolução!"
8,2020-04-30,"Opa! São servidores diferentes, então podem ter um tempo de envio diferente. Mas chama no telefone pra verificar se já foi enviado e não esquece de dar uma olhada na caixa de Spam também, ok? PS: Feliz aniversário!"
9,2020-04-30,Boto fé!
10,2020-04-30, 
11,2020-04-30,Qual o melhor banco digital: @Bancointer ou @nubank ?
12,2020-04-30,"A gente sempre quer que você tenha um dia lindo! Especialmente no seu a(u)niversário! Parabéns, Pequena!"
13,2020-04-30,"Sim. Perfeita! Rápida, sem custo, útil, bem aceita... enfim. Muito boa mesmo."
14,2020-04-30, 
15,2020-04-30,"Bem que podia msm, concordo rsrs"
16,2020-04-30,"Aí em seguida, no ""top 3 dos boletos"" junto com a prestação: o condomínio e o @nubank."
17,2020-04-30,Kkkkkkk ué?
18,2020-04-30,Hahahahhaha
19,2020-04-30,Melhor banco.... Sem dúvidas... Rendimento diário.. Legal ver seu dinheirinho aumentando todo dia..
20,2020-04-30,Vc perguntou se alguém tinha conta Nubank. Eu disse que tenho PJ Pesso Jurídica e PF pessoa física. 
21,2020-04-30,É no ame amiga porém uso logado no meu cartão
22,2020-04-30,O medo do juros é barra! 
23,2020-04-30,Mais poder com seu roxinho e um novo limite! #TheFutureIsPurple
24,2020-04-30,"Eu prefiro assim sem expirar o logi... caso precise de algum nível a mais de segurança, coloca bloqueio por senha pra entrar no App."
25,2020-04-30,Parabéns canino foi foda e fofo @nubank
26,2020-04-30,Eu tenho
27,2020-04-30,"Nossa, mas quer dizer que você iludiu a gente então?"
28,2020-04-30,Mês passado
29,2020-04-30,"A gente quer ajudar você a conseguir seus lanches e poder cada vez mais com seu roxinho! Estamos sempre estudando e melhorando os modelos de análise para serem mais amplos, justos e seguros. Você pode entender mais nessa matéria do blog aqui: https://blog.nubank.com.br/limite-cartao-nubank/"
30,2020-04-30,Twitte de apreciação pela atenção e carinho do @nubank comigo. O respeito de vocês nesse momento é tudo pra mim.
31,2020-04-30,"A gente recusa ou aprova o pagamento no momento da compra, miga! Se o processamento tá pendente isso depende do próprio estabelecimento, tá bom? Só aguardar mesmo. "
32,2020-04-30,"EU VOU MONTAR UM PODIUM, mas já adianto que o aluguel tá na frente"
33,2020-04-30,Acho que milhões de alguens. Kkkk
34,2020-04-30,Meu @nubank !
35,2020-04-30,Agora tenho certeza que posso contar com vcs 
36,2020-04-30,"Vai ter troféu pro primeiro lugar, Samzinha? "
37,2020-04-30,"o next, meu teste de paciência diário"
38,2020-04-30,E o bom que é merecidissimo......já outros..... .
39,2020-04-30,o @nubank
40,2020-04-30,"Não temos como influenciar na análise de aumento de limite por aqui, Duda. Já pediu no app? Esse pedido só pode ser feito lá. Explicamos melhor como funciona a análise aqui: https://blog.nubank.com.br/limite-cartao-nubank/."
41,2020-04-30,"@nubank aumentou o limite do meu cartão, se um dia critiquei num lembro"
42,2020-04-30,@nubank
43,2020-04-30,"Vem cá experimentar o roxinho! Todo o cadastro é gratuito, a análise acontece na hora e não tem nenhuma taxa escondida! Assim você pode saber direitinho e entender se quer ficar (e a gente torce pra que fique!)"
44,2020-04-30,Tenho desde 2016 Luy. É uma boa conta.
45,2020-04-30,O @nubank pq amo os mimos 
46,2020-04-30,@nubank aumenta meu limite aí na moralzinha
47,2020-04-30,Filipe Athan está te convidando para conhecer a Cornershop e te deu um delivery grátis para seu primeiro pedido. Aceita este convite. https://cornershopapp.com/pt-br/r/4j1p1slm2
48,2020-04-30,"sim! mega rápido, serviço ótimo tb! vou te mandar um link pra baixar, acho que vc ganha 3 entregas grátis"
49,2020-04-30,
50,2020-04-30,Ola @nubank vocês também tem tantos problemas com o cartão/app quanto o amigo verde?
51,2020-04-30,"não, amigo, me conta mais, é um app de comprar tb?"
52,2020-04-30,"A gente quer você alcançando mais fps com o seu roxinho, Richinho! Estamos sempre estudando e melhorando os modelos de análise para serem mais amplos, justos e seguros. Você pode entender mais nessa matéria do blog aqui: https://blog.nubank.com.br/limite-cartao-nubank/"
53,2020-04-30,"olha, parece, né? mas não, era uma compra de supermercado de 130 reais..."
54,2020-04-30,"São 9 anos e eu também não sei lidar até hoje, @nubank "
55,2020-04-30,@nubank meninas tão acompanhando as métricas da galera pagando vcs tudo primeiro né
56,2020-04-30,migo usa o cornershop que não tem erro. já usou?
57,2020-04-30,Aí você acorda no futuro e um pão custa 2 bilhões de reais ou 3 dólares
58,2020-04-30,Eu! Porém utilizo somente cartão de crédito!
59,2020-04-30,"Claro, Elisani! Chama a gente em um dos nossos canais de atendimento 24 horas que nosso time vai te ajudar com todo prazer: http://nubank.com.br/contato."
60,2020-04-30,"Amado, vai comprar uma ilha particular pra demorar esse tanto? "
61,2020-04-30,Eu e super recomendo!
62,2020-04-30,"Passo a passo, sem cessar! Cada dia um pouquinho mais! (e pra entender a mecânica do rendimento da conta do Nubank dá uma olhada aqui: https://blog.nubank.com.br/rendimento-conta-nubank-melhor-poupanca/)"
63,2020-04-30,"Que lindo ler isso! Conte sempre com a gente, viu?! "
64,2020-04-30, 
65,2020-04-30,"Sim! Depois de realizar o parcelamento, você pode entrar em contato conosco e solicitar a antecipação do parcelamento com desconto nos juros. Um ponto importante, é que essa antecipação pode ser feita até 3 dias úteis antes do fechamento da fatura, ou um dia após, ok?"
66,2020-04-30,Aluguel e o @nubank
67,2020-04-30,Grande dia Luy 
68,2020-04-30, 
69,2020-04-30,"MAIS DE UMA HORA NO TELEFONE COM UM ATENDENTE DO @nubank PRA ELE ME PASSAR SÓ O CÓDIGO DE AUTORIZAÇÃO DA COMPRA!!! QUE ABSURDO, MEU DEUS!"
70,2020-04-30,"Entra em contato com o nosso time pelo chat do seu app, ou no nosso telefone: 0800 608 6236. Nós iremos verificar seu caso e te auxiliar por lá, ok?"
71,2020-04-30,@nubank quero mais limite pra comprar uma placa de video
72,2020-04-30,To pensando em trocar de banco Ir para o @nubank será que vou ter todas as vantagens que tenho lá ? Dúvida cruel 
73,2020-04-30,Faça e não vai se arrepender.. é o melhor cartão do universo 
74,2020-04-30,Tenho e amo 
75,2020-04-30,Hi
76,2020-04-30,"Baixa o app e já cadastra lá mulher, a @nubank vai te resgatar da fila do banco rapidinho."
77,2020-04-30,só queria que o @nubank aumentasse o meu limite !
78,2020-04-30,Iam msm ta kkkkk
79,2020-04-30,"@nubank meu cartão iria chegar hoje, entretanto essa informação está incorreta, pois os correios não vieram até minha residência e nem passaram por perto. Me ajuda! "
80,2020-04-30,"Deus me livre, essa é a maior qualidade do nubank. Não ter que ficar fazendo login toda vez que entrar"
81,2020-04-30,"@nubank vi um e-mail de vocês sobre parcelamento com juros menores... se eu pegar o parcelamendo depois eu consigo ADIANTAR ele? supondo que eu parcele em 12 vezes, consigo depois adiantar e eliminar juros?"
82,2020-04-30,"Bem no tempo pro feriado, né?? Aproveita bastante! "
83,2020-04-30,Kkkkkk tenso. E meu nome é wisley augusto dos santos mas uso wisley augusto
84,2020-04-30,"Pelas nossas contas, sobraria um pouquinho para deixar rendendo na conta do Nubank! "
85,2020-04-30,Eu mo
86,2020-04-30,"Fomos dar uma olhadinha nas fotos do Google, e que delícia?? Esperamos que consiga ir mesmo um dia, viu? E não esquece do seu roxinho na hora. "
87,2020-04-30,Não mais que eu! 
88,2020-04-30,Meta de vida
89,2020-04-30,"Qual presente vai dar para a sua mãe, Ale? A gente queria muito poder te ajudar por aqui, mas não conseguimos influenciar na análise do sistema, o pedido é feito somente pelo app mesmo, ok? Pedindo por lá, a resposta sai na hora. ;)"
90,2020-04-30,Caracas mano. Primeiro vez que vejo outro wisley
91,2020-04-30,"Eu uso a conta a 1 ano, inclusive com portabilidade da conta salário. Só elogios. Fiz um poupança na caixa so para saque. Caso seu cartão nao seja o novo, sugiro que troque, ou nao conseguirá fazer saques no caixa 24hs... Fiquei bem..."
92,2020-04-30,"A primeira conta que pago é o @nubank porque tenho comprado tudo pelo cartão - delivery, feira, comida, remédio... "
93,2020-04-30,Não tem um aplicativo que eu possa está solicitando o cartao de crédito?
94,2020-04-30,@nubank aumenta meu limite pf só quero comprar um presentinho pra minha mãe
95,2020-04-30,Eu iria para Baia Formosa RN..
96,2020-04-30,Kkkkkkk foda. pede pra falar com o supervisor
97,2020-04-30,Tenho e recomendo! 
98,2020-04-30,O meu até hoje nada
99,2020-04-30,"Obrigada pela resposta, vou tentar entrar em contato por lá"
100,2020-04-30,tô no telefone com a pessoa que não sabe explicar
101,2020-04-30,Grande dia 
102,2020-04-30,@nubank sua linda!!! 
103,2020-04-30,Já tentou pelo chat? Talvez seja mais rápido
104,2020-04-30,Deus tá de prova que to tentando guardar dinheiro mas o @nubank não quer me ajudar 
105,2020-04-30,"I felt that, hope everything go well, I'll send you good vibes and a taco "
106,2020-04-30,"já trabalhei no Nubank, sei como é"
107,2020-04-30,"Eu tenho, muitos anos já"
108,2020-04-30,"Imagens de paz em meio ao caos, obrigada pelos mimos @nathfinancas. E obrigada @nubank, por continuar sendo o melhor de todos. "
109,2020-04-30,"q juros, que aconteceu to por fora."
110,2020-04-30,"Oi, Lu! Você já tentou entrar em contato conosco pelo chat do seu app, ou no nosso telefone: 0800 608 6236. A resposta por lá é mais rápida, e nosso time poderá te auxiliar melhor."
111,2020-04-30,Obrigado! Se um amigo indicar fica mais fácil pra eu conseguir?
112,2020-04-30,"Eu tenho e é a melhor conta da vida, eu amooo! Sou rendida pelo @nubank só benéficos more "
113,2020-04-30,Eu
114,2020-04-30,"Trabalho com telemarketig de banco. Provavelmente eles estão em com o atendimento reduzido devido a crise do corona, então deve demorar mesmo. Quanto a recusa da compra provavelmente um bloqueio de segurança."
115,2020-04-30,"Você pode pedir um pelo nosso site, pelo app ou por indicação de um amigo que já tenha nosso roxinho! Nesse post explicamos mais sobre como fazer o pedido:"
116,2020-04-30,"Really sucks. And it's not the first time it happens too. It's a good bank but this is really bugging me, I just want a response"
117,2020-04-30,"Acho que é muita burocracia pra ter um aumento , deveria apenas levar em consideração o histórico pagamentos em dia etc.."
118,2020-04-30,Vais te assustar com o dindin rendendo. 
119,2020-04-30,@santander_br fica me jogando de atendente em atendente pra não resolver o problema. Tem muito o que aprender com @nubank. Sofrendo faz quase uma hora com isso (detalhe: agora o SAC tbm não atende)
120,2020-04-30,"A parte boa é que a sua conta rende todos os dias, Ana! E você consegue acompanhar tudo direto pelo app. "
121,2020-04-30,":( I'm sorry to hear that, Lu"
122,2020-04-30,Alô @nubank muito obrigado por aumentar o meu limite. Agora pra comemorar vou pedir um sushi 
123,2020-04-30,- 30 min no app do James do @gpabr fazendo meu mercado; - 50 min falando com o shopper do James pra substituir os produtos que não tinham lá; - msg de pedido CANCELADO pq a emissora do cartão @nubank negou a compra (mesmo com limite) - 40 min no tel e ninguém do Nubank me ajuda!
124,2020-04-30,Eu 
125,2020-04-30,Topíssimo a @nubank cobrando ma minha fatura uma compra que foi cancela e depois não responderem meus emails. Daqui a pouco chega a data de vencimento e eu não vou poder pagar
126,2020-04-30,Kkkkkkk
127,2020-04-30,KKK não faça perguntas difíceis kk
128,2020-04-30,Boa noite! @nubank como faço pra ter um cartão de crédito?
129,2020-04-30,Ainda não mas pretendo
130,2020-04-30,"Sabe o @nubank é maior ingrato, to com o cartão desde 2016, pago direitinho e só vejo os outros ganhando mimos e aumentando limites e eu nada "
131,2020-04-30,"Oie. O aumento pode ser feito apenas pelo app, a partir de uma análise interna. Caso queira saber mais sobre nossa análise, dê uma olhadinha aqui:"
132,2020-04-30,"Opa, que coisa boa! Já dá pra aproveitar no feriado. ;)"
133,2020-04-30,"Acho que eu ia comprar um bolo. E um pastel, e guaraná. "
134,2020-04-30,Você tem que solicitar no app. Chega rapidinho
135,2020-04-30,"Tenho, tanto a conta como o crédito e posso dizer que são serviços incríveis e tem o melhor suporte"
136,2020-04-30,"obgd @nubank por me deixar menos pobre com 0,01 cents de rendimento HAUSHAHSHAUA"
137,2020-04-30,Centavos mesmo kkk
138,2020-04-30,Simmmmm e é maravilhoso!! Recomendo para todo mundo! 
139,2020-04-30,Besta
140,2020-04-30,"Alô @nubank como o @itau não conseguiu me ajudar da melhor forma, aguardo o aumento de limite para fazer a transição "
141,2020-04-30,"você nunca me decepcionou mesmo @nubank, um dinheiro nunca caiu tão rápido na minha conta como hoje "
142,2020-04-30,todo mundo que é maneiro tem conta na @nubank 
143,2020-04-30,aaaaah eu amo um banco muito obrigado 
144,2020-04-30,Queria ter dinheiro na conta kkkkk
145,2020-04-30,eitaaa
146,2020-04-30,"Nosso sistema faz análises periódicas para entender o perfil de cada cliente e aumentar ou não o limite. Caso não queira utilizar o novo limite, é só ajustar a barra do limite no app ou nos chamar pelo chat para fazermos o ajuste para você, tá bom? "
147,2020-04-30,"Reserva de emergência, renda fixa e variável."
148,2020-04-30,Limite bonito neh @nubank
149,2020-04-30,já entrei no chaaaaat
150,2020-04-30,"Investiria, para melhorar minha qualidade de vida."
151,2020-04-30,"Em breve iremos responder sua mensagem por lá. Caso precise de ajuda rápida, entre em contato conosco através dos canais de atendimento:"
152,2020-04-30,Não estamos sabendo lidar com a fofura da Yuli!
153,2020-04-30,Parabéns @nubank
154,2020-04-30,@nubank nubank me responda na dm pelo amor de deus
155,2020-04-30,"Sim, é muito boa e rende mais q a poupança comum. Confia"
156,2020-04-30,eu: preciso parar de gastar nos meus cartões de crédito nubank: . . . . . porém obrigado @nubank 
157,2020-04-30,"Você pode sacar na rede 24 horas, mas paga 6,50 por saque."
158,2020-04-30,"ontem fui tentar realizar algumas coisas na minha conta da @nubank e minha conta estava bloqueada, achei estranho e entrei no email e verifiquei que eles tinham bloqueado por movimentações estranhas. movimentações essas de 1300 reais que eu não fiz e nem autorizei."
159,2020-04-30,Ce ta doido .... iriam lavar a égua com seu cartão ..
160,2020-04-30,"Olha que a gente concorda, viu?"
161,2020-04-30,Nunca nem vi! Mal mal um adesivinho para não dizer que não ganhei nada . 
162,2020-04-30,Conhecimento é o melhor investimento que você pode fazer! 
163,2020-04-30,"Não precisa agradecer, Ariel! Conte com a gente! "
164,2020-04-30,vc recebeu td? cmg foi igual.. metade do dinheiro sumiu.. eu fiz como pagamento de boleto e consta lá como se eu tivesse pago 2.. e eu só paguei 1... o restante do dinheiro sumiu.
165,2020-04-30,Kkkkk essas resenhas de cada atualização são show kkkk 
166,2020-04-30,A @nubank é simplesmente maravilhosaaaaaa
167,2020-04-30,Quanto fica com a correção da inflação?
