,date,text
0,2019-12-31,"Esses dias eu achei um cartão na rua do @nubank de uma menina, mandei mensagem pra eles bloquearem, agora queria saber o que aconteceu"
1,2019-12-31,"Como a #MegaDaVirada flopou, agora é aguardar o WOW do @nubank"
2,2019-12-31,"Poh @nubank 6 meses usando a conta, pagando 15 dias adiantado, enviei comprovação de renda E nem 50 pila de aumento de limite"
3,2019-12-31,Gostei da intimidade kkkkkkk aumenta meu limite.
4,2019-12-31,"Resumo dos pedidos com maior número de ocorrência em 2019: 1- Números da Mega-Sena 2 - Crush para chamar de meu 3 - SamsungPay ou GooglePay no @nubank 4 - Corpo mais próximo com os padrões irreais que a sociedade impõe 5 - ""Me ajude nesta prova! Prometo estudar pra próxima"""
5,2019-12-31,@nubank Feliz Ano Novo a todos !!!!
6,2019-12-31,Usa @nubank que paga nada e ganha mais 
7,2019-12-31, 
8,2019-12-31,"Eu defendo a livre associação do indivíduo com quem ele desejar, sejam empresas, instituições de caridade ou ONGs. Claro até aqui?"
9,2019-12-31,@nubank podia manda aquele kit maneiro pra mim em !!!! O porta cartão!!!!! Hammmmmmm
10,2019-12-31,Eu vou ficar em casa mesmo grazadeus começar 2020 com saldo
11,2019-12-31,"Já imaginou, Giulia? "
12,2019-12-31,@nubank poderia enviar aquele kit maneiro de guardar o cartão pra mim hein!!! Duvidoooooo em
13,2019-12-31,E a gente fica como?????????????
14,2019-12-31,E eu que abri minha conta no @nubank e ontem quando ativou eu fiz boletos para transferir todo o dinheiro das outras contas que eu tinha para lá. eu disse TODO kkkkkkkkkk mas tudo tem um lado bom né porque pelo menos eu não vou gastar
15,2019-12-31,que iemanjá me abençoe depois das 7 ondas que eu vou pular à meia noite pq eu to precisando e muito
16,2019-12-31,"Ah, que bom que vc gostou, bb! Essa foi uma maneira diferente que encontramos de nos aproximarmos mais às pessoas. Ah, e é apenas um convite, viu? Se quiser, será super bem-vinda!"
17,2019-12-31,"Passada, nem sabia que existia isso Que sacanagem Mas fui fazer uma transferência agora e só vai entrar dia 2 Será que não contaram hj como dia útil tbm?"
18,2019-12-31,"Acho que é meme, porque oh coisa difícil rsrs"
19,2019-12-31,Único jeito de comer panetone
20,2019-12-31,Só queria ganhar a promoção do @nubank porque aí todos os meus problemas estavam resolvidos
21,2019-12-31,"Via boleto leva até três dias úteis, bb. Assim que for compensado, cai direto na sua NuConta! "
22,2019-12-31,Ontem depositei um dinheiro na @nubank através do boleto e ainda não caiu na conta 
23,2019-12-31,Os meus sempre caem no dia seguinte
24,2019-12-31,"Opa! Dá uma olhada no rastreio em seu app, Wesley. Qualquer coisa, chame nosso time no chat por lá!"
25,2019-12-31,
26,2019-12-31,"Estamos na torcida, Edu! "
27,2019-12-31,"Aconteceu alguma coisa, Ananda? :("
28,2019-12-31,"Sempre, chuchu. "
29,2019-12-31,
30,2019-12-31,Paraaaa! 
31,2019-12-31,"Aconteceu @nubank, te expliquei melhor na dm"
32,2019-12-31,"Não entendi oq vc quis dizer com necessidade de agressão. Abuso de autoridade é crime, qd um policial mata um bandido há processo pra averiguar se houve abuso e ele poder se defender."
33,2019-12-31,"Pelo menos vc argumentou, parabéns. Mas sua comparação de Estado com empresa tá errada. Empresas tem proprietário e seguem os inderesses desses. Estado, numa República Democrática, segue os interesses do povo e promove sua Cidadania."
