,date,text
0,2020-02-29,"Nubank, o último dia de envio do informe era ontem. Pedi ajuda do meajuda@nubank.com.br, porém só me pedem para aguardar. Quando vocês vão disponibilizar os informes?"
1,2020-02-29,"@nubank que decepção, espera mais!!!!!!!!!!"
2,2020-02-29,"Oi, Jordan! Que pena que seu roxinho sumiu! Por segurança pode ser uma boa ideia bloquear pelo app. Chama na DM pra gente te ajudar com a reemissão! Ah! O atendimento aqui na rede social pode demorar conforme a demanda, se for mais urgente chama no chat do app ou telefone!"
3,2020-02-29,"Ué amg, Nubank não me deu nada :("
4,2020-02-29,A burra que paga o boleto do @nubank duas vezes 
5,2020-02-29,"A gente sabe da importância de um abraço, principalmente quando alguém tem alguma coisa pra resolver! Fica firme que a bad vai e o novo sempre vem!"
6,2020-02-29,Ta bom então
7,2020-02-29,pq amigo?
8,2020-02-29,
9,2020-02-29,Chama na DM que a gente pode clarear mais como funciona o processo de análise e dar algumas dicas que podem ajudar na próxima tentativa! Você também pode dar uma olhada nesse post do blog: https://blog.nubank.com.br/limite-cartao-nubank/
10,2020-02-29,@nubank roxim
11,2020-02-29,uso Nubank desde 2015 e ganhei 3 adesivo e olhe la
12,2020-02-29,so vale pra compras pequenas (< 50 ou 60 por aí dependendo do banco) se acontecer uma compra indevida vc consegue o estorno (nao sei qual o trabalho envolvido)
13,2020-02-29,Imagem de amor e prazer @nubank 
14,2020-02-29,"Parece que temos uma perturbação no contínuo do espaço-tempo! Chama a gente na DM pra gente resolver isso! Ah, por falar em tempo, aqui na rede social pode demorar conforme a demanda. Então pode chamar no chat ou telefone para apressar essa conversa!"
15,2020-02-29,eu já desisti de ganhar qualquer coisa do nubank
16,2020-02-29,"Era bloquear que eu não queria, mas se é o único jeito..."
17,2020-02-29,"Maravilha, muito bom saber, que esse novo meio bancário de se relacionar, não para de nos surpreender!"
18,2020-02-29,Preventivamente a melhor coisa é bloquear temporariamente seu cartão pelo app! A opção que você está procurando aparece clicando na compra que você não reconhece e embaixo a opção 'Reportar' e aí nosso time entra em ação! Chama no telefone se precisar de mais orientações!
19,2020-02-29,Deu não
20,2020-02-29,Aff que merda mano
21,2020-02-29,"Olha só que chique: é só pedir pelo app a qualquer momento! Ao abrir seu app, é só procurar o atalho 'Ajuste de limite', na parte inferior da tela inicial. Selecione o botão 'Pedir novo limite máximo' aí é só pedir! O resultado você já vê na hora! Estamos torcendo!"
22,2020-02-29,Assistindo várias compras que eu não fiz entrando no meu cartão do @nubank e não encontrando a opção NÃO COMPREI ISTO...
23,2020-02-29,"E pra terminar de me lascar a @nubank não refaz o meu parcelamento que está altíssimo! Parcela a fatura atual - Nubank, pra quem não tem emprego e faz das tripas coração p poder honrar c esse pagamento parcelar UMA fatura não vai me ajudar em nada."
24,2020-02-29,"Como não amar o @nubank Em meia hora descobri que meu cartão foi clonado -&gt; mensagem de bloqueio do meu cartão -&gt; no chat, Maria &lt;3 Eduarda começou estorno das compras -&gt; confirmou endereço e já pediu outro cartão. Graças a Deus foi só susto! Diferente de outros bancos... vcs"
25,2020-02-29,"Quem resiste a uns lanches, né? A gente entende! Enquanto estiver refletindo dá uma olhada nessa e outras matérias no blog que podem ajudar a sobrar cada vez mais pra manter a barriga cheia sem perder o controle! https://blog.nubank.com.br/planejamento-financeiro-pessoal/"
26,2020-02-29,eu também quero mimo nu
27,2020-02-29,"Pode cancelar ou aprender a usar. É só entrar no app e bloquear a função. Pensando bem, talvez você não seja o perfil do negócio deles."
28,2020-02-29,"A gente tá sempre de olho em oportunidades pra surpreender, Diogo! Fica pertinho!"
29,2020-02-29,"A gente pode te ajudar com isso e, se for mais seguro, reemitimos seu cartão para garantir sua segurança! Chama a gente na DM para podermos acessar seu perfil interno aqui pelo Twitter ou chama no telefone. Aqui na rede social pode demorar um pouquinho dependendo da demanda, ok?"
30,2020-02-29,E eu só querendo receber mimos do @nubank
31,2020-02-29,A gente valoriza a escolha individual e a segurança. Pressionando no seu nome na tela principal e em 'Configurar cartão' em seguida é possível desabilitar as compras por aproximação! Pra saber mais sobre essa modalidade e a segurança envolvida vê aqui:
32,2020-02-29,Tô com um Itaucard agora por conta das milhas. Não tem comparação a qualidade do serviço do Nubank. As vezes no Itaucard demoram 5 dias para liberar o limite do cartão após pagamento da fatura.
33,2020-02-29,o cartão ou a esse tipo de operação?
34,2020-02-29,"Oi, Junior! Você chegou a receber nosso email com o resultado da análise? Chama na DM que podemos te contar mais sobre o contexto de como funciona o processo ou dá uma olhada aqui: https://blog.nubank.com.br/nubank-negou-meu-pedido-de-cartao/"
35,2020-02-29,"Acho que sim, mas não tentei. Acho prático hehe"
36,2020-02-29,@nubank te aguardo pra podermos resolver essa situação!
37,2020-02-29,"Quando abri a notificação, não apareceu nada, tentei procurar um menu pra ver se conseguia ver os detalhes e não achei. Bloqueei meu cartão pra não ocorrer outra possível fraude mas até agora não tive uma resposta da @nubank. +"
38,2020-02-29,Eu não conseguindo fazer o cartão manterei várias vezes
39,2020-02-29,Meusonho
40,2020-02-29,"ontem a tarde chegou uma notificação da @nubank sobre uma compra negada no valor de 60 reias, que no caso eu não tinha feito. Abri desesperadamente a notificação (só li que era uma compra negada + o valor da compra, não dei atenção no local) +"
41,2020-02-29,"Depende, até 50 reais, salvo engano"
42,2020-02-29,cade a @nubank pra aumentar meu limite essas horas?
43,2020-02-29,"A gente quer fornecer crédito de forma ampla e segura e estamos sempre aprimorando os modelos de análise! Enquanto isso a parte boa é ir se organizando, pensando bem nos gastos que vale a pena assumir e começar uma organização financeira! https://blog.nubank.com.br/como-criar-bons-habitos-financeiros/ Estamos juntos!"
44,2020-02-29,@nubank oi! Uma transferência pode ser cancelada?
45,2020-02-29,Alô @nubank cadê meus mimos???? 
46,2020-02-29,"@nubank, nem todo mundo entende inglês, ok? Aqui é Brasil, portanto, a obrigação é apenas entender a língua materna. Minha mãe foi ao terminal 24h e teve q me ligar p/eu ir ajudar. Do contrário, ñ conseguiria sacar. Com uma taxa absurda de R$7, o mínimo é ser acessível a TODOS."
47,2020-02-29,
48,2020-02-29,"e eu que dormi de 1h até 12h, acordei, almocei e percebi que perdi meu @nubank. voltei a dormir de 16h as 19h"
49,2020-02-29,alô @nubank tem como fazer isso? configurar aproximação pra cobrar no débito e não no crédito? não vi nada no app.
50,2020-02-29,mood
51,2020-02-29,"Cartão @nubank . . . LIBERA UM PRA ELE pfrvr nunca te pedi nada, não aguento mais dividir KKKKKKKK "
52,2020-02-29,"É bom pra comprinha pequena, depois de 59 ele pede a senha. Só não sei se vc consegue passar várias compras pequenas ou se ele tem um limite também de valor por dia"
53,2020-02-29,Tentaram clonar meu cartão virtual @nubank mas o hacker não esperava q eu ja tivesse endividado... 
54,2020-02-29,Po o meu Itaú pede senha. Entendo a coisa do limite e até vi que da pra desabilitar a função mas preferia ter a opção de manter aproximação pedindo senha
55,2020-02-29,Porra eu queria também
56,2020-02-29,"o do banco do brasil faz isso também, mas so pra compras abaixo de 50 reais. da pra desativar isso!"
57,2020-02-29,"Não sou fã disso também, mas acima de 50 pede senha"
58,2020-02-29,Entendi!
59,2020-02-29,boa! mas que coisa estranha gente pq ele pede senha quando eu enfio o cartão mas não quando aproximo?
60,2020-02-29,@nubank como faço pra ganhar umas películas adesiva?
61,2020-02-29,o meu Itaú aceita aproximação mas pede senha o que parece mais razoável
