,date,text
0,2020-01-31,"Cala sua boca, sua rata. Tu me dá um limite de R$50,00 e ainda fica com graça na internet. Anda, dê seus pulos, mas quero aumento de limite pra ontem."
1,2020-01-31,
2,2020-01-31,"@nubank da um alô aí, não tô conseguindo entrar no app"
3,2020-01-31,"Conheço. Fiquei desempregada e n consegui pagar o cartão de crédito, qnd me estabilizei pedi pra fazer um acordo e tava pagando td certo até q um dia tive um gasto emergencial e pedi mais limite pra continuar pagando e eles cancelaram meu acordo e oq já tinha pago n serviu de nd"
4,2020-01-31,
5,2020-01-31,7.2021 por um mês pra estudar
6,2020-01-31,
7,2020-01-31,"@nubank, comenta"
8,2020-01-31,
9,2020-01-31,@nubank bem q vc podia aumentar meu limite né.. já cansei de pedir pra aumentar e vo6 não liberarem 
10,2020-01-31,
11,2020-01-31,
12,2020-01-31,
13,2020-01-31,
14,2020-01-31,É sério isso !!?? @nubank vocês realmente acham certo pegar os dados de alguém (que não tem relação nenhuma com vocês) e enviar correspondências pra essa pessoa !!??
15,2020-01-31,Nubank aumenta meu limite pelo amor de Deus
16,2020-01-31,
17,2020-01-31,Parabéns Carla esse mês da pra pagar! Kkkkkl
18,2020-01-31, 
19,2020-01-31,"Pois então @Russsaum o @nubank é parceiro e não faria Oq o @C6Bank está fazendo comigo já Uma fucking semana ,"
20,2020-01-31,
21,2020-01-31,Demorou mais acabou kkkk
22,2020-01-31,
23,2020-01-31,
24,2020-01-31,Obg Nubank pelo mimo!
25,2020-01-31,"Sem meme, sem finanças..."
26,2020-01-31,Perfeito.
27,2020-01-31,KKKKKKKKKK
28,2020-01-31,
29,2020-01-31,
30,2020-01-31,"Nenhum, com o limite que vcs me deram eu não compro nem uma calça. "
31,2020-01-31,"Como explicar os lanchinhos de 10 reais que dão mil reais no fim do mês? Não aguento mais, @nubank ! "
32,2020-01-31,e vamos de ficar ricas
33,2020-01-31,
34,2020-01-31,To pensando acho que vou cancelar o meu @nubank no meu próximo mês e vou pro @C6Bank
35,2020-01-31,
36,2020-01-31,@nubank me mandou uma carta tão fofa q quase fiz um cartão de crédito
37,2020-01-31,
38,2020-01-31,A cara dele é a minha kkk
39,2020-01-31,Olha eu comecei com 700 reais e ela sempre aumenta o meu!
40,2020-01-31,
41,2020-01-31,
42,2020-01-31,
43,2020-01-31,
44,2020-01-31,Kkkkkkkk
45,2020-01-31,"Oi, @nubank! Meu aplicativo deslogou no telefone sem que eu soubesse disso, e agora não consigo logar com a senha e nem trocá-la porque não recebo um e-mail de troca no meu Gmail. Alguém pode me ajudar? Obrigado!"
46,2020-01-31,
47,2020-01-31,
48,2020-01-31,Kkkkkkkkk
49,2020-01-31,
50,2020-01-31,Errado n tá
51,2020-01-31,
52,2020-01-31,
53,2020-01-31,
54,2020-01-31,.@nubank pq vc me odeia tanto???? Eu só queria um cartão mano
55,2020-01-31,Programadores e seus dinheiros...
56,2020-01-31,Eu não me importaria de ganhar o sorteio da @nubank amanhã.
57,2020-01-31,"Eu não ganho nem na purrinha, mas se fosse o caso, ia querer meu intercâmbio de presente #REINVENTEESSAPROMO"
58,2020-01-31,
59,2020-01-31,Aí nu só quem tá devendo sabe
60,2020-01-31,Credo
61,2020-01-31,A @nubank esperando meu pagamento 
62,2020-01-31,
63,2020-01-31,stonks
64,2020-01-31,
65,2020-01-31,Aí tu vai dar uma segunda chance pro @trigg_br e pede outro cartão. Aí depois de te cobrarem os R$25 da emissão tem na fatura também a cobrança de DUAS FUCKING ANUIDADES. Se não bastasse não respondem no chat tb. Tem q correr mto p alcançar o @nubank
66,2020-01-31,
67,2020-01-31,@nubank não estou recebendo o e-mail com boleto que estou pedindo pelo aplicativo
68,2020-01-31,
69,2020-01-31,Minha finanças vão ser igual Dark souls 
70,2020-01-31,
71,2020-01-31,
72,2020-01-31,"O @nubank tá aqui me cobrando que comece a utilizar a conta que eu criei, conta esta que eu não consegui terminar de criar e o app não rodava"
73,2020-01-31,Dinheiro que você não pode provar a origem
74,2020-01-31,
75,2020-01-31,
76,2020-01-31,
77,2020-01-31,"Tô a mais de uma hora tentando fazer pedido de um cartão de débito pelo nubank e detalhe não consigo nem entrar no meu aplicativo, o email está correto mas ficam pedindo um código na qual não me mandam, e aí nubank ???? @nubank porque o motivo da palhaçada comigo ?"
78,2020-01-31,"fala, Zezé! bom dia, cara!"
79,2020-01-31,
80,2020-01-31,O dia que não sair valor nenhum porque o banco quebrou vc vai sentir falta de solidez. Ou vc confia seu dinheiro num banco que fecha 300 milhões de reais negativos no ano?
81,2020-01-31,
82,2020-01-31,
83,2020-01-31,"@nubank libera aí, ela também pode querer comprar presentes pro afilhado dela, vulgo meu filho hehehe"
84,2020-01-31,
85,2020-01-31,Só queria ganhar o sorteio do @nubank amanhã 
86,2020-01-31,no credito ou no debito? @nubank
87,2020-01-31,
88,2020-01-31,"É só fazer transferência para outro banco, Bradesco, Banestes ou outro qualquer que você tiver."
89,2020-01-31,
90,2020-01-31,
91,2020-01-31,
92,2020-01-31,
93,2020-01-31,
94,2020-01-31,@nubank HELP ME!! Não consigo acessar minha conta no App.
95,2020-01-31,
96,2020-01-31,
97,2020-01-31,
98,2020-01-31,Realmente... muita falta de noção e muita coragem pra pagar o valor que tá
99,2020-01-31,Kkkkkkkkkkkkk
100,2020-01-31,
101,2020-01-31,"@nubank Olá boa noite, gostaria de saber o pq o email não chega na minha caixa de entrada....? "
102,2020-01-31,
103,2020-01-31,
104,2020-01-31,
105,2020-01-31,HAHAHAHA REALMENTE
106,2020-01-31,O e seria dinheiro ilícito?
107,2020-01-31,
108,2020-01-31,Sim.....
109,2020-01-31, 
110,2020-01-31,Uau! Arrasou. Amei! Quando vai?
111,2020-01-31,@otimistaoficial
112,2020-01-31,
