,date,text
0,2020-03-31,"Tem três dias tentando ativar minha conta pj e não consigo, já deixei recado e ninguém atende."
1,2020-03-31,"Tenho não, eu preciso liberar 5 reais na minha fatura atual pra conseguir fazer a compra, mas aí vou ter que esperar amanhã pra pagar e esperar mais ainda pra o pagamento cair :("
2,2020-03-31,"Oi, Vini! Você tem esse valor na sua conta do Nubank? Se você fizer um pagamento antecipado por ela, o valor entra na hora e recompõe seu limite pra fazer essa compra! Se precisar, chama nosso time no chat pra te ajudar!"
3,2020-03-31,"Ah, ficamos felizes que o roxinho seja importante nesse momento, Janderlei. Quanto ao limite, é só pedir pelo nosso app que a resposta sai na hora, tá bem? Vamos ficar na torcida para que consiga um aumento o quanto antes!"
4,2020-03-31,"Nossos times de desenvolvimento estão trabalhando em aperfeiçoar e criar diversos serviços e produtos e, quanto tivermos novidades, avisaremos!"
5,2020-03-31,"Olá, tudo bem? Aah, a gente super entende tudo que está acontecendo e queremos te ajudar com isso. Chama a gente no chat do app para entendermos melhor o seu caso?"
6,2020-03-31,e a @nubank que pos minha fatura desse mes pro mes seguinte S2 amo um cartao S2 (mas paguei logo pq ne .. n vamos deixar acumular .. deu pra pagar nos paga)
7,2020-03-31,Não estou recebendo esses avisos.. onde configuro? 
8,2020-03-31,@nubank me dá mais 5 REAIS de limite pra eu conseguir comprar meu celular novo por favor
9,2020-03-31,"Oi, Amanda! Toda compra e operação é notificada pelo app e também por email. Ainda não contamos com um serviço de notificação por sms, mas vamos encaminhar essa ideia como sugestão para nosso time de desenvolvimento, ok?"
10,2020-03-31,@nubank vamos adiar o pagamento das faturas?
11,2020-03-31,"Estamos juntos criando conexões para melhores e efetivas soluções, Lucas! A luta contra a complexidade para empoderar as pessoas continua!"
12,2020-03-31,"@nubank Oiii, como faço pra receber alerta por sms de confirmação a toda compra que efetuar??"
13,2020-03-31,aceito pfv
14,2020-03-31,"Vou falar que nessa trajetória, teve uma grande ajuda de vcs. Meu muito obrigado!"
15,2020-03-31,"Oi, Vit! Consegue bloquear seu cartão pelo cadeado no app? Por lá você pode chamar o time especializado no chat e já daremos todo o suporte com isso. Se estiver sem acesso ao app, chama no 0800 591 2117."
16,2020-03-31,pague o menino fdp 
17,2020-03-31,@nubank verifica compatibilidade com o apple wallet eu te imploro
18,2020-03-31,"Original eu tenho problema em acessar o app pelo celular, a única coisa negativa até agora. O next se liga que ele fala sobre ser livre de taxas por tempo limitado."
19,2020-03-31,Nossa felicidade é ver você com total controle da sua vida financeira!
20,2020-03-31,"Solicitei o meu Neon... esse outros não conhecia, vou dar uma olhada. Valeu Rachel! :D"
21,2020-03-31,AI O NUBANK ESTORNOU O VALOR MEU DEUS EU NUNCA MAIS VOU TER DEPRESSAO OBRIGADA @NUBANK 
22,2020-03-31,So eu sei o que tô passando com o Dino e tive que apelar E apareceu esses anjos do @nubank Uma banco mais humano que esse nunca vai existir 
23,2020-03-31,"@nubank QUERO A RESPOSTA SE VCS ESTORNARAM UMA COMPRA QUE NÃO FIZ NA @GOOGLEPLAY, ELE AUTOMATICAMENTE DEBITOU UMA COMPRA SEM EU AUTORIZAR."
24,2020-03-31,Por isso que @nubank é mil vezes melhor
25,2020-03-31,Esse mês o @nubank vai ficar feliz pq vou pagar a fatura inteirinha
26,2020-03-31,Além desse desserviço todo minha mãe ainda perdeu meu cartão do @nubank 
27,2020-03-31,Alguém aí sabe quais bancos prorrogaram o prazo da fatura? @BancodoBrasil @timeneon @CetelemAtende @nubank @SICOOB_oficial @BancoCentralBR
28,2020-03-31,"Poxa, crush! A gente só queria avisar pra você se programar, mesmo!"
29,2020-03-31,"Vamos te ajudar nessa! Bloqueie seu cartão pelo app, é só usar o botão em formato de cadeado que fica na parte de baixo do app. Depois disso chame a gente pelos canais de atendimento para seguirmos com os próximos passos"
30,2020-03-31,"@nubank Eu já tenho meu cartão de débito , agora eu pedi a função crédito tem como enquanto o cartão de crédito não chega usar o de débito na função crédito ?"
31,2020-03-31,@nubank nubank aumentou o limite da minha mãe mas o meu nada ate hj
32,2020-03-31,"Eu estou tentando por chat e email, nenhuma resposta humana obtive, veio aquela automática de que tá todo mundo em casa home Office"
33,2020-03-31,O @nubank na moral desbloqueia meu cartao ai
34,2020-03-31,Eu já pedi o cancelamento dessa porcaria e ninguém me responde. Só fica mudando de assunto
35,2020-03-31,@nubank vai esperar a merda acontecer pra responder minha dm?
36,2020-03-31,vou chamar
37,2020-03-31,"Claro que serve, abestada. Tem uns seguros automáticos pras coisas que você compra com o cartão de crédito. Entra no site da Mastercard pra ver."
38,2020-03-31,Só pq agora eu sei sua senha 
39,2020-03-31,Ajudando nada. Estão cortando limite de crédito já aprovados de vários clientes.
40,2020-03-31,"@nubank estou por curiosidade acompanhado no app. Tinha limite de crédito aprovado. Foi pra 1/3, hoje eu fui verificar não tem mais limite aprovado. Parabéns! Não tinha intenção de usar. Mas campanha falando q está “ajudando” é lindo mas na prática não está bem assim pra muitos."
41,2020-03-31,um porre viu. até parei de usar o meu
42,2020-03-31,"Aliás, nessa quarentena usei bastante o @nubank já pode aumentar o meu limite, seus lindos! &lt;3"
43,2020-03-31,O @nubank fechou minha fatura... eu: 
44,2020-03-31, 
45,2020-03-31,@nubank me ajuda!!!!!!!!!!!!!!??????
46,2020-03-31,Rola de me dar um limite de cheque especial e atualizar meu nome pro de solteira? O @nubank atualizou meu nome sem precisar nem mandar documento.
47,2020-03-31,"Por enquanto não temos novidades sobre esse recurso, mas não se preocupe. Caso algo mude, a gente vai avisar. "
48,2020-03-31,"Sempre enviamos a resposta da análise por e-mail, caso não tenha recebido é só chamar a gente por um dos canais de atendimento, João! "
