,date,text
0,2020-05-31,De qualquer forma eu guardei todos os emails e mensagens nas redes sociais que eu mandei pra eles. Já tive q pagar a mensalidade de março sendo q nem pisei na academia nesse mês e ainda paguei a taxa de anuidade q no meu caso é debitada em março tbm
1,2020-05-31,"Eu vi uma relacionada a smart fit mas a minha é academia de bairro, só quero ver no q vai dar isso. Assim que eles abrirem eu vou lá cancelar"
2,2020-05-31,"Oi, @nathfinancas. Aconteceu o mesmo aqui. Várias vezes. Só que não aparece na fatura e eu tenho cobranças que pago mensalmente. O que fazer?"
3,2020-05-31,Se for @nubank já é rotina clonarem
4,2020-05-31,@nubank aumenta meu limite e eu falo o que eu acho de você
5,2020-05-31,@francescogds !!!!
6,2020-05-31,No meu caos foi um móvel na casas bahia Por isso sempre deixo o limite baixo e/ou o cartão bloqueado. Passaram uma compra de 20 centavos antes pra testar. E foi o cartão virtual
7,2020-05-31,"Alô @nubank se liguem nesse sistema de segurança de vocês. Meu cartão e o da minha mãe já foram clonados, e o da minha irmã já foi clonado 3x."
8,2020-05-31,Usar o cartão virtual para para compras na Internet e o físico para compras físicas.
9,2020-05-31,Dica pro @ArthurLuerce
10,2020-05-31,Já fiz.
11,2020-05-31,"Que louco! Domingo passado, eu entrei no meio email e tb havia uma compra em um estabelecimento com moeda em dólar. A @nubank bloqueou de cara. Liguei imediatamente, 18h de domingo, para cancelar o cartão e fui muito bem atendida, inclusive o rapaz sugeriu usar cartão virtual."
12,2020-05-31,como
13,2020-05-31,"O pedido de aumento só pode ser feito lá no aplicativo, Alan. Explicamos como a análise funciona aqui: https://blog.nubank.com.br/limite-cartao-nubank/. Vamos ficar torcendo!"
14,2020-05-31,Não temos nenhuma previsão no momento. Qualquer novidade vamos avisar todo mundo!
15,2020-05-31,"Ja aconteceu isso meu nubank tbm, tentaram fazer uma compra da netflix, a sorte foi q eu tinha colocado um limite mais baixo"
16,2020-05-31,Não falhe com a Nath dona Nubank.
17,2020-05-31,Meu marido também foi clonado ontem! Nubank também!
