,date,text
0,2019-11-30,amo vocês! 
1,2019-11-30,Hmmm ok. Vou dar uma olhada
2,2019-11-30,"@C6Bank porquê eu não consigo fazer transferência pro @nubank? Vocês não gostam do nubank, é isto?"
3,2019-11-30,a @nubank não quer dar 50% de desconto no meu boleto aff nubank tóxica
4,2019-11-30,@nubank 
5,2019-11-30,"Eu já tive dois cartões de outra operadora que foram clonados, e até hoje esse trauma me persegue. Confesso que meu cartão é bloqueado por vida! Só desbloqueio na hora de usar e depois volto a bloquear. "
6,2019-11-30,"Eu não posso ainda fazer cartão de crédito na Nubank, poxaa @nubank pq me decepcionastes?"
7,2019-11-30,Fui adiantar umas parcelas do meu @nubank e ganhei um desconto. Amo?????
8,2019-11-30,@nubank eu to a seis meses usando o meu cartão dentro do limite e mesmo assim não consigo pedir um aumento o que é que eu preciso fazer
9,2019-11-30,@nubank já viram aquele novo filme: Esqueceram de Mim no Chat do App? 
10,2019-11-30,"@nubank você nasceu propondo se diferenciar, cresceu e ficou chato como os outros. Recebo várias ligações procurando Mércia, peço para tirar o número do cadastro e vocês não conseguem! Seguem me chateando!!! Parem por favor! Não sejam mais do mesmo!"
11,2019-11-30,ok mas cade o home broker
12,2019-11-30,@nubank ae mano me ajuda aqui não consigo focar meu rg na foto pro app tá saindo td borrado
13,2019-11-30,vou continuar usando do mesmo jeito
14,2019-11-30,Eles sabem que você é sem limites
15,2019-11-30,"A melhor combinação de hoje em dia se chama @nubank e @picpay, ganha cashback de 1% do Nubank e 5% no picpay pagando uns aos outros hahaha"
16,2019-11-30,nao pode c OIUSAHEOUASHEOIUSHEOIUSAHEOIUSAHEOIUASHEIUASHEOUSAHEIOUSAHEIOUSAHEIUOASHIOEUHASE
17,2019-11-30,"MEU DEUS!! tudo isso, jurava q era uns 3 e poucos "
18,2019-11-30,"@nubank Oi Amanda me tira uma dúvida, cadastrei meu cartão no Uber, pedi uma viagem porém o motorista cancelou a viagem, aí quando eu entro no app do Nubank, o valor da viagem cancelada tá sendo cobrado na minha fatura, oq eu tenho que fazer?"
19,2019-11-30,Pois é! E ainda tem gente que curte porta giratória e taxas. 
20,2019-11-30,"Eu com o meus 0,10 de limite disponível"
21,2019-11-30,"Opa! Vc chegou a solicitar um roxinho com a função débito ou ativá-la pelo app? Se sim, tá pronto pro uso! Ah, na dúvida, manda uma msg pro nosso time via chat em seu app! A gente checa pra vc na hora. ;)"
22,2019-11-30,@nubank bem que podia da uma ajudinha. Liberar a opção empréstimo aí. 
23,2019-11-30,Chegamos. E a hora de revolucionar sua vida financeira é agora. 
24,2019-11-30,Nesse link vc consegue verificar todas as informações acerca do saque com a função Débito e com a função crédito:
25,2019-11-30,"Oi Amanda me tira uma dúvida, cadastrei meu cartão no Uber, pedi uma viagem porém o motorista cancelou a viagem, aí quando eu entro no app do Nubank, o valor da viagem cancelada tá sendo cobrado na minha fatura, oq eu tenho que fazer?"
26,2019-11-30,Conta pra gente o que aconteceu?
27,2019-11-30,"Em cada saque é cobrando um valor de R$6,50, independente do valor ou da quantidade de saques. Fazemos esta cobrança por que somos 100% digitais e utilizamos a estrutura de uma rede externa para viabilizar saques para nossos clientes."
28,2019-11-30,AAAAAA que bom que deu tudo certo! Estaremos aqui sempre que precisar! 
29,2019-11-30,dps que fiz o @nubank nunca mais esquentei a cabeça passando 3h dentro de banco
30,2019-11-30,To boladão com o @nubank
31,2019-11-30,cortei todos os meus cartões de crédito e deixei só o @nubank porque to cansada de passar perrengue
32,2019-11-30,"Por aqui ou em outro canal, não temos como influenciar nessa análise. Mas vc sabia que com a NuConta (https://bit.ly/2kxtJ40), vc pode pagar a fatura do seu roxinho e ter o limite liberado na hora? "
33,2019-11-30,"só queria falar que o atendimento do @nubank é IMPECÁVEL, liguei hoje às seis e pouca da manhã pra bloquear o cartão pq me assaltaram e me atenderam muito bem"
34,2019-11-30,"Hey! Por aqui ou em outro canal, não temos como influenciar nessa análise. Vc pode entender melhor como funciona aqui: https://sou.nu/duvidas-limite-nubank. "
35,2019-11-30,"Por aqui ou em outro canal, não temos como influenciar nessa análise. Vc pode entender melhor como funciona aqui: https://sou.nu/duvidas-limite-nubank. "
36,2019-11-30,Ahhh meu deus. 
37,2019-11-30,"Hey! Por aqui ou em outro canal, não temos como influenciar nessa análise. Vc pode entender melhor como funciona aqui: https://sou.nu/duvidas-limite-nubank. "
38,2019-11-30,
39,2019-11-30,"Oie! O tempo de resposta por e-mail varia um pouquinho, Lelu, isso por conta da demanda. Se preferir, pode mandar DM por aqui que, dependendo da sua dúvida, podemos ajudar. "
40,2019-11-30,"Nosso time está a todo vapor para responder nossos contatos, Sheila! Assim que possível, continuaremos por lá, combinado? Se for urgente, o ideal é abrir um chat em seu app ou dar uma ligadinha pra gente! Pode ser? É que por lá o atendimento é em tempo real. <3"
41,2019-11-30,"Mano, te fode! ahahhahaah"
42,2019-11-30,"N fica assim, Bia. :( A promo é para todos, independente do modelo do roxinho, se crédito ou débito. Via Contactless ocorre a emissão de dois números, e é esse o diferencial, mas não elimina as suas chances. Logo mais seu roxinho novo chega pra vc, bb! Não desiste. "
43,2019-11-30,"@nubank to a 4 meses com o cartão de vcs, libera um limite maior ai pra nós"
44,2019-11-30,"Samy, queremos entender o que houve. Consegue chamar a gente na DM?"
45,2019-11-30,aumenta o meu limite nubank quero comprar um celular mas meu limite não permite o que eu quero.
46,2019-11-30,Que tal aproveitar minha indicação para conhecer o Nubank? Experimente uma vida financeira sem burocracias usando a NuConta Nubank.@nubank https://nubank.com.br/indicacao/nu/?id=EQiYOSXzjRIAAAFuvh3qig&amp;msg=9d56e&amp;utm_channel=social&amp;utm_medium=referral&amp;utm_source=mgm
47,2019-11-30,Do nosso coraçãozinho roxo para o seu! Num deserto sem água Numa noite sem lua Num país sem nome Ou numa terra nua Por maior que seja o desespero Nenhuma ausência é mais funda do que a tua. - Sophia De Mello Breyner Andresen
48,2019-11-30,"Sim, a gente só está te explicando que existem outras opções. Você não precisa ser grossa."
49,2019-11-30,"@nubank se eu sacar meu dinheiro da nuconta através do banco 24horas, quanto de taxa vou ter q pagar?"
50,2019-11-30,Melhor black friday @nubank 
51,2019-11-30,"Fecharam o atendimento sem resolver, ê maravilha"
52,2019-11-30,"Aconteceu alguma coisa com o seu roxinho? Não conseguimos trocar o cartão de todos os clientes agora. Se o seu cartão não expirou, não conseguimos enviar outro, ok? "
53,2019-11-30,"Ja tem quase um ano que não me liberam mais limite, msm seguindo todas as dicas "
54,2019-11-30,Se tu fosse o pontinho na multidão as empresas não teriam sido obrigadas por lei a aceitar o banco que o funcionário quer receber o seu salário.
55,2019-11-30,Não se preocupe. Bloqueia o cartão no aplicativo e entra em contato com a gente no chat do app ou pelo telefone. O número é o 4020-0185 (para capitais) ou o 0800 591 2117 (demais localidades).
56,2019-11-30,A Milena não entende hahahaha
57,2019-11-30,@nubank dm :)
58,2019-11-30,"Precisa ficar com medo não! Até porque se acontecer qualquer coisa com o seu roxinho, é só falar com a gente que emitimos uma nova via. Enviamos brindes quando identificamos situações legais pra surpreender os clientes. Quem sabe um dia não surpreendemos você? "
59,2019-11-30,Po @nubank vc criaram a promo WOW mas e mo injusto pra mim que n posso comprar com o método aproximação pois so tenho o cartao antigo /= Ai so ganho 1 numero da sorte sendo q o método de aproximação ganha 2 poxa /=
60,2019-11-30,"A gente não consegue influenciar a análise do sistema por aqui. Já tentou pedir pelo app? Se quiser umas dicas pra aumentar as chances de um limite maior, é só chegar na DM. "
61,2019-11-30,"E a @nubank que tá querendo me roubar 305,02 de um ~estorno~ de uma compra cancelada??? Não recomendo mais essa merda a ninguém."
62,2019-11-30,Sem limites
63,2019-11-30,Kero
64,2019-11-30,Já chegou estourado
65,2019-11-30,Atrasados da Black Friday substituindo os atrasados do Enem
66,2019-11-30,Exclusive todah
67,2019-11-30,Vc quer?
68,2019-11-30,Sem respostah sem mimohs Tristeh
69,2019-11-30,@nubank
70,2019-11-30,caralho maluco tentaram fazer uma compra com o meu cartão mas não conseguiram pq usaram o código de segurança errado o que eu faço @nubank
71,2019-11-30,"Ei @nubank , patrocina o Vascão?"
72,2019-11-30,Estou aguardando a resposta na DM.
73,2019-11-30,Só queria aquele porta cartão da @nubank de mimo. Morro de medo de perder ou quebrar o carta o.
74,2019-11-30,Black Saturday
75,2019-11-30,"Awn, que maravilhosa! Agora ela está pronta para revolucionar sua vida financeira! "
76,2019-11-30,"é teu primeiro cartao? eu começei com limite de 800 já e nem uso a conta pra salário ou poupança, só pra cartao mesmo."
77,2019-11-30,"Não sei o q a @Deeercy tá esperando pra vir pro @Nubank. Melhor banco, melhor cartão. "
78,2019-11-30,@nubank poderia me ajudar sobre o dilema do meu cartão? Já tem décadas que está com a transportadora e não entregam 
79,2019-11-30,Literalmente O ÚNICO PROBLEMA com o @nubank é que todas compras internacionais tu paga mais caro.
80,2019-11-30,"eu uso o warren, tive 1,50 de rendimento até agora, sendo q na nubank, tive 6$... minha única bad de deixar dinheiro na nubank, é q eu gasto. se fosse possível bloquear para usar depois de algum tempo, seria perfeito #fikdik @nubank"
81,2019-11-30,"Compras em dias diferentes em lojas diferentes. Várias compras em outras lojas utilizando máquinas de outras redes. Na mesma loja que o @nubank foi rejeitado pela @GetnetBrasil, bastou utilizar máquina de outra rede (Stone) que funcionou sem problemas."
82,2019-11-30,"Fintech denunciou uma curiosa prática de usuários com carteiras digitais famosas, como Mercado Pago, PicPay e outras https://is.gd/YCOPwH / #nubank #dinheiro #cartao / com @nubank"
83,2019-11-30,Suspeito que a @GetnetBrasil pode estar boicotando o @nubank. Segunda vez essa semana que tento realizar uma compra e a máquina rejeita o cartão. Nem por aproximação. O erro é de inserir o cartão. Não é comunicação ou autenticação. Basta inserir que aparece o erro.
84,2019-11-30,ontem recebi uma cartinha da @nubank fiquei tri animada achando que finalmente tinha chegado meu momento e iria ganhar mimos... abri e era basicamente um convite pra ser cliente (que já sou) essa humilhada não foi exaltada só dps vi que a carta não era pra mim kkkk 
85,2019-11-30,Checklist de 2019: Mandar o meu ex tomar no olho do cú: Fazer uma tatuagem de Zelda: It trabalhar na melhor fintech do universo @nubank: Adotar um gato: Furar o nariz: e Pintar o cabelo de rosa: Ficar viciada no meu Switch e comprar jogos: 
86,2019-11-30,Tu não trabalha com isso
87,2019-11-30,afronta
88,2019-11-30,Estou com o mesmo problema. A máquina da Getnet rejeita o cartão assim que inserido. Nem por aproximação funciona. Somente Getnet.
89,2019-11-30,"Meu cartão virtual do nubank foi clonado e usado pra uma compra chamada Sky, no valor de 320 de 10x. O @nubank resolveu bem rápido, atendimento com zero de dor de cabeça, muito bom"
90,2019-11-30,"Novo sistema financeiro q distribui iqualmente os crescentes ganhos d produtividade humana entre seus investidores Oposto do sistema atual q os concentra nos que tem poder sobre o sistema monetário/financeiro. ""Investimentos financeiros"" foram criados p roubar sua parte do futuro"
91,2019-11-30, 
92,2019-11-30,Desculpa
93,2019-11-30,"@nubank só presenteia quem tá indo fazer viajem pro exterior, rico..."
94,2019-11-30,Arrastei minha tia para a família do roxinho @nubank . Foi aprovada na hora . Agora é só alegria. #Obrigada_vocês_são_os_melhores.
95,2019-11-30,"Não pretendo depositar 1 centavo do meu pouco dinheirinho nos seus cofres depois da dor de cabeça que vocês me deram. Grato por quem acompanhar a thread até o fim! Saiam da dor de cabeça, @BancoOriginal, @nubank e outros bancos 100% digitais te atendem como os outros deveriam!"
96,2019-11-30,Gostaria de ter um cartão nubank mais nunca recebi retorno!
97,2019-11-30,"alo @nubank coloca opção de gerar mil cartões virtuais nessa porra vocês não inovaram em NADA depois de fundar a empresa, nem Google/Apple Pay tem ainda tomar no cu eu quero que se fodam esses sites que dificultam cancelar assinatura como @redetelecine quero só bloquear cartão"
98,2019-11-30,"TMJ, meu querido "
99,2019-11-30,Irei ligar 
100,2019-11-30,Kkkk... Até parece
101,2019-11-30,"Só não cancelei ainda, pq tem que ir numa agência pessoalmente.. Se fosse por Internet ou até mesmo 0800.. (cancelei o cartão assim) kkk"
102,2019-11-30,"Beleza é oficial, abri uma contestação através do @nubank contra o @iFood já que eles não me respondem e possuem o pior serviço de atendimento ao consumidor do Brasil. (O iFood não o NuBank pra deixar claro)"
103,2019-11-30,Obrigada novamente!!! HAHAAA a Milena não me escuta
104,2019-11-30,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
105,2019-11-30,Você é o poder nesse ensaio fotográfico lindo... e de roxo! Agora aproveita bastante seu roxinho e conta com a gente pra tudo! 
106,2019-11-30,vai tomar no cu eu sou contra burladores de sistema irmao so tava te testando
107,2019-11-30,Só queria que o @nubank funcionasse no Apple Pay
108,2019-11-30,"A gente não consegue influenciar a análise do sistema por aqui. Já tentou pedir pelo app? Se quiser umas dicas pra aumentar as chances de um limite maior, separamos um link ótimo pra você: https://sou.nu/duvidas-limite-nubank "
109,2019-11-30,Arrasando no empréstimo! 
110,2019-11-30,Isso aí! Na NuConta é zero esforço pra deixar rendendo. 
111,2019-11-30,"@nubank liberou de uma só vez 1200 pra mainha e eu tô há 3 meses com 50 reais de limites, bora ver né dona nu"
112,2019-11-30,"Fica assim não, a gente quer melhorar a vida financeira de todos os clientes, sempre. Não temos como influenciar a análise do sistema por aqui. Já tentou pelo app? Olha esse link, aqui tem dicas legais pra aumentar as chances de ter um limite maior: https://sou.nu/duvidas-limite-nubank"
113,2019-11-30,Fodase vai ter compra na black friday com outro cartão sim essa é pra vcs @nubank
114,2019-11-30,Meu! Que #ItMalia o atendimento pelo telefone do @nubank Sempre dando o maior suporte
115,2019-11-30,meu roxinho chegooou aaa @nubank
116,2019-11-30,"E pra piorar, já começaram a mandar cartão aleatoriamente pra pessoas, SEM PRECISAR DE CONVITE. Pessoas que não tem interesse aliás. Parabéns @nubank "
117,2019-11-30,"Pagando 2,99% de taxa pro PicPay faz com que não pague 14% de juros ao mês pro nubank ao jogar a fatura do cartão nela mesma pro mês seguinte"
118,2019-11-30,"Alguém aí ama o @nubank, mas ainda não conseguiu ser aprovado ou tá procurando alguma indicação?! Pois eu tenho 9 indicações pra fazer, se alguém tiver interesse é só deixar o email que eu vou enviar. Boa sorte! "
119,2019-11-30,conpra meu celular ent amga kugjhgdtdhjh
120,2019-11-30,nossa senhora kk
121,2019-11-30,"O que o @nubank me rende ao mês, o @santander_br me tira de taxa de serviço... e olha que nem utilizo tanto a conta..."
122,2019-11-30,Usar um cartão de crédito para pagar a fatura do cartão de crédito. Que ideia excelente @nubank
123,2019-11-30,Tomara kkkk
124,2019-11-30,800
125,2019-11-30,"Oie! Vamos responder por lá, mas se for muito urgente, vc pode entrar no chat do app ou dar uma ligadinha no 4020-0185 (para capitais) ou o 0800 591 2117 (demais localidades). Nosso atendimento acontece 24h e temos um time especializado para te ajudar."
126,2019-11-30,"e eu paguei fatura fechada + a aberta do @nubank e ainda fiquei devendo 0,01? "
127,2019-11-30,2000? oloco e antes era qt?
128,2019-11-30,"Hey! Por aqui ou em outro canal, não temos como influenciar nessa análise. Vc pode entender melhor como funciona aqui: https://sou.nu/duvidas-limite-nubank. "
129,2019-11-30,"Puts, juntos somos ainda mais perfeitos! "
130,2019-11-30,"ô bebê, tem anos que eu tento e nunca sou aprovado, e olha q eu tava com uma linha de crédito MARAVILHOSA, tipo score maior que 700 kkk :( recentemente deu uma baixada mas ainda assim tá regular..."
131,2019-11-30,@nubank 
132,2019-11-30,Hey! Fazemos esta cobrança por que somos 100% digitais e utilizamos a estrutura de uma rede externa para viabilizar saques para nossos clientes.
133,2019-11-30,Perrengues que o @nubank me faz passar por não me liberar o vencimento da fatura no dia 10 né queridos? Sou obrigado a usar o concorrente no começo do mês.
134,2019-11-30,"Opora, fé"
135,2019-11-30,Hey! Chama a gente no chat do app ou liga pra gente no 4020-0185 (para capitais) ou o 0800 591 2117 (demais localidades). Nosso atendimento acontece 24h e temos um time especializado para te ajudar. 
136,2019-11-30,Mas quem sabe sua experiência seja melhor que a minha ? 
137,2019-11-30,"(+) Caso queira entender melhor como funciona a função débito, vc pode dar uma olhadinha aqui: http://sou.nu/nuconta. "
138,2019-11-30,"Este local, está tentando se passar pelo Nubank ou por algum membro de nossa equipe e não possuímos nenhum vínculo com eles ou com o quê foi informado. Pedimos por gentileza, que vc desconsidere essa mensagem e as supostas informações. (+)"
139,2019-11-30,2000 e nubank pra 1050
140,2019-11-30,Uma pena Mt obg por compartilhar comigo!!!
141,2019-11-30,"Eu to dando risada de camarote. @nubank resolveu ser o amigão da Geração Y e distribuir cartão de crédito pra todos os adolescentes brasileiros. Eu falei, vai dar merda, não são confiáveis nem estáveis. Tá aí. To rindo. Estratégia suicida dando “certinho” Nubank. Hahahaha . Chupa"
142,2019-11-30,meupag? pra qt?
143,2019-11-30,"Hey! Por aqui ou em outro canal, não temos como influenciar nessa análise. Vc pode entender melhor como funciona aqui: https://sou.nu/duvidas-limite-nubank. "
144,2019-11-30, 
145,2019-11-30,"Entendi... Tbm tinham me falado bem , mas aí tive essa decepção"
146,2019-11-30,"Oi, bb! Vc pode entender melhor como funciona o aumento aqui: https://sou.nu/duvidas-limite-nubank. "
147,2019-11-30,Mas falaram bem da next aí quis fazer outro kkkk
148,2019-11-30,Eu tenho ele e amo!!
149,2019-11-30,"Oie! Neste caso, vc pode chamar a gente no chat do app ou dar uma ligadinha no 4020-0185 (para capitais) ou o 0800 591 2117 (demais localidades). Nosso atendimento acontece 24h e temos um time especializado para te ajudar."
150,2019-11-30,"Não sei qual a sua intenção , Mas tenho o @nubank , é ótimo "
151,2019-11-30,@nubank alooooooo nubank me da uma ajuda mandei DM
152,2019-11-30,Queria comprar uma Alexa da Amazon mas o @nubank não aumenta meu limitr
153,2019-11-30,"puts a @nubank é perfeita, resolveram meu problema em 1 dia "
154,2019-11-30,Menino fui ver o meu e aumentaram o limite dos meus dois cartão arrasou kkkkkkkk
155,2019-11-30,"Tenta eu acho q aceitam, ate o debito e perfeito"
156,2019-11-30,"KKKKKKKKKKKKKKKKKKKKK diferentemente o MeuPag aumentou pra 1000 de primeira, se soubesse que ia ser tão fácil tinha pedido 1500"
157,2019-11-30,Vem pro inter
158,2019-11-30,"Ai amiga, como não incomodar ninguém se vc está se incomodando?! Mano não me conformo com isso, na boa!"
159,2019-11-30,KKKKKKKKKKKKK
160,2019-11-30,"Tenho q ir no Alameda sacar, pô @nubank vcs podiam não cobrar r$6.50 num saque né??"
161,2019-11-30,"Só o meu que o @nubank não aumenta, poxa "
162,2019-11-30,"Meu cartão está bem velhinho e desgastado , poderia me mandar um novo @nubank ?"
163,2019-11-30,"@nubank me foi ofertada a função débito, mas como saber se são vcs mesmo? Achei o link bem descaracterizado, não tem nada de ~roxinhos.. Obg por enquanto :D "
164,2019-11-30,"Os diálogos da @nubank com os clientes são os melhores, sem dúvidas kkkk"
165,2019-11-30,Imagina se a gente ia deixar você perder a Black Friday. Nós só usamos um pouquinho da nossa mágica roxa e pronto! Um novo cartão surgiu para você aproveitar as maravilhas desse dia. 
166,2019-11-30,@nubank aumentou 50 reais do limite do cartão 
167,2019-11-30,"muito e não vivo mais sem. o atendimento é absolutamente incrível, tanto que nem uso mais minha conta física. mantenho ela, mas tenho direcionado tudo pra nuconta."
168,2019-11-30,"Já é a segunda vez esse mês que estourei meu limite e nada da @nubank aumentar meu limite, triste viu "
169,2019-11-30,"Feliz que meu salário caiu na conta e consegui antecipar parcela da tv e ganhei um desconto top, obrigada @nubank"
170,2019-11-30,@nubank podia liberar colocar crédito no celular com a nuconta
171,2019-11-30,E tem q trocar o cartão é pra usar débito?
172,2019-11-30,"@nubank fui assaltado ontem e levaram meu celular, ajuda noix ai com aumentando um pouco o limite para que eu possa comprar um novo... o telefone que eu quero ta 1,300 &lt;3"
173,2019-11-30,"@nubank libera um cartão de crédito com 5 mil de limite só pra eu comprar um iPhone parcelado em 12x, nunca te pedi nada"
174,2019-11-30,"@nubank só vim dizer que meu cartão voltou e desde 11 de novembro tô tentando contato e não consigo. Sabe aquele e-mail que vocês informam que vão mandar? Nunca recebi. @Bancointer Nunca me decepcionou, gratiluz "
175,2019-11-30,"@nubank graças ao bom Deus vocês existem , @santander_br instituição financeira horrorosa, sempre com atendimento péssimo"
176,2019-11-30,@nubank me manda um mimo pra colocar meu cartão dentro roubaram o meu
177,2019-11-30,DISK o atendimento deles é 24h e um dos melhores! não teria por motivo de o santander embora satânico tem mta comodidade pra mim. mas em termos de atendimento se essa é sua dúvida: diz que é dos melhores mesmo.
178,2019-11-30,"Obrigada, sensata."
179,2019-11-30,"Após 40 minutos (fora as tentativas anteriores) tentando antecipar a fatura do cartão com o @Bradesco, sou informado que a solução é ir na agência . Se tivesse feito a compra no cartão do @nubank já tinha resolvido isso gerando um simples boleto direto do app. #Bradesco #Nubank"
180,2019-11-30,E diga-se de passagem que ninguém recebe pelo @itau kkkkkk
181,2019-11-30,As pessoas precisam aprender a se posicionar e não tem nada de errado nisso. Tu ão vai perder teu emprego pq o @itau é uma bosta. Eles vão perder um cliente.
182,2019-11-30,"Não é criar caso Milena, se vc tem problemas com o banco e vc não gosta do banco, vc tem uma lei que te protege e vc pode simplesmente falar pra empresa que prefere receber em outro banco e pronto. Onde eu trabalho eles pagam todo mundo na conta onde cada um prefere receber."
183,2019-11-30,só queria um aumentinho de limitinho @nubank
184,2019-11-30,É opcional SIM!
185,2019-11-30,https://correio-forense.jusbrasil.com.br/noticias/492353/trabalhador-pode-escolher-banco-para-seu-salario
186,2019-11-30,O @nubank tem uma agilidade pra resolver problemas impressionante. Bloqueei meu cartão essa noite pq suspeitei de clonagem. Achei que ficaria sem cartão pro fds da #BlackFriday. Mas os caras pensam em tudo e um novo cartão virtual tá lá funcionando normalmente. 
187,2019-11-30,"http://g1.globo.com/bomdiabrasil/0,,MUL941206-16020,00-EMPREGADO+JA+PODE+ESCOLHER+EM+QUE+BANCO+QUER+RECEBER+SALARIO.html"
188,2019-11-30,"Que bosta, a empresa não pode te obrigar a receber por um banco."
189,2019-11-30,"Não é minha conta principal mas eu curto muito, estou migrando pouco a pouco, inclusive minha conta PJ. E olha que munheca recebi nem carta, nem mimo."
190,2019-11-30,os juros são meio fodinha mesmo mas não tem nenhuma outra taxa na conta ou no cartão
191,2019-11-30,Alvitre com conta PJ na @nubank Mandar cobrança para os clientes adoidado agora 
192,2019-11-30,GENTE..................E sobre as taxas?
193,2019-11-30,"Melhor de tudo, e que o contactless ajuda demais nos pagamentos, e me da uma segurança por so liberar 50 reais para assim caso eu perde o cartão eu ter a tranquilidade de sabe que ninguém vai tira o valor maio de 50 reais e ainda no app poder bloquear e desbloquear facil"
194,2019-11-30,É bom e ruim
195,2019-11-30,"Mano, o atendimento e o melhor, alem disso o cartão nubank eu nem imaginava que da para fazer um tipo de agenda para controle de pagamento, isso e top demais"
196,2019-11-30,@nubank bem que poderia pensar no caso 
197,2019-11-30,"@nubank @Bancointer @meudigio @BS2Hub @Bradesco @itau @C6Bank amo vcs, recomendo quem puder abra conta nesses bancos. Agora @meuBMG eu não recomendo, fiquem longe desse banco, bloquearam minha conta com valor investido e não consigo movimentar nada e não solucionam meu problema."
198,2019-11-30,o meu foi pouco mais de 1k
199,2019-11-30,E o limite inicial é qual?
200,2019-11-30,@nubank te mandei dm
201,2019-11-30,"eu nunca precisei comprovar renda, mas eu já tinha crédito bom eu acredito eu sei que eu recebo aumentos de limite de tempos em tempos"
202,2019-11-30,"Mas deixa eu perguntar um negócio Como eles liberam o valor do cartão de crédito? (limite, no caso) Dão pra qualquer um ou vc tem q comprovar renda e essas coisas"
203,2019-11-30,Cada ano o @BancodoBrasil vem com a anuidade mais cara e em mais parcelas. Melhor coisa a se fazer é cancelar o cartão de crédito e ficar só com meu @nubank mesmo. Cê tá loko
204,2019-11-30,"Maravilhoso, né? E a melhor coisa, é que o dinheiro que já rendeu, ajuda a render ainda mais. "
205,2019-11-30,Finalmente vou pagar minha conta na @nubank Quase me fudi por 50 reais kkkkkk
206,2019-11-30,"Incrível saber disso, fiz o meu, tô aguardando o cartão chegar! Altas metas em cima dessa conta hahaha"
207,2019-11-30,"@nubank me ajuda kkkk preciso urgente de um celular e consigo pagar tranquilo, só precisava de mais limite"
208,2019-11-30,"da minha experiência até agora: a nuconta provavelmente é a que menos me deu dor de cabeça depois de: BB, Itaú, e Santander. e o cartão de crédito é bem generoso."
209,2019-11-30,"É verdade quando dizem que os melhores presentes estão nos menores pacotes. Olha só como essa caixinha e esse roxinho podem tornar o dia mais doce e simples, né? "
210,2019-11-30,"Sim, cartão inter também tem a opção crédito. Mas é preciso ser aceito na função, assim como o Nubank e Digio"
211,2019-11-30,Vcs q usam @Nubank e recomendam tanto: Pq eu deveria usar?
212,2019-11-30,O atendimento da @nubank é rápido até via e-mail. Amo demais 
213,2019-11-30,@nubank tóxico 
214,2019-11-30,Black Friday pra que se a @nubank não quer aumentar meu limite :( vcs estão ficando tóxicos poxa vida hein :(((
215,2019-11-30,Sou cliente desde o início... Nunca ganhei sequer um adesivo... um ADESIVO! @nubank
216,2019-11-30,Tô tendo no mesmo problema
217,2019-11-30,Com essa #Blackweek a @nubank deveria mandar uns brindes pros clientes que mais resgataram amigos. 
218,2019-11-30,"você que tá dizendo, falo nada"
219,2019-11-30,"@nubank, me ajuda? Não estou conseguindo cadastrar meu cartão no app da @voude99 Não tá rolando scanear "
220,2019-11-30,Fiquei 30 minutos para não resolver um problema no aplicativo way do @santander_resp. Tá explicado o sucesso do @nubank
221,2019-11-30,Poxa @nubank poderia aumentar meu limite do cartão né ? Kk
222,2019-11-30,Aqui no trem sonhando em ter gastado o dobro se fosse uma realidade a fatura pela metade. @nubank
223,2019-11-30,Criei um discípulo de @nubank aqui em casa
224,2019-11-30,"Galera que tem @nubank , ou que está aguardando ser aprovado fica de olho no email que estão tentando fraudar e roubar dados. Esse email aí não e da @nubank "
225,2019-11-30,@nubank ainda dá tempo de reduzir a fatura pela metade. Sua chance de humilhar a concorrência nessa Black Friday.
226,2019-11-30,Eu to impressionada o quanto rende teu dinheiro na @nubank
227,2019-11-30,"HAHAHAHAHAHAHAHA Eu tô rindo muitoooooo , "
228,2019-11-30,Fui atrás da felicidade e voltei com uma caixa de brigadeiro... O @nubank trazendo a felicidade... @brigadeiradogil (Instagram) 
229,2019-11-30,não sou alcoólatra não tá heheheheheh
230,2019-11-30,"kkkkkkkkkk, nao foi só cerveja também, tem outras compras"
231,2019-11-30,Ontem o assunto do intervalo foi: se a pessoa morre a família tem que pagar a fatura do @nubank ?
232,2019-11-30,Foi um caos e um desespero não adianta pregar bom atendimento e quando mais se precisa eles não estão nem aí pra ti
