,date,text
0,2019-10-31,"Se a renda fixa já está assim, que dirá a poupança... rs"
1,2019-10-31,"Eu quero que as pessoas saibam que não se deve deixar dinheiro na poupança, e muito menos em fundos de renda fixa. E, atualmente, CDB abaixo de 100% também é perder dinheiro. Quer renda fixa? 100% do CDI é o mínimo. Não caia na besteira de acreditar na poupança."
2,2019-10-31,Entendi. Você está combatendo esses gerentes de bancos dizendo que a poupança não é tão ruim assim... rs
3,2019-10-31,Histórico de pagamentos? Nunca atrasei. Limite usado? Todo ele.
4,2019-10-31,"Mas pense pelo lado bom, você terá um celular novo."
5,2019-10-31,@nubank que dia vocês irão liberar a utilização do cartão no app Wallet da Apple?
6,2019-10-31,A atendente do @nubank simplesmente bloqueou o meu cartão manualmente sem me avisar. Sinceramente como essa menina ainda trabalha ai sem seguir um processo eu n consigo entender
7,2019-10-31,Gostaria de agradecer imensamente ao @nubank pelos mimos (incluindo ter aumentado meu limite)! E por sempre terem um suporte e um atendimento maravilhosos! Acho que nunca me senti tão bem em um chat pra resolver alguns probleminhas quanto me sinto com vocês 
8,2019-10-31,Eu tbm acho mt fofinho
9,2019-10-31,"Chamar na DM, para que ? Vai adiantar em nada . Muito obrigado!"
10,2019-10-31,"Carangola, MG"
11,2019-10-31,Vou aproveitar espero que aumentem em
12,2019-10-31,Sorte. Só estou pagando para cancelar
13,2019-10-31,"Eu to tentando, xuxu, só que fala q to com score baixo, só que no serasa ta 800 de 1 mil... Ai eu fico tristin"
14,2019-10-31,@maaricoci
15,2019-10-31,Isso é pq vc nao viu a minha fatura 
16,2019-10-31,Virei nu esses dias 
17,2019-10-31,"Também estou com esse problema, pode me ajudar?"
18,2019-10-31,"Oi @nubank, tudo bem? Meu cartão está em trânsito com previsão para 6/9 e ainda não recebi :( "
19,2019-10-31,alô lariene @larianja_
20,2019-10-31,Q? Hshshs aqui em casa tem hahah mas é 90 pilas
21,2019-10-31,Mano 750 reais numa conta da sky (quem usa sky em 2019)
22,2019-10-31,Alo @Bradesco essa indireta foi pra vc resolver meu caso bruxo maldito.
23,2019-10-31,É mentira ele comprou aquele vibrador mesmo
24,2019-10-31,o que da medo e o meu limite de 50 reais
25,2019-10-31,"Bem que podiam aumentar meu limite só mais um pouco nr,"
26,2019-10-31,Chegou @nubank #SouNu
27,2019-10-31,"O que houve, @nubank ? Meu limite de empréstimo caiu e os juros subiu. Pago tudo em dia, ou adiantado. Tenho dinheiro em conta... O que há?"
28,2019-10-31,"Acredito que nem a chegada do N26 será capaz de incomodar o @nubank... A marca deixou de ser uma empresa a muito tempo, se tornando praticamente uma cultura! Impossível falar do mercado sem se lembrar de algo roxo no primeiro instante rs."
29,2019-10-31,a rivalidade entre bancos
30,2019-10-31,@nubank &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; ABISMO &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; NEON
31,2019-10-31,Vi uma notícia hoje que o @nubank é o App de banco digital mais baixado DO MUNDO.
32,2019-10-31,"Menina, o dia que tive compras no cartão clonado eu fiquei todo cagado de medo. Felizmente vocês me ajudaram. "
33,2019-10-31,Tava morrendo de raiva por ter perdido a carteira mas a Regiane foi tão gente boa que até me acalmou. Promoção nela @nubank 
34,2019-10-31,"Nesse halloween estou sem sustos, foi bom acordar e saber que minha fatura está zerada e já posso ir comemorar meu aniversário que é hoje por sinal, fazendo novas compras. "
35,2019-10-31,Já chamei olha lá 
36,2019-10-31,"For an in-depth look at #fintech in Latin America today, check out this insightful post by @aci_worldwide. https://www.aciworldwide.com/insights/expert-view/2019/october/deep-dive-latin-american-fintech-market-part-1 @nubank | @uala_arg | @GuiaBolso | @kubofinanciero | @Afloreco"
37,2019-10-31,Gente @nubank me mandando um vídeo de aniversário! Eu amo um cartão e um branco 
38,2019-10-31,Se aumentar o meu tbm HUMILDEE!!
39,2019-10-31,"Percebi que perdi a vergonha do meu nome, hoje quando postei em um grupo a proesa que a senhora @nubank fez com o meu cartão Jessica O Pinto ahshshsja "
40,2019-10-31,@nubank patrocina os guris aí 
41,2019-10-31,"O meu é contactless, mas o contactless não funciona, sempre dá erro"
42,2019-10-31,"Na moral, @nubank, eu te amo seu lindo!! "
43,2019-10-31,eu deveria ganhar comissão por todo dia trazer uma pessoa nova pro @nubank kkkkkkk ou pelo menos aumentar meu mísero limite de 50 reais! 
