,date,text
0,2020-05-31,Mais me impressionam que empresas como @Cielo_br @Nestle_BR @santander_br @ibmbrasil @vwbrasil @magazineluiza permaneçam com os nomes vinculados à essas empresas que divulgam #FakeNews #AntifaTERRORISTA
1,2020-05-31,Curti a ideia hein!! KKKKKKKK
2,2020-05-31,@Cielo_br @Nestle_BR @ibmbrasil @santander_br @vwbrasil @magazineluiza vocês querem o nome de suas empresas ligados a isso? Segundo a @CNNBrasil isso é “manifestação democrática”... A @CNNBrasil propaga #FakeNews #AntifaTERRORISTA
3,2020-05-31,Boa noite. Posso sim. É só mandar suas dúvidas por lá.
4,2020-05-31,"Porra, podemos montar um clube já"
5,2020-05-31,"quero trocar meu banco pq @santander_br não da as infos que preciso. to a tarde inteira tentando resolver o problema do pagamento de uma compra, já enviei os dados por DM e não obtive retorno."
6,2020-05-31,Desnecessário
7,2020-05-31,"Vejam @Cielo_br @Nestle_BR @santander_br @ibmbrasil @vwbrasil @magazineluiza , vocês querem seus nomes ligados a uma empresa que divulga notícias falsas?? Vocês financiam Fake News??"
8,2020-05-31,"And this is noticed by @CNNBrasil as a “democratic manifestation”! I’m astonished that such media enterprise receives support of some big companies as @ibmbrasil, @vwbrasil @santander_br and @Nestle_BR"
9,2020-05-31,Valeu Santander @santander_br aprovado mais um cartão de vcs ! 
10,2020-05-31,"Vejam, @Cielo_br @Nestle_BR @santander_br @magazineluiza @ibmbrasil @vwbrasil o que a @CNNBrasil considera como “manifestação democrática”... Vocês aceitam esse tipo de propaganda negativa para o nome da empresa de vocês?"
11,2020-05-31,Pior é que tem empresas sérias como @Nestle_BR @vwbrasil @Cielo_br @santander_br @magazineluiza e @ibmbrasil financiam as FakeNews da @CNNBrasil .
12,2020-05-31,Tive q fazer isso hoje
13,2020-05-31,E eu respondi. Obrigada!!
14,2020-05-31,"Isabella, respondi sua DM."
15,2020-05-31,"Registrei o atendimento 100824011 para análise. Por favor, me envie um print da cobrança no App."
16,2020-05-31,"Caso prefira, me envie os prints dos valores que tem dúvida na DM."
17,2020-05-31,"Isabela, o estorno entra como crédito na fatura. Se ele já foi feito (está na fatura com sinal de menos), ele será abatido na fatura atual que fecha amanhã. Se ainda não foi feito, é necessário que aguarde que ele conste."
18,2020-05-31,"Posso solicitar uma nova via para seu endereço, o prazo de recebimento é de até 20 dias úteis. Caso queira, me chame na DM e me informe seu CPF, telefone com DDD (com melhor horário de retorno), e-mail e endereço completo (Rua, número, complemento, bairro, cidade, CEP)."
19,2020-05-31,Tentando resolver sobre ativação do meu cartão @santander_br desde cedo e nada.... 
20,2020-05-31,"amado eu tive um estorno de R$1075 (em 2X) logo minha fatura ficou negativa, até ai ok. zerei a fatura e tive estorno de uma compra que eu esperava somente pro mês que vem e a fatura fecha amanhã. Logo, minha fatura ta negativa de novo. Esse valor é descontado na próxima fatura?"
21,2020-05-31,"Oi, Isabela. O que aconteceu? Posso te ajudar por aqui?"
22,2020-05-31,"Meu cartão está dando erro de leitura no chip, o que devo fazer ?"
